id,name,short_name,place_name,place_desc,intro_prose,still_available_prose,batch_name,batches_name,batch_do_name,required_condition_group,required_planet_type,occurrence_weight,occurrence_limit,first_visit_data,hazard_scale,hazard_reduction,output_count,output_id,tags,input_0_count,input_0_id,input_1_count,input_1_id,input_2_count,input_2_id,abundance_required,abundance_cost_mult,max_abundance,max_abundance_per_month,despoil_name,despoil_desc,despoil_yield_mult,despoil_prevents_regen,despoil_requires_skill,skill_req_id,skill_req_chance,skill_req_excuse
sun_ns_machinery_factory,Construct machinery,Construct machinery,Machinery factory,A decrepit factory where %s could be constructed,"In spite of its dilapidated state and the collapse of surrounding infrastructure, your engineers conclude that it is possible to restore the automated factory to nominal functionality.","Thankfully, it is still possible to bring the factory online",batch,batches,construct,ruins,,0.2,,,0.2,0,5,heavy_machinery,,10,metals,2,rare_metals,,,FALSE,,,,,,,,,field_repairs,0.1,The equipment at the factory is in a state of severe disrepair. Restoring functionality would require creative maintenance
sun_ns_armaments_factory,Construct armaments,Construct armaments,Armaments factory,A desolate factory where %s could be constructed,"In spite of its dilapidated state and the collapse of surrounding infrastructure, your engineers conclude that it is possible to restore the automated factory to nominal functionality.","Thankfully, it is still possible to bring the factory online",batch,batches,construct,ruins,,0.2,,,0.2,0,2,hand_weapons,,10,metals,3,rare_metals,1,supplies,FALSE,,,,,,,,,electronic_warfare,0.2,The factory's functions are locked down by a military grade security system
sun_ns_luxury_goods_factory,Fabricate luxury goods,Fabricate goods,Luxury goods factory,An abandoned factory where %s could be fabricated,"In spite of its dilapidated state and the collapse of surrounding infrastructure, your engineers conclude that it is possible to restore the automated factory to nominal functionality.","Thankfully, it is still possible to bring the factory online",batch,batches,fabricate,ruins,,0.1,,,0.2,0,10,luxury_goods,,23,organics,1,rare_metals,1,supplies,FALSE,,,,,,,,,field_repairs,0.1,The equipment at the factory is in a state of severe disrepair. Restoring functionality would require creative maintenance
sun_ns_domestic_goods_factory,Fabricate domestic goods,Fabricate goods,Domestic goods factory,A rundown factory where %s could be fabricated,"In spite of its dilapidated state and the collapse of surrounding infrastructure, your engineers conclude that it is possible to restore the automated factory to nominal functionality.","Thankfully, it is still possible to bring the factory online",batch,batches,fabricate,ruins,,0.1,,,0.2,0,10,domestic_goods,,,organics,,,,,FALSE,,,,,,,,,field_repairs,0.1,The equipment at the factory is in a state of severe disrepair. Restoring functionality would require creative maintenance
sun_ns_organs_factory,Grow artificial organs,Grow organs,Biomedical manufacturing lab,An old lab nestled within the ruins where organs could be grown,"Considering how long it has been since anyone else laid eyes on it, this biomedical manufacturing lab is in remarkably good condition. It still contains sufficient operational equipment to grow artificial organs that are indistinguishable from the real thing. It will take months for the organs to fully mature, but the lab packages them within self-sufficient pods that can safely be stored within your cargo holds as they grow.","Thankfully, it is still possible to bring the lab online",batch,batches,synthesize,ruins,,0.1,8,,0.2,0,5,organs,,10,organics,2,supplies,,,FALSE,,,,,,,,,field_repairs,0.1,The equipment at the lab is in a state of severe disrepair. Restoring functionality would require creative maintenance
sun_ns_metals_recycle,Scrap equipment for metal,Scrap equipment,Scrap smelter,A scrap smelter used to melt down equipment for %s,"This sprawling structure was made to deconstruct and melt down a wide variety of equipment for scrap metal. In spite of its dilapidated state and the collapse of surrounding infrastructure, your engineers conclude that it is possible to restore it to nominal functionality.","Thankfully, it is still possible to bring the scrap smelter online",,,scrapping,ruins,,0.2,,,0.2,0,,metals,RECYCLE,,EQUIPMENT,,,,,FALSE,,,,,,,,,,,
sun_ns_organics_recycle,Recycle organic material,Recycle organics,Recycling plant,A recycling plant used to break down organic material into raw %s,"This recycling complex was made to deconstruct and break down a wide variety of refuse and disused goods in order to reclaim raw organics. In spite of its dilapidated state and the collapse of surrounding infrastructure, your engineers conclude that it is possible to restore it to nominal functionality.","Thankfully, it is still possible to bring the recycling plant online",,,recycling,ruins,,0.4,,,0.2,0,,organics,RECYCLE,,BIOLOGICAL,,,,,FALSE,,,,,,,,,,,
sun_ns_free_refit,Use the abandoned shipyard to freely refit ships,Refit ships,Shipyard,An abandoned shipyard where you can freely refit your ships,THIS TEXT SHOULD NOT BE DISPLAYED,,,,,ruins,,0.2,,,0,0,,ship_weapons,REFIT,,ship_weapons,,,,,FALSE,,,,,,,,,,,
sun_ns_crew,Recruit crew from the community of spacers,Recruit crew,Malnourished survivors,A community of spacers who could be recruited as %s,"The community of spacers who dwell here became stranded several decades ago and are struggling to survive. Many of the people here would be happy to escape the harsh conditions of the community, but its leaders refuse to allow you to recruit their most capable workers unless you provide food for those who remain.","Thankfully, the stranded spacers still seem to be scraping by",relief package,relief packages,send,decivilized,,2,,,-0.2,0,10,crew,,,food,,,,,TRUE,0.5,1200,50,,,,,,sensors,0.2,The community of survivors are nomadic and difficult to locate or contact
sun_ns_marines,Recruit marines from the enclave,Recruit marines,Malnourished militants,An enclave of militants who could be recruited as %s,"This heavily fortified encampment seems to be more than capable of defending itself, but it is frequently on the brink of starvation. Many of the people here would be happy to escape the harsh conditions, but its leaders refuse to allow you to recruit their most-skilled fighters unless you provide food for those who remain.","Thankfully, the enclave is still scraping by",relief package,relief packages,send,decivilized,,1.2,,,-0.2,0,5,marines,,,food,,,,,TRUE,0.5,250,25,,,,,,,,
sun_ns_slaves,Get crew from the slavers,Trade for crew,Slavers,Marauders selling slaves that could make decent %s members,"This outfit of marauders survives the anarchy of this planet by exploiting, raiding, and enslaving its other inhabitants. While hesitant to part with slaves that are healthy and skilled enough to become capable crew members, they are willing to exchange them for the war machines needed to suppress their enemies. Fuel must also be provided to operate some of the more exotic weapons.","Thankfully, the slavers are still willing to trade",transaction,transactions,make,decivilized,,1.2,,,0,0,10,crew,,1,hand_weapons,1,fuel,,,TRUE,1,600,100,Attack the slavers and free the slaves,"With no ships or orbital defenses, the slavers are not a threat to your fleet. About %s of the freed slaves would join you, but the slavers would never trust you again and would take measures to avoid detection.",0.8,TRUE,TRUE,sensors,0.2,The slavers are nomadic and difficult to locate or contact
sun_ns_mean_organs,Trade for harvested organs of unknown origin,Trade for organs,Isolated colony,An isolated colony offering %s in exchange for supplies,"While the spokesperson for the colony reassures you that the organs they are offering were harvested from the casualties of the raids they frequently fend of,  your survey chief suspects that the people here have accepted cannibalism as a way of life. Either way, the colony is willing to part with the harvested organs in exchange for various supplies.","Thankfully, the colony is still willing to trade, and has fresh organs on hand",transaction,transactions,make,decivilized,,-1,1,,0,0,5,organs,,,supplies,,,,,TRUE,0.5,50,5,Take harvested organs by force,"With no ships or orbital defenses, the colony is not a threat to your fleet. You could take approximately %s of the organs, but the colony would never trust you again and would take measures to avoid detection.",0.6,TRUE,TRUE,,,
sun_ns_tribal_drugs,Trade for psychoactive tea,Trade for tea,Tribal community,A tribal community offering psychoactive tea for supplies,"Like most of the inhabitants of the planet, this community has reverted to a way of life that is all but neolithic. While they lack the skills to become capable crew members, they do produce a novel psychoactive tea derived from an indigenous ivy. In exchange for the tea, they request some of your more technologically advanced supplies. Being incapable of producing them, the tribals seem to regard many common staples of spacing life with a degree of reverence.","Thankfully, the tribal community still seems to be willing to trade",transaction,transactions,make,decivilized,"jungle, terran, US_jungle",-1,5,50,0,0,5,drugs,,,supplies,,,,,TRUE,0.5,150,25,Take psychoactive tea by force,"With nothing but primitive weapons, the tribe is not a threat to your fleet. Some of the psychoactive tea may prove difficult to find, but you should be able to recover about %s of it. With their knowledge of the forests and their uncanny ability to cover their tracks, it is unlikely that you or any other spacer will see any hint of the tribal community if you attack them.",0.4,TRUE,TRUE,sensors,0.2,The tribe is nomadic and difficult to locate or contact
sun_ns_spice,Trade for the hallucinogen,Trade for drugs,Desert dwellers,A collective of desert dwellers offering a strange hallucinogen,"The people who inhabit the rock formations scattered throughout the vast stretches of dunes seem quite capable of surviving on their own in spite of the harsh conditions. By some unknown means, they collect a cinnamon-scented hallucinogen that could be sold at a premium due to its exotic nature. The only thing they seem interested in accepting as compensation for the drug is foodstuffs with high water content.","Thankfully, the desert dwellers are still willing to trade",transaction,transactions,make,decivilized,"desert, desert1, US_desertA, US_desertB, US_desertC",-1,1,,0,0,5,drugs,,,food,,,,,TRUE,0.8,300,10,Take the hallucinogen by force,"While the desert dwellers are not a threat to your fleet, their subterranean dwellings are all but impervious to infiltration. About %s of the dweller's strange hallucinogen could be retrieved by bombarding locations where it is known to be kept. With their knowledge of the dunes and their penchant for guerrilla tactics, it is unlikely that the desert dwellers will ever give you another chance to steal from them.",0.2,TRUE,TRUE,sensors,0.2,The desert dwellers are nomadic and difficult to locate or contact
sun_ns_scavenger_fuel,Get fuel from the scavengers,Trade for fuel,Fuel scavengers,A community of scavengers trading %s for food,"This rugged community survives by scavenging the ruins found on this planet. By some method that your survey chief was unable to determine, they seem to be capable of finding an inexhaustible supply of starship fuel among the ruins. The fuel is of little use to them, and they would gladly trade it for food.","Thankfully, the scavengers are still willing to trade",transaction,transactions,make,decivilized,,1.2,,,-0.2,0,50,fuel,,,food,,,,,TRUE,1,5000,500,Take fuel by force,"With no ships or orbital defenses, the scavengers are not a threat to your fleet. You could take approximately %s of the fuel, but the scavengers would never trust you again and would take measures to avoid detection.",0.4,TRUE,TRUE,sensors,0.2,The scavengers are nomadic and difficult to locate or contact
sun_ns_scavenger_supplies,Get supplies from the scavengers,Trade for supplies,Supply scavengers,A community of scavengers trading %s for food,"This rugged community survives by scavenging the ruins found on this planet. By some method that your survey chief was unable to determine, they seem to be capable of finding an inexhaustible amount of supplies among the ruins. The supplies are of some use to them, but they would still gladly trade them for food.","Thankfully, the scavengers are still willing to trade",transaction,transactions,make,decivilized,,0.8,,,-0.2,0,10,supplies,,,food,,,,,TRUE,1,500,50,Take supplies by force,"With no ships or orbital defenses, the scavengers are not a threat to your fleet. You could take approximately %s of the supplies, but the scavengers would never trust you again and would take measures to avoid detection.",0.4,TRUE,TRUE,sensors,0.2,The scavengers are nomadic and difficult to locate or contact
sun_ns_scavenger_machinery,Get machinery from the scavengers,Trade for machinery,Machinery scavengers,A community of scavengers trading %s for food,"This rugged community survives by scavenging the ruins found on this planet. By some method that your survey chief was unable to determine, they seem to be capable of finding an inexhaustible supply of heavy machinery among the ruins. The machinery is of little use to them, and they would gladly trade it for food.","Thankfully, the scavengers are still willing to trade",transaction,transactions,make,decivilized,,0.6,,,-0.2,0,5,heavy_machinery,,,food,,,,,TRUE,1,300,30,Take machinery by force,"With no ships or orbital defenses, the scavengers are not a threat to your fleet. You could take approximately %s of the machinery, but the scavengers would never trust you again and would take measures to avoid detection.",0.4,TRUE,TRUE,sensors,0.2,The scavengers are nomadic and difficult to locate or contact
