name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Jackdaw,de_jackdaw,Frigate,Sindrian Diktat,maneuveringjets,6,1650,125,2000,1875,150,55,,130,80,60,60,90,150,FRONT,,100,0.5,0.8,,,15,30,5,5,1,20,10,9000,10,20,180,0.25,6,6,,,,,,,,"diktat_bp, sindrian_diktat, merc",,0.75,2,3,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Destroyers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laticlavus,de_laticlavus,Destroyer,Sindrian Diktat,de_polarityinverser,12,5500,400,5000,4167,300,80,,80,60,40,30,60,350,FRONT,,300,0.4,0.9,,,60,120,70,35,2,30,9,50000,5,12,300,0.25,12,12,,,,,,,,"diktat_bp, sindrian_diktat, merc",,0.5,2,3,,3
Laticlavus(LG),de_laticlavus_lg,Destroyer,Lion's Guard,de_polarityinverser,15,5000,300,8000,4167,500,70,,80,60,40,30,60,350,FRONT,,300,0.4,0.8,,,60,120,70,35,2,30,9,55000,5,12,300,0.25,15,15,,,,,,,,"LG_bp, sindrian_diktat, no_dealer",,0.75,2,3,,4
Legate,de_legate,PD Destroyer,Sindrian Diktat,flarelauncher,10,4500,400,4000,4167,250,70,,70,50,25,25,50,400,OMNI,,120,0.5,1,,,75,150,50,25,2,30,9,65000,5,12,300,0.25,13,13,,,,,,,SHIP_WITH_MODULES,"diktat_bp, sindrian_diktat, merc",,0.5,2,3,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Cruisers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanquisher,de_vanquisher,Heavy Cruiser,Sindrian Diktat,de_capacitoraugment,15,11000,1100,7500,8000,500,180,,45,40,20,20,40,1800,FRONT,,200,0.4,0.8,,,175,350,150,150,4,30,8,140000,4,12,580,0.25,25,25,,,,,,,,"diktat_bp, sindrian_diktat, merc",,0.4,2,3,,5
Vanquisher(LG),de_vanquisher_lg,Heavy Cruiser,Lion's Guard,de_capacitordischarge,15,9000,900,9000,8000,750,170,,65,80,40,50,30,2000,FRONT,,200,0.4,0.7,,,175,350,150,150,4,30,8,160000,4,12,580,0.25,25,25,,,,,,,,"LG_bp, sindrian_diktat, no_dealer",,0.6,2,3,,6
Exult,de_exult,Heavy Carrier,Sindrian Diktat,targetingfeed,15,6000,750,4000,6000,200,125,4,40,60,40,10,20,1300,NONE,,0,0,0,,,200,400,10,10,4,20,8,130000,3,12,360,0.25,23,23,,,,,,,"CARRIER, SHIP_WITH_MODULES","diktat_bp, sindrian_diktat, merc",,0.5,2,3,,7
Voyager,de_voyager,Cruiser,Sindrian Diktat,highenergyfocus,15,7000,900,10000,10000,900,170,1,55,40,20,20,40,1500,OMNI,,270,0.4,0.6,,,150,250,100,100,4,30,8,150000,4,12,580,0.25,25,25,,,,,,,,"diktat_bp, sindrian_diktat, merc",,0.4,2,3,,8
Starliner(LG),de_starliner_lg,Heavy Carrier,Lion's Guard,reservewing,15,6000,350,4000,6000,200,140,4,40,60,40,10,20,1300,OMNI,,180,0.4,0.9,,,100,100,10,10,4,20,8,140000,3,12,420,0.25,25,25,,,,,,,CARRIER,"LG_bp, sindrian_diktat, no_dealer",,0.75,2,3,,9
Sagittarii,de_sagittarii,Artillery Cruiser,Sindrian Diktat,de_vectormanipulator,20,10000,800,10000,10000,600,175,,50,50,25,25,50,2000,FRONT,,160,0.5,1,,,175,350,100,100,4,30,8,175000,4,12,460,0.25,28,28,,,,,,,,"diktat_bp, sindrian_diktat, merc",,0.4,2,3,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Capitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impinge(LG),de_ingress_lg,Battlecruiser,Lion's Guard,de_conduitshroud,28,17000,1350,17500,,1000,320,,40,50,25,20,10,2500,OMNI,,180,0.4,1,,,700,1400,150,130,14,19,8,375000,5,15,780,0.25,45,45,,,,,,,,"LG_bp, sindrian_diktat, no_dealer",,0.4,2,4,,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Secrets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gamaliel(Prototype),de_gamaliel_proto,Test Rig,Unknown,maneuveringjets,5,1500,150,4000,3125,350,70,,125,200,200,90,200,250,FRONT,,270,0.3,0.8,,,0,0,10,10,1,40,11,100000,5,10,360,0.25,4,4,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",auto_rec,,0.75,3,5,,
