name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Exotic (Tier 3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light Spear Accelerator,sw_lightspear,3,0.4,235000,1100,,3000,,125,5,40,,,,ENERGY,6000,,1.5,8.5,,,0,0,0,0,,2000,,,,"STRIKE, USE_VS_FRIGATES,DO_NOT_CONSERVE,FIRE_WHEN_INEFFICIENT","energy18, LR, no_bp_drop,sw_lightspear,no_sell,sw_techmining,no_dealer",,Exotic,,Long Range,Very Fast,,,Perfect,"Projectile splits into %s shards each traveling outward in a straight line, Shards %s all targets and deal %s of damage every %s units across.",5 | Pierces | 50% | 150,Modifiers to weapon range and damage applies to secondary projectiles accordingly.,,,
Devastator Lance,sw_devastator,3,0.4,225000,1100,3122.5,,,0,5,35,,,,ENERGY,,3750,1.5,0.5,1.8,20,0,0,0,0,25000,,,,,DO_NOT_CONSERVE,"energy20, beam15, LR,no_bp_drop,no_sell,sw_techmining,no_dealer",,Exotic,,EMP Suppression,,,,,"Hits on hull or armor creates powerful arcs that deal %s of damage as extra %s damage to the entire frame of the ship.
Hits on shields deal %s more damage and creates shield piercing arcs that deals %s of damage as extra %s and %s damage to the target.
Inflicts %s of damage to self while firing.",100% | EMP | 25% |35% |Energy | EMP| 15%,,,,
Electromagnetic Railgun,sw_railgun,3,0.4,230000,1150,,3000,,20,5,30,,,,ENERGY,4000,,0,8,,,0,1,1,1,,5000,,0.2,,"DO_NOT_CONSERVE,USE_VS_FRIGATES","strike16, LR,no_bp_drop,sw_railgun,no_sell,sw_techmining,no_dealer",,Exotic,,EM Pierce,Supersonic,,,Perfect,"Projectile %s all targets.
Deals %s of damage every %s units across.",Pierces | 100% | 150,,,,
Hyperpulse Repeater,sw_hyperpulse,3,0.4,240000,800,,200,,35,15,30,,,,ENERGY,180,,0,0.2,,,2,2,0,0,,1500,,,,"DO_NOT_CONSERVE,STRIKE, USE_VS_FRIGATES","energy20,no_bp_drop,no_sell,sw_techmining,no_dealer",,Exotic,,Rapid Suppression,Very Fast,None,Fast,Very Good,%s.,Cannot be disabled,,,,
NovaX Defense System,sw_novax,3,0.4,225000,1500,,1250,,7,25,30,30,1,1,FRAGMENTATION,300,,,0.5,1,,7,7,0,0,,1500,500,3,350,"PD,DO_NOT_AIM, DO_NOT_CONSERVE","missile0,pd15,LR,no_bp_drop,no_sell,sw_techmining,sw_novax,no_dealer",,Exotic,,Area Defense,Very Fast,Heat Seeker,,Very Good,Detonates on %s dealing %s of damage to everything within %s unit radius.,Proximity | 100% | 250,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mythic (Tier 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phalanx Particle Cannon,sw_phalanx,3,0.3,285000,1000,,3300,,200,5,40,,,,ENERGY,4500,,0,10,2,0.2,8,8,0,8,,1000,,2,,"STRIKE,DO_NOT_CONSERVE,USE_VS_FRIGATES","LR,no_bp_drop,no_sell,sw_techmining,no_dealer",,Mythic,,AoE Suppression,Very Fast,,,Average,"Creates areal shockwaves that deal %s weapon damage as energy damage to all ships, missiles and fighters in %s units around them, shockwaves can extend across the hull of nearby unshielded ships damaging their weapons and engines, Deals %s damage to stations.
%s when firing at point blank range.",100% | 350 | 30% | Cautious,,,,
Plasma Storm,sw_plasmastorm,3,0.3,300000,1440,,1430,,15,4,45,,,,ENERGY,1430,,0,14,12,0.1,0,0,0,0,,1000,500,5,550,"DO_NOT_CONSERVE,DO_NOT_AIM,STRIKE,USE_VS_FRIGATES","missile20, strike13,no_bp_drop,no_sell,sw_techmining,no_dealer",,Mythic,,Long range,Fast,Good,,Very good,"Highly unstable projectiles %s on impact dealing damage in a small area around themselves.
Modifiers to missile speed and maneuverability applies to this weapon at %s efficiency.",Explode | 100%,,,,
BFG-Ultra,sw_bfg,3,0.3,290000,1250,,12000,,300,4,40,,,,ENERGY,15000,,0.7,29.3,,,0,0,0,0,,350,,,,"DO_NOT_CONSERVE, STRIKE, USE_VS_FRIGATES","LR,no_bp_drop,sw_bfg,no_sell,sw_techmining,no_dealer",,Mythic,,Mass Devastation,Very Slow,,,,"Radioactive charge actively damages all nearby objects while passing by, dealing %s of it's damage as %s damage every second while in %s units range.
Deals %s less damage to Stations.
%s by Modifiers to projectile speed.",15% | Energy | 1000 |60% | Unaffected,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legendary (Tier 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR-890 Black Hole Generator,sw_blackhole,3,0.25,450000,1000,2412.7,,,,2,45,,,,ENERGY,,3000,5.6,3.8,0.6,60,0,0,0,0,25000,,,,,"DO_NOT_CONSERVE,STRIKE,USE_VS_FRIGATES","strike6, energy20, beam15, LR,no_bp_drop,no_sell,no_dealer",,Legendary,,Crowd Control,,,,Perfect,"Beam takes %s to fully charge dealing %s AoE damage as it creates a spacetime anomaly with %s radius.
The anomaly lasts for %s and deals up to %s Fragmentation damage every second to everything within it's range, the closer a unit is to the center the more damage it takes, nearby objects are actively pulled toward the center and the effect grows stronger the closer they are to it.",5.5 seconds | 50000 | 2000 | 20 seconds | 2000,"Gravitational damage %s while Initial damage doesn't, %s energy prevents the Black Hole from forming.
%s movement while firing.",bypasses shields | Insufficient | Inhibits,,
WM-70 Reflective Shield,sw_reflective_shield,3,0.25,360000,0,10,,,,,30,,,,ENERGY,,0,0,0,,,0,0,0,0,25000,,,,,DO_NOT_CONSERVE,"no_bp_drop,no_sell,no_dealer",,Legendary,,Reflective Forcefield,,,,,"Reflected projectiles still apply their damage, cannot reflect projectiles that %s.
Does nothing if mounted on a %s or if shields gets disabled, doesn't Stack.",Pierce | Hardpoint,,,,
XC-T61 Cluster Torpedo,sw_clustertorpedo,3,0.25,390000,1000,,5000,,350,1,50,1,,,ENERGY,,,0,6.25,,,0,0,0,0,,400,250,5,1500,"DO_NOT_CONSERVE,USE_VS_FRIGATES,FIRE_WHEN_INEFFICIENT,STRIKE","strike8, rocket3,no_bp_drop,no_sell,no_dealer",,Legendary,,Superweapon,Slow,None,,,"Torpedo splits into %s identical mines that can't be targeted, they will detonate after %s in fixed intervals each dealing up to %s kinetic Damage in %s units around them, nearby objects can be damaged by multiple mines depending on their location.
Can only accommodate a %s regardless of installed hullmods, Deals %s less damage to stations.",18 | 10 Seconds |15000 | 750 | Single Torpedo | 50%,Torpedo will detonate after %s of being fired or immediately if %s by an enemy ship.,5 Seconds | Destroyed,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syndicate Refit (Tier 0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positron Lens,sw_positronlens,3,0.2,395000,1150,,1750,,125,5,38,,,,ENERGY,5000,,0,7,,,2,2,0,0,,1500,,,,"DO_NOT_CONSERVE, STRIKE","strike6, LR,no_bp_drop,no_sell,no_dealer",,Syndicate Refit,,Ionizer,Very Fast,,,Perfect,"Deals %s additional %s damage.
Hits %s targets, increasing damage taken from types matching this weapon by %s.
Debuff lasts for %s, doesn't stack.",100% | High Explosive | ionize | 20% | 10 seconds,,,,
Z950 Flash,sw_flash,3,0.2,500000,1250,,1000,,40,3,40,,,,ENERGY,5000,,0,10,,,0,0,0,0,,5000,,,,"DO_NOT_CONSERVE, STRIKE,FIRE_WHEN_INEFFICIENT","strike16, LR,no_bp_drop,sw_flash,no_sell,no_dealer",,Syndicate Refit,,Long Range,Supersonic,,,Perfect,"Projectile %s all targets.
Deals additional damage of %s equal to the current damage of the charge, damage scales with distance reaching %s at maximum range, Deals %s of damage every %s units.
%s by Modifiers to projectile Speed.",Pierces | Every Damage type | 130% | 100% | 150 | Unaffected,,,,
Annihilator Hyperlance,sw_annihilator,3,0.2,420000,1100,2720,,375,,4,40,,,,ENERGY,,3500,1.5,0.5,2,25,0,0,0,0,25000,,,,,DO_NOT_CONSERVE,"energy20, beam15, LR,no_bp_drop,no_sell,no_dealer",,Syndicate Refit,,EM Suppression,,,,,"While locked into a target the beam deals %s energy damage distributed across all units within %s unit radius , damage is dealt over multiple instances every second (does not scale with damage modifiers and can hit allies).
Beam causes a powerful blast dealing %s EMP damage within its radius bypassing shields and ravaging the systems of affected targets.
Require %s second to fully charge, deals %s damage.",7500 | 1250 | 10000 | 1.5 | Hard Flux,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster Mine (Fast),sw_clustermine_fast,0,0,0,10000,,0,0,0,6,0,1,,,ENERGY,0,,0,11,,,0,0,0,0,,0,1250,35.5,50000,SYSTEM,no_bp_drop,,,,,,,,,,,,,,
Cluster Mine (Slow),sw_clustermine_slow,0,0,0,10000,,0,0,0,6,0,1,,,ENERGY,0,,0,11,,,0,0,0,0,,0,700,35.5,50000,SYSTEM,no_bp_drop,,,,,,,,,,,,,,
Light Splinter Accelerator,sw_lightsplinter,0,0,0,2000,,1500,,70,5,0,,,,ENERGY,3000,,1.5,8.5,,,0,0,0,0,,2500,,,,SYSTEM,no_bp_drop,,,,,Very Fast,,,Perfect,"Projectile %s all targets.
Deals %s damage every %s units across.
%s by Modifiers to projectile Speed.",Pierces | 100% | 150 | Unaffected,,,,
