name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Xi Liu Small Mining Collector,rock_launcher,0,,350,900,,20,,0,25,3,,,,HIGH_EXPLOSIVE,40,,0,1.5,1,,0,5,3,2,,425,,,100,,,,"he2, hmi_bp",LR,HMI Techmined,,Close Support,,,,,Projectiles will cause %s High Explosive damage on hitting hull.,50,,,,18.65
Slagger Buck Gun,hmi_slagger_gun,1,,450,500,,60,,40,12,3,,,,HIGH_EXPLOSIVE,30,,0,1.6,3,0.1,4,15,4,8,,700,,,100,,,PD,"he4, pd4, hmi_bp",,HMI Techmined,,Point Defense,,,,,"Each shell has a fuse set to explode at a random distance, resulting in a barrage that's increasingly more deadly at closer ranges.",,,,,7.4
Chimobuko Mining Laser,burst_ml,0,,250,900,20,,,20,80,2,,,,ENERGY,,10,0.25,0.25,,,,,,,2400,,,,,,,PD,"pd1, beam0, LR, hmi_bp",,HMI Techmined,,Point Defense,,,,,Gravitic effects slow and push target off-course. The effect is minor and is most noticeable vs fighters and missiles.,,,,,17.66
Seth Drone Fabricator,seth_sml,1,,500,2500,,85,,50,10,5,,,,KINETIC,0,,0,5,1,,0,0,0,0,,175,65,12,350,,,"DO_NOT_AIM, CONSERVE_1","utility3, missile3, hmi_bp",,HMI Techmined,,Pressure,Slow,Good,,,,Projectiles will burst into kinetic fragments near enemy ships.,,,TRUE,16
Mbeke Rocket Turret,mbeke_sml,0,,300,1500,,80,,0,20,2,6,0.2,3,FRAGMENTATION,0,,0,0.8,3,0.8,0,0,0,0,,250,95,12,25,,,"DO_NOT_AIM, DO_NOT_CONSERVE","missile2, strike0, utility4, hmi_bp",,HMI Techmined,,Pressure,Slow,Good,,,,,,,TRUE,12.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ragtime Mortar,hmi_ragtime,1,,600,700,,110,,12,30,8,,,,HIGH_EXPLOSIVE,100,,0,0.4,1,,0,20,4,4,,900,,,30,,,,"he11, hmi_bp",,HMI Techmined,,Anti Armor,,,,,,,,,,3.9
Andersson Slag Cannon,med_frag_mg,1,,700,800,,50,,0,25,10,32,1.6,8,HIGH_EXPLOSIVE,30,,0,1,8,0.05,0,5,1,20,,900,,,30,,,"PD,ANTI_FTR","he4, pd4, hmi_bp",,HMI Techmined,,Point Defense,,,,,"Each shell has a fuse set to explode at a random distance, resulting in a barrage that's increasingly more deadly at closer ranges.",,,,,3.8
Toother Autocannon,twotherac,1,,1000,900,,100,,10,7,11,,,,KINETIC,100,,0,1,2,0.4,0,8,1,10,,800,,,30,,,,"kinetic10, LR, hmi_bp",,HMI Techmined,,Anti Shield,,,,,,,,,,5
Clyde Rapidfire Cannon,clyde_mg,2,,1100,900,,12,,1,20,10,,,,KINETIC,15,,0,0.05,1,,0,15,1.5,4,,1000,,,10,,,,"kinetic2, hmi_bp, merc",,HMI Techmined,,Anti Shield,,,,,,,,,,3.65
Pummerer Carbine,pumm_mg,1,,800,700,,120,,1,90,8,15,1.2,3,FRAGMENTATION,30,,0,0.33,3,0.05,0,3,1,6,,2200,,,50,,,"PD,ANTI_FTR","pd1, kinetic1, hmi_bp",,HMI Techmined,,Point Defense,, ,,,,,,,,1.85
Voracious Cannon,hmi_voracious,2,,2400,900,,50,,1,25,13,60,2,20,HIGH_EXPLOSIVE,40,,0,0.55,20,0.05,0,2,1,30,,800,,,10,,,STRIKE,"he12, rare_bp, merc",,HMI Techmined,,Assault,,,,,,,,,,3.85
Xi Liu Large Mining Collector,launcher_cannon,0,,800,1000,,40,,0,25,8,,,,HIGH_EXPLOSIVE,40,,0,1,1,,0,18,5,5,,385,,,100,,,,"he2, LR, hmi_bp",,HMI Techmined,,Suppression,,,,,Projectiles will cause %s High Explosive damage on hitting hull. Projectiles will have variable velocity.,100,,,,22.126
Heavy Mining Laser Array,hmi_mininglaser_array,0,,800,900,120,,,0,60,6,,,,ENERGY,,35,0.25,0.25,,,,,,,8000,,,,,,,PD,"pd0, beam0, LR, hmi_bp",,HMI Techmined,,Point Defense,,,,,,,,,,16.5
Suo Wang Pulser,suowang_pulser,1,,675,700,,60,,0,50,8,10,2,2,ENERGY,40,,0.05,0.05,2,0.1,3,20,1,4,,1000,,,,,,,"energy2, hmi_bp, merc",,HMI Techmined,,Strike,,,,,,,,,,22.69
Double IR Pulse Laser,double_ir,1,,600,700,,60, ,0,30,10,,,,ENERGY,45, ,0.25,0,,,,,,,,1000,,,,,,,"energy2, hmi_bp, merc",,HMI Techmined,,Assault,,,,,,,,,,19.25
F-Type Mining Blaster,mining_burst_blaster,1,,900,700,,125,,8,30,12,12,0.666666,4,HIGH_EXPLOSIVE,190,,0.125,0,4,0.12,0,7,1,20,,1800,,,,,,"STRIKE,USE_VS_FRIGATES,USE_LESS_VS_SHIELDS","energy2, SR, hmi_bp",,HMI Techmined,,Strike,,,,,,,,,,19.255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seth Drone Generator,seth_med,2,,1000,2500,,100,,50,10,10,,,,HIGH_EXPLOSIVE,0,,0,5,1,0.25,0,0,0,0,,250,65,12,350,,,"DO_NOT_AIM, CONSERVE_1","utility4, missile4, hmi_bp",,HMI Techmined,,Pressure,Slow,Good,,,,Projectiles will burst into explosive fragments near enemy ships.,,,TRUE,26.889
Campbelltown Barrage Rack,campbelltown_med,1,,600,1000,,75,,5,30,10,180,,,HIGH_EXPLOSIVE,0,,0,8,10,0.05,0,30,15,10,,600,95,3.75,50,,,CONSERVE_1,"rocket4, strike2, hmi_bp",,HMI Techmined,,Strike,Fast,None,,,,,,,TRUE,27.789
Mbeke Rocket Launcher,mbeke_med,1,,800,1800,,80,,0,20,8,32,0.8,12,FRAGMENTATION,0,,0,0.4,6,0.05,0,30,15,10,,450,350,4,50,,,"GUIDED_POOR, DO_NOT_CONSERVE","missile3, strike0, utility6, hmi_bp",,HMI Techmined,,Pressure,Fast,Good,,,,,,,TRUE,27.789
Desolator Cannon,rad_gun,2,,2000,1000,2000,,,0,20,16,,,,FRAGMENTATION,,750,0.25,0.5,0.5,2.5,,,,,4000,,,,,,,,"energy1, beam1, LR, rare_bp, merc",,HMI Techmined,,Assault,,,,,,,,,,28.898
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark IV Cannon,mark_iv,1,,3250,1000,,85,,10,12,12,8,3,12,KINETIC,75,,0.1,0.2,1,,0,5,1,5,,800,,,30,,,,"kinetic10, hmi_bp",,HMI Techmined,,Anti Shield,,,,,"When used with Expanded Magazines, this weapon will fully reload its clip.",,,,,29.099
Xi Liu Accumulator,hmi_megalauncher_cannon,0,,2400,800,,180,,0,20,14,,,,FRAGMENTATION,40,,0,3,,,0,30,5,5,,500,,,50,,,"PD,PD_ALSO","he6, kinetic4, hmi_bp",,HMI Techmined,,Assault,,,,,"The fuse on each charge is faulty, making them prematurely explode and resulting in a barrage that's increasingly more deadly at closer ranges.",,,,,29.099
Baffler ADL,hmi_heavy_assault_launcher,1,,5000,1100,,120,,0,10,16,,,,HIGH_EXPLOSIVE,80,,0,6.5,30,0.05,0,28,8,5,,310,325,1,25,,,"STRIKE, USE_VS_FRIGATES,FIRE_WHEN_INEFFICIENT","he10, LR, hmi_bp, merc",,HMI Techmined,,Area Denial,,,,,"Projectiles can be fired beyond the weapon's maximum range, but are slow and can be shot down by point defense.",,,,,40.2
Richardson Cannon,dick_cannon,1,,4000,700,,80,,1,65,18,,,,FRAGMENTATION,40,,0,0.05,1,0.1,0,15,1,15,,800,,,10,,,PD,"pd3, SR, hmi_bp",,HMI Techmined,,Assault,,,,,,,,,,29.089
Suzuki-Clapteryon Thermal Projector,tpc_hmi,2,,7500,800,,400,,0,10,22,8,0.5,,ENERGY,500,,0,0.2,1,,0,12,4,4,,900,,,,,,STRIKE,"energy2, rare_bp, merc",,HMI Techmined,,Strike,,,,,,,,,,40.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##Built-ins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khorkhoi Jackhammer,hmi_khorkoi_miningblaster,0,,10000,1200,,1500,,30,20,10,,,,HIGH_EXPLOSIVE,0,,0,15,3,0.25,10,10,0,0,,500,40,4,350,,,SYSTEM,"no_drop, no_drop_salvage",,HMI Techmined,,Torpedo,Fast,None,,,,,,,TRUE,13.75
Scarlet Aura Energy Blaster,marlinblaster,0,,10000,650,,480,,0,15,12,,,,ENERGY,350,,0,1,,,,,,,,950,,,,,,SYSTEM,"energy14, no_drop, no_drop_salvage",,HMI Techmined,,General,,,,,,,,,,22.25
Hunig Cannon,pumm_cannon,1,,10000,1100,,750,,1,90,30,,,,FRAGMENTATION,300,,0,0.5,1,,0,5,1,15,,1900,,,10,,,"SYSTEM,ANTI_FTR,USE_VS_FRIGATES","kinetic7, no_drop, no_drop_salvage",,HMI Techmined,,Anti Frigate,,,,,,,,,,1.11
Penni Swarmer SRM Launcher,swarmer_junk,5,,1000,1500,,150,,15,50,4,,,,HIGH_EXPLOSIVE,0,,0,4,8,0.3,0,0,0,0,,600,200,5,50,,,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE, SYSTEM","utility8, missile0, no_drop, no_drop_salvage",,HMI Techmined,,Anti Small Craft,Fast,Excellent,,,,,,,,10
Weaver Pulse Cannon,tpc_weaver,0,,100000,1000,,380,,0,0,,14,1,,ENERGY,320,,0,0.2,1,,0,10,2,5,,1700,,,,,,SYSTEM,"energy10, no_drop, no_drop_salvage",,HMI Techmined,, Bombardment,,,,,,,,,,40
Khradeh Autocannon,khradeh_left,2,,800,800,,130,,10,12,8,,,,KINETIC,100,,0,0.33,1,,0,10,2,3,,880,,,30,,,SYSTEM,"kinetic12, no_drop, no_drop_salvage",,HMI Techmined,,Anti Shield,,,,,,,,,,4.125
Khradeh Autocannon,khradeh_right,2,,800,800,,130,,10,12,8,,,,KINETIC,100,,0,0.33,1,,0,10,2,3,,880,,,30,,,SYSTEM,"kinetic12, no_drop, no_drop_salvage",,HMI Techmined,,Anti Shield,,,,,,,,,,4.125
Blitz Missile Conversion,hmi_blitz_missile,3,,0,1000,,500,,100,0,0,1,,,KINETIC,0,,0,1,1,,0,0,0,0,,400,0,10,1000,,,"DIRECT_AIM, SYSTEM","restricted, no_drop, no_drop_salvage",,HMI Techmined,,Missile,Fast,Medium,,,,,,,TRUE,41
Reign Borer Drone 'Torpdeo',blitz_suicide_drive,1,,,1000,,500,,50,10,2,1,,,KINETIC,0,,0,5,1,,0,0,0,0,,300,300,3.5,400,,,"SYSTEM, STRIKE","strike8, rocket3, no_drop, no_drop_salvage",,,,Torpedo,Fast,None,,,,,,,TRUE,22
Bombardment Drone 'Torpedo',bombardment_drone_suicide_drive,1,,,800,,1000,,75,10,4,1,,,HIGH_EXPLOSIVE,0,,0,5,1,,0,0,0,0,,185,185,3.5,500,,,"SYSTEM, STRIKE","strike8, rocket3, no_drop, no_drop_salvage",,,,Torpedo,Fast,None,,,,,,,TRUE,22
Ngolo Rocket Turret (Fighter),mbeke_fighter,0,0.75,200,1200,,45,,5,30,2,15,,,HIGH_EXPLOSIVE,0,,0,1.6,4,0.8,0,0,0,0,,600,85,3.5,50,,,SYSTEM,"rocket4, strike0",,HMI Techmined,,Anti Armour,Fast,None,,,,,,,TRUE,12.3
Antimatter Blaster (Single),hmi_amblaster_single,3,,900,400,,1400,,0,30,9,1,,,ENERGY,1500,,0.25,10,,,0,0,0,0,,1000,,,100,,,"STRIKE, USE_VS_FRIGATES, GROUP_ALTERNATING, SYSTEM","strike10, no_drop, no_drop_salvage",SR_strike_only,HMI Techmined,,Strike,,,,,,,,,,19.75
Prendergast Cannon (Left),hmi_prendergast_left,0,,800,600,500,,,0,200,8,40,2,10,FRAGMENTATION,,150,0,0,0.1,0,,,,,1000000,,,,,,,"PD,ANTI_FTR,SYSTEM","pd1, kinetic1, no_drop, no_drop_salvage",,HMI Techmined,,Point Defense,, ,,,,,,,,1.85
Prendergast Cannon (Right),hmi_prendergast_right,0,,800,600,500,,,0,200,8,40,2,10,FRAGMENTATION,,150,0,0,0.1,0,,,,,1000000,,,,,,,"PD,ANTI_FTR,SYSTEM","pd1, kinetic1, no_drop, no_drop_salvage",,HMI Techmined,,Point Defense,, ,,,,,,,,1.85
Cracked Annihilator Launcher,annihilator_bomb,0,,150,1500,,200,,5,30,4,4,,,HIGH_EXPLOSIVE,0,,0,4,4,0.1,0,0,0,0,,400,50,3.75,50,,,"STRIKE, SYSTEM","rocket7, LR, no_drop, no_drop_salvage",,Midline,,Anti Armour,,,,,,,,,,29.099
Triple Bomb Bay,bomb_single,0,,200,1000,,300,,50,15,4,3,,,HIGH_EXPLOSIVE,0,,0,1,3,0.2,0,0,0,0,,225,200,15,150,,,"STRIKE, BOMB, SYSTEM","he0, no_drop, no_drop_salvage",,HMI Techmined,,Strike,,,,,,,,,TRUE,3.5
Triple Swarmer SRM Launcher,hmi_swarmer_triple,1,,250,700,,100,,5,50,4,3,,,HIGH_EXPLOSIVE,0,,0,0,3,0.2,0,0,0,0,,300,200,3,50,,,"ANTI_FTR, DO_NOT_AIM, SYSTEM,DO_NOT_CONSERVE","utility8, missile0, no_drop, no_drop_salvage",,HMI Techmined,,Anti Small Craft,Fast,Excellent,,,,,,,,10
Marx Mining Drill,hmi_drill,4,,11000,80,,300,,0,0,0,,,,HIGH_EXPLOSIVE,50,,0.1,0,10,,0,0,0,0,,100,,,100,,,"DO_NOT_AIM, STRIKE, SYSTEM","no_drop, no_drop_salvage",,Low Tech,,Anti Armour,,,,,,,,,,29.089
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light Assault Gun,burstlightag,1,,300,600,,40,,3,40,5,5,3.5,5,HIGH_EXPLOSIVE,40,,0,0.05,1,,0,10,2,10,,800,,,30,,,"STRIKE, SYSTEM",he6,,Domain Resurgent,,Anti Armor,,,,,,,,,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feeder Beam,feeder_gun,3,,125,100,300,,,25,30,4,,,,FRAGMENTATION,,20,0,0,,,,,,,2400,,,,,,,SYSTEM,"beam0, energy0",,Mess Evolution,,Unknown,,,,,,,,,,29.909
Heavy Feeder Drone 'Torpedo',mess_drone_suicide_drive,1,,,1000,,50,,50,10,2,1,,,HIGH_EXPLOSIVE,0,,0,5,1,,0,0,0,0,,700,400,3.5,250,,,"SYSTEM, STRIKE","no_drop, no_drop_salvage",,Mess Evolution,,Torpedo,Fast,None,,,Hits to hull deal an additional %s damage to armour over time.,200,,,TRUE,22
Large Feeder Beam,feeder_gun_med,3,,125,400,200,,,25,30,4,,,,HIGH_EXPLOSIVE,,250,0,0,,,,,,,2400,,,,,,,SYSTEM,"beam0, energy0",,Mess Evolution,,Unknown,,,,,,,,,,29.909
Devour Beam,feeder_gun_lrg,3,,125,600,400,,,25,30,4,,,,HIGH_EXPLOSIVE,,500,0,0,,,,,,,2400,,,,,,,SYSTEM,"beam0, energy0",,Mess Evolution,,Unknown,,,,,,,,,,29.909
,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotary Hammer Launcher,hmi_ascendante_hammer,0,,100000,1000,,1000,,30,10,26,6,0.1,3,HIGH_EXPLOSIVE,0,,0,1.2,3,0.6,0,0,0,0,,600,600,2.2,250,,,"SYSTEM, STRIKE",,,HMI Techmined,,Torpedo,Fast,None,,,,,,,TRUE,9.8
Overcharged Thermal Pulse Cannon,tpc_hmi_hvb,0,,100000,900,,300,,0,0,30,26,1,,ENERGY,200,,0,0.2,1,,5,15,5,10,,1500,,,,,,SYSTEM,,,Pirate,,Attack,,,,,,,,,,40.22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monjeau Shoulder (Left),monjeau_shoulder_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,43
Monjeau Shoulder (Right),monjeau_shoulder_R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,43
Monjeau Radiation Glow,monjeau_lights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,43
Vertice Rifle (Left),monjeau_arm_L,0,,3000,800,,200,,20,25,20,,,,HIGH_EXPLOSIVE,150,,0,0.66,3,0.2,0,15,2,10,,800,,,100,,,SYSTEM,"kinetic18, no_drop, no_drop_salvage",,HMI Techmined,,Anti Armour,,,,,,,,,,7.25
Vertice Rifle (Right),monjeau_arm_R,0,,3000,800,,200,,20,25,20,,,,HIGH_EXPLOSIVE,150,,0,0.66,3,0.2,0,15,2,10,,800,,,100,,,SYSTEM,"kinetic18, no_drop, no_drop_salvage",,HMI Techmined,,Anti Armour,,,,,,,,,,7.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##Remnant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light Dual Remnant Autocannon,lightdualac_rem,2,,1000,700,,50,25,3,20,6,,,,KINETIC,40,,0,0.6,2,0.1,0,20,3,9,,800,,,20,,,,"kinetic7, remnant, restricted, no_sell, no_dealer",,Remnant,,Anti Shield,,,,,"Hits on hull or armor have a %s chance to arc to weapons and engines, dealing extra damage equal to the original hit.",15%,,,,2.5
Remnant Railgun,railgun_rem,2,0.5,1700,700,,225,225,10,30,9,,,,KINETIC,205,,0.9,0.6,1,,,,,,,1000,,,50,,,,"kinetic8, LR, remnant, restricted, no_sell, no_dealer",,Remnant,,Anti Shield,,,,,"Hits on hull or armor have a %s chance to arc to weapons and engines, dealing extra damage equal to the original hit. Range is decreased by %s when placed on an %s.",25% | 100 units | Energy Mount,,,,3.75
Messenger Rocket Launcher,messenger_rem,2,,1000,1500,,150,150,5,30,4,80,,,ENERGY,0,,0,1,5,0.1,0,0,0,0,,800,75,3.75,50,,,CONSERVE_1,"rocket7, strike0, remnant, restricted, no_sell, no_dealer",,Remnant,,Suppression,Fast,,,,,,,,,11
Triple Messenger Rocket Launcher,messenger_rem_single,2,,500,1500,,150,300,5,30,4,3,,,ENERGY,0,,0,2,3,0.25,0,0,0,0,,800,75,3.75,50,,,"CONSERVE_1, SYSTEM","rocket7, strike0, no_sell, no_dealer",,Remnant,,Suppression,Fast,,,,,,,,,11.01212
Remnant Tactical Laser,taclaser_rem,2,,1000,1000,80,,,0,20,5,,,,ENERGY,,80,0.1,0.1,,,,,,,3600,,,,,,,,"beam9, LR, remnant, restricted, no_sell, no_dealer",,Remnant,,Suppression,,,,,"Disrupts the target's integrity, increasing all damage taken when hit by %s for one full-power beam, %s for two, %s for three, %s for four and hitting a maximum of %s at five and more. Stacks with %s.",2% | 4% | 6% | 8% | 10% | Remnant Graviton Beam,,,,18
Remnant Mining Laser,mininglaser_rem,2,,600,1100,180,,,0,80,5,,,,FRAGMENTATION,,60,0.25,0.25,,,,,,,6000,,,,,,,"ANTI_FTR, PD, PD_ALSO","beam8, energy6, pd4, LR, remnant, restricted, no_sell, no_dealer",,Remnant,,Suppression,,,,,Will target missiles if no other target is available. Beams will deal an additional %s hard-flux damage based on the %s hard flux level.,200% | firing ship's,,,,16.5
Remnant Ion Cannon,ioncannon_rem,2,,1400,700,,40,600,0,40,6,,,,FRAGMENTATION,40,,0.3,0,,,,,,,,1500,,,,,,DANGEROUS,"energy8, remnant, restricted, no_sell, no_dealer",,Remnant,,Suppression,,,,,"Hits on hull or armor have a %s chance to arc to weapons and engines, dealing extra damage equal to the original hit.",50%,,,,19
Remnant IR Pulse Laser,irpulse_rem,2,,1100,700,,100,,0,70,8,,,,ENERGY,85,,0.4,0,,,,,,,,1500,,,,,,,"energy8, remnant, restricted, no_sell, no_dealer",,Remnant,,General,,,,,,,,,,19.25
Remnant PD Laser,pdlaser_rem,2,,800,350,400,,,5,200,5,,,,ENERGY,,250,0,0,,,,,,,10000,,,,,,,"PD,ANTI_FTR,IGNORES_FLARES","pd7, beam7, SR, remnant, restricted, no_sell, no_dealer",,Remnant,,Point Defense,,,,,Advanced built-in targeting sensors enable the weapon to identify  %s and not fire on them.,decoy flares,,,,17
LR Remnant PD Laser,lrpdlaser_rem,2,,1000,900,60,,,50,100,5,,,,ENERGY,,50,0,0,,,,,,,10000,,,,,,,"PD,ANTI_FTR,IGNORES_FLARES","pd7, beam5, remnant, restricted, no_sell, no_dealer",,Remnant,,Point Defense,,,,,Advanced built-in targeting sensors enable the weapon to identify  %s and not fire on them. Hits to missiles and small craft will %s. %s.,decoy flares | inhibit their movement | Can fire over friendly ships,,,,19.5
Burst Attack Laser,burst_rem,2,,4000,450,350,,,0,40,8,,,,ENERGY,,280,0.05,0.05,0.3,,,,,,10000,,,,,,,,"energy8, beam2, remnant, restricted, no_sell, no_dealer",,Remnant,,Assault,,,,,,,,,,19.6
Light Burst Attack Laser,burst_rem_ftr,2,,1000,400,450,,,0,100,8,3,0.5,,ENERGY,,200,0.05,0.05,0.3,0.1,,,,,10000,,,,,,,SYSTEM,"energy8, beam2, no_sell, no_dealer",,Remnant,,Assault,,,,,,,,,,19.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy Remnant Autocannon,heavyac_rem,2,,6000,800,,100,50,10,7,12,,,,KINETIC,100,,0,1,3,0.2,0,18,3,10,,800,,,30,,,,"kinetic14, remnant, restricted, no_sell, no_dealer",,Remnant,,Anti Shield,,,,,"Hits on hull or armor have a %s chance to arc to weapons and engines, dealing extra damage equal to the original hit.",15%,,,,5
Messenger Rocket Pod,messengerpod_rem,2,,4400,1500,,150,150,5,30,10,180,,,ENERGY,0,,0,0.3,1,,0,0,0,0,,800,50,3.75,50,,,,"rocket13, strike8, remnant, restricted, no_sell, no_dealer",,Remnant,,Pressure,Fast,,,,,,,,,12.3
Remnant Graviton Beam,gravitonbeam_rem,2,,6000,1000,150,,,20,15,10,,,,KINETIC,,100,0.1,0.1,,,,,,,2400,,,,,,,,"beam12, kinetic11, LR, remnant, restricted, no_sell, no_dealer",,Remnant,,Suppression,,,,,"Disrupts the target's integrity, increasing all damage taken when hit by %s for one full-power beam, %s for two, %s for three, %s for four and hitting a maximum of %s at five and more. Stacks with %s.",2% | 4% | 6% | 8% | 10% | Remnant Tactical Laser,,,,21
Remnant Mining Array,mininglaser_double_rem,2,,2800,1100,480,,,0,60,10,,,,FRAGMENTATION,,180,0.25,0.25,,,,,,,8000,,,,,,,"PD,ANTI_FTR","beam6, energy4, pd13, LR, remnant, restricted, no_sell, no_dealer",,Remnant,,Point Defense,,,,,Will target missiles if no other target is available. Beams will deal an additional %s hard-flux damage based on the %s hard flux level.,200% | firing ship's,,,,16.5
Remnant Pulse Laser,pulselaser_rem,2,,4400,700,,170,,0,20,12,,,,ENERGY,150,,0.4,0,,,,,,,,1500,,,,,,,"energy13, remnant, restricted, no_sell, no_dealer",,Remnant,,General,,,,,,,,,,22
