name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
MP-02A Oggo,gundam_oggo,Assault Mobile Pod,ZEON,,,150,50,200,,20,0,,400,300,300,300,300,5,PHASE,phasecloak,,,,0.05,0.05,,,,,,,,,,,,,,,,,,0.7,2,4,,52203
MA-08 Big Zam,gundam_big_zam,Heavy Assault MA,ZEON,highenergyfocus,18,8000,500,5000,6000,450,35,,90,80,80,100,120,1000,FRONT,,360,0.4,0.6,,,2,3,20,40,1,15,10,30000,5,12,360,0.25,14,14,,"zeon_ma_1_bp,rare_bp",,0.7,2,2,,405
MA-05 Bigro,gundam_bigro,Assault MA,ZEON,maneuveringjets,9,5000,400,3000,3000,300,40,,180,130,120,100,120,230,FRONT,,120,0.4,0.6,,,2,3,10,30,1,20,12,25000,7,20,180,0.25,8,8,,"zeon_ma_0_bp,rare_bp",,0.7,2,2,,405
MA-06 Val Walo,gundam_val_walo,Assault MA,ZEON,maneuveringjets,11,5500,450,3500,3000,0.5,45,,200,150,130,120,150,379,FRONT,,120,0.4,0.5,,,2,3,10,30,1,20,12,25000,7,20,180,0.25,8,8,,"zeon_ma_1_bp,rare_bp",,0.7,2,2,,405
MAN-03 Braw Bro,gundam_braw_bro,Newtype-use MA,ZEON,gundam_braw_bro_drone_system,9,2800,350,2500,3125,250,35,,115,105,105,75,100,320,OMNI,,180,0.4,0.6,,,1,2,20,40,1,20,10,29000,7,20,180,0.25,12,12,,"zeon_ma_1_bp,rare_bp",,0.7,2,2,,405
Wired Mega Particle Gun,gundam_braw_bro_bit,,ZEON,,,300,50,300,,100,0,,300,250,200,250,250,5,PHASE,phasecloak,,,,0.05,0.05,,,,,,,,,,,,,,,,,,0.7,2,4,,52203
MAN-08 Elmeth,gundam_elmeth,Newtype-use MA,ZEON,gundam_elmeth_drone_system,10,3000,300,2000,3125,200,30,,130,120,100,60,120,300,OMNI,,180,0.4,0.6,,,1,2,20,40,1,20,10,30000,7,20,180,0.25,10,10,,"zeon_ma_1_bp,rare_bp",,0.7,2,2,,405
Elmeth Bits,gundam_elmeth_bit,,ZEON,,,150,50,200,,20,0,,400,300,300,300,300,5,PHASE,phasecloak,,,,0.05,0.05,,,,,,,,,,,,,,,,,,0.7,2,4,,52203
AMX-002 Neue Ziel,gundam_neue_ziel,Attack-use MA,ZEON,gundam_neue_ziel_drone_system,19,8000,500,8000,6000,550,55,,90,80,80,100,120,1100,FRONT,,120,0.4,0.6,,,2,3,50,100,1,20,10,35000,5,12,360,0.25,20,20,RENDER_ENGINES_BELOW_HULL,"zeon_ma_1_bp,rare_bp",,0.7,2,2,,405
Wired Claw Arm,gundam_neue_ziel_bit,,ZEON,,,800,150,400,,50,0,,300,250,200,250,250,5,PHASE,phasecloak,,,,0.05,0.05,,,,,,,,,,,,,,,,,,0.7,2,4,,52203
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FF-X7 Core Fighter,gundam_core_fighter,,EFSF,flarelauncher_fighter,,400,50,80,,10,0,,400,400,100,80,350,7,NONE,,,,,,,1,1,,,,,,,,,,,1,1,,,,0.7,1,2,,104
FFB-7Bst Jet Core Booster II,gundam_jet_core_booster,,EFSF,flarelauncher_fighter,,450,60,80,,10,0,,380,380,90,60,300,10,NONE,,,,,,,1,1,,,,,,,,,,,1,1,,,,0.7,1,2,,104
FF-X7-Bst Core Booster,gundam_core_booster,,EFSF,flarelauncher_fighter,,500,60,80,,10,0,,350,350,80,50,300,10,NONE,,,,,,,1,1,,,,,,,,,,,1,1,,,,0.7,1,2,,104
Pablic,gundam_pablic,,EFSF,flarelauncher_fighter,,500,75,400,,40,0,,160,200,200,20,30,20,NONE,,,,,,,4,6,,,,,,,,,,,1,1,,,,0.7,1,3,,118
RB-79 Ball,gundam_ball,,EFSF,,,500,75,500,,40,0,,150,150,150,100,150,48,NONE,,,,,,,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,103
RB-79K Ball Type K,gundam_ball_typek,,EFSF,,,500,75,500,,40,0,,150,150,150,100,150,48,NONE,,,,,,,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,103
RGM-79[E] GM Early Type,gundam_gm_early,,EFSF,,,650,125,750,,80,0,,170,180,180,90,170,59,PHASE,gundam_evasion_system,,,,0.25,0.18,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,103
RGM-79 GM,gundam_gm,,EFSF,gundam_shield_system,,700,125,750,,80,0,,170,180,180,100,180,59,OMNI,,35,0.4,0.6,,,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,103
RGM-79 GM (Thunderbolt Sector),gundam_gm_thunderbolt,,EFSF,gundam_shield_system,,700,125,750,,80,0,,210,220,220,140,220,61,OMNI,,35,0.4,0.6,,,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,103
RGM-79C GM Type C,gundam_gm_typec,,EFSF,gundam_shield_system,,700,125,750,,80,0,,180,190,190,105,190,59,OMNI,,35,0.4,0.6,,,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,103
RGM-79GS GM Command Space,gundam_gm_cs,,EFSF,gundam_shield_system,,900,160,950,,95,0,,180,200,200,110,195,76,OMNI,,35,0.4,0.6,,,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,103
RGM-79N GM Custom,gundam_gm_custom,,EFSF,gundam_shield_system,,900,160,950,,95,0,,200,210,210,120,210,58,OMNI,,35,0.4,0.6,,,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,103
RGM-79 Powered GM,gundam_gm_powered,,EFSF,gundam_shield_system,,700,160,850,,90,0,,210,230,230,140,210,64,OMNI,,35,0.4,0.6,,,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,103
RGM-79Q GM Quel,gundam_gm_quel,,EFSF,gundam_shield_system,,800,140,850,,90,0,,180,200,200,110,195,57,OMNI,,35,0.4,0.6,,,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,103
RGC-80 GM Cannon,gundam_gm_cannon,,EFSF,gundam_shield_system,,700,125,850,,100,0,,140,170,170,100,160,59,OMNI,,35,0.4,0.6,,,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,103
RGC-83 GM Cannon II,gundam_gm_cannon_ii,,EFSF,gundam_shield_system,,800,150,900,,100,0,,135,165,165,100,155,67,OMNI,,35,0.4,0.6,,,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,103
RGM-79/GH Gundam Head,gundam_gm_gundamhead,,EFSF,gundam_shield_system,,1000,175,950,,120,0,,200,200,200,120,200,80,OMNI,,35,0.4,0.6,,,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,103
RGM-79 GM Sniper,gundam_gm_sniper,,EFSF,,,700,125,750,,80,0,,170,180,180,90,170,59,PHASE,gundam_evasion_system,,,,0.25,0.18,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,103
RGM-79SP GM Sniper II,gundam_gm_sniper_ii,,EFSF,gundam_shield_system,,800,125,950,,95,0,,180,210,210,120,200,61,PHASE,gundam_evasion_system,,,,0.25,0.18,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,103
RX-77-2 Guncannon,gundam_guncannon,,EFSF,,,850,150,850,,85,0,,140,150,100,100,150,70,PHASE,gundam_evasion_system,,,,0.2,0.13,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,103
RX-77D Guncannon Mass Production Type,gundam_guncannon_massproduce,,EFSF,,,1000,170,900,,90,0,,140,180,180,120,180,70,PHASE,gundam_evasion_system,,,,0.2,0.13,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,103
RX-75-4 Guntank,gundam_guntank,,EFSF,,,750,125,850,,100,0,,80,80,50,50,100,80,NONE,,,,,,,2,3,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX-78-2 Gundam,gundam_gundam_rx78_2_pilot,Close Quarters Combat Mobile Suit,EFSF,gundam_blue_overcloak_system,10,2000,200,1000,3125,110,30,,310,260,260,170,240,60,PHASE,gundam_elite_evasion_system,,,,0.15,0.13,1,1,0,20,1,20,10,20000,7,20,180,0.25,5,5,RENDER_ENGINES_BELOW_HULL,"efsf_ms_1_bp,no_bp_drop",0,0.7,2,4,,103
"RX-78-3 Gundam ""G3""",gundam_gundam_g3_pilot,Close Quarters Combat Mobile Suit,EFSF,gundam_blue_overcloak_system,11,2000,200,1000,3125,110,30,,330,280,280,190,260,60,OMNI,,35,0.4,0.6,,,1,1,0,20,1,20,10,23000,7,20,180,0.25,5,5,RENDER_ENGINES_BELOW_HULL,"efsf_ms_1_bp,no_bp_drop",0,0.7,2,4,,103
"RX-78NT-1 Gundam ""Alex""",gundam_gundam_alex_pilot,Newtype-use General-Purpose Mobile Suit,EFSF,gundam_blue_overcloak_system,12,2000,200,1100,3125,120,30,,280,230,230,150,210,90,PHASE,phasecloak,,,,0.17,0.15,1,1,0,20,1,20,10,25000,7,20,180,0.25,5,5,"SHIP_WITH_MODULES, RENDER_ENGINES_BELOW_HULL","efsf_ms_1_bp,no_bp_drop",0,0.7,2,4,,103
"RX-78NT-1 Gundam ""Alex"" Armour",gundam_gundam_alex_armour,,EFSF,gundam_blue_overcloak_system,,800,200,700,,70,0,,0,0,0,10,0,3,OMNI,,35,0.4,0.6,,,0,0,0,0,1,0,0,999999,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,0,5,,
FA-78 Full Armour Gundam,gundam_gundam_fa78_pilot,Prototype Full Armor Heavy Assault Mobile Suit,EFSF,gundam_blue_overcloak_system,16,3000,300,2000,3125,200,50,,300,250,250,160,230,120,OMNI,,35,0.4,0.6,,,1,1,0,20,1,20,10,40000,7,20,180,0.25,7,7,RENDER_ENGINES_BELOW_HULL,"efsf_ms_1_bp,no_bp_drop",0,0.7,2,4,,103
RX-78GP01 Gundam Zephyranthes,gundam_gundam_gp01_pilot,Prototype General-Purpose Ground Mobile Suit,EFSF,gundam_blue_overcloak_system,14,3000,300,2500,3125,200,50,,320,270,270,180,250,65,OMNI,,35,0.4,0.6,,,1,1,0,20,1,20,10,27000,7,20,180,0.25,5,5,RENDER_ENGINES_BELOW_HULL,"efsf_ms_1_bp,no_bp_drop",0,0.7,2,4,,103
RX-78GP01-Fb Gundam Zephyranthes Full Burnern,gundam_gundam_gp01_fb_pilot,Prototype High Mobility Space Mobile Suit,EFSF,gundam_blue_overcloak_system,16,3000,300,2500,3125,200,50,,350,290,290,200,280,74,PHASE,gundam_elite_evasion_system,,,,0.15,0.13,1,1,0,20,1,20,10,30000,7,20,180,0.25,5,5,RENDER_ENGINES_BELOW_HULL,"efsf_ms_1_bp,no_bp_drop",0,0.7,2,4,,103
RX-78GP02A Gundam Physalis,gundam_gundam_gp02_pilot,Prototype Tactical Nuclear Assault Mobile Suit,EFSF,acausaldisruptor,17,4000,400,3000,3125,300,55,,260,220,220,150,200,83,OMNI,,45,0.4,0.6,,,1,1,0,20,1,20,10,40000,7,20,180,0.25,6,6,RENDER_ENGINES_BELOW_HULL,"zeon_ms_1_bp,no_bp_drop",0,0.7,2,4,,103
RX-78GP03S Gundam Stamen,gundam_gundam_gp03_pilot,Prototype Attack-Use Space Mobile Suit,EFSF,gundam_blue_overcloak_system,18,3500,350,3500,3125,350,60,,400,310,310,220,300,70,OMNI,,35,0.3,0.5,,,1,1,0,20,1,20,10,45000,7,20,180,0.25,7,7,RENDER_ENGINES_BELOW_HULL,"efsf_ms_1_bp,no_bp_drop",0,0.7,2,4,,103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFA-03 Dopp,gundam_dopp,,ZEON,flarelauncher_fighter,,400,50,80,,10,0,,350,400,100,60,300,10,NONE,,,,,,,1,1,,,,,,,,,,,1,1,,,,0.7,1,2,,104
DFA-03 Orange Dopp,gundam_orange_dopp,,ZEON,flarelauncher_fighter,,450,60,100,,10,0,,380,450,100,70,320,12,NONE,,,,,,,1,1,,,,,,,,,,,1,1,,,,0.7,1,2,,104
Gattle Bomber,gundam_gattle,,ZEON,flarelauncher_fighter,,500,65,150,,15,0,,150,180,150,100,200,40,NONE,,,,,,,2,2,,,,,,,,,,,1,1,,,,0.7,2,4,,110
MS-05B Zaku I,gundam_zaku_i,,Zeonic,ammofeed,,750,130,650,,65,0,,140,150,150,90,150,65,PHASE,gundam_evasion_system,,,,0.2,0.13,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,103
MS-05L Zaku I Sniper Type,gundam_zaku_sniper,,Zeonic,,,600,100,750,,100,0,,140,140,140,70,140,68,NONE,,,,,,,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,103
MS-06 Zaku II,gundam_zaku_ii,,Zeonic,ammofeed,,800,135,750,,75,0,,160,180,180,100,180,74,PHASE,gundam_evasion_system,,,,0.2,0.13,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,103
MS-06 Zaku II (Thunderbolt Sector),gundam_zaku_ii_thunderbolt,,Zeonic,ammofeed,,800,135,750,,75,0,,200,220,220,140,220,74,PHASE,gundam_evasion_system,,,,0.2,0.13,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,103
MS-06 Zaku II,gundam_zaku_ii_drone,,Zeonic,gundam_zaku_ii_shield_drone_system,,800,135,750,,75,0,,160,180,180,100,180,74,PHASE,gundam_evasion_system,,,,0.2,0.13,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,103
MS-06 Zaku II,gundam_zaku_ii_shield,,Zeonic,fortressshield,,800,135,750,,120,0,,160,180,180,100,180,74,FRONT,,120,0.4,0.6,,,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,103
MS-06R-1A Zaku II High Mobility Type,gundam_zaku_ii_hm,,Zeonic,ammofeed,,800,135,750,,75,0,,185,190,190,105,190,77,PHASE,gundam_evasion_system,,,,0.2,0.13,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,103
