id,variant,tags,tier,rarity,fleet pts,op cost,formation,range,attackRunRange,attackPositionOffset,num,role,role desc,refit,base value,,,,,,,,,,,,,number
,,"bomber0,",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"bomber1,",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"bomber2,",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"bomber3,",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"bomber4,",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"bomber5,",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"bomber6,",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"bomber,",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"support0,",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"support1,",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"support2,",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"support3,",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"support4,",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"support5,",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"support6,",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"support,",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"low,",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"mid,",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"high,",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,efsf_ms_0_bp,,,,,,,,,,,,,,,,,,,,,,,,,,
,,efsf_ms_1_bp,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,zeon_ms_0_bp,,,,,,,,,,,,,,,,,,,,,,,,,,
,,zeon_ms_1_bp,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"rare_bp ,",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"no_drop,",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"no_sell,",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"rd_no_extra_craft,",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"rd_force_extra_craft,",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"rapid_reform,",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"leader_no_swarm,",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"wingmen_no_swarm,",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"match_leader_facing,",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"attack_at_an_angle,",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"independent_of_carrier,",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,V,"leader, plane",,,,,,,,,,,,,,,,,,,,,,,,,
,,DIAMOND,close formation,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOX,loose formation,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLAW,more number with captain,,,,,,,,,,,,,,,,,,,,,,,,,
