name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number,,,
Anti Penetration ICBM,gundam_builtin_rear_farspmissile,1,,1500,4000,,100,100,5,30,8,21,,,KINETIC,,,0,8,3,0.5,0,0,0,0,,200,100,80,300,,,"DO_NOT_AIM, STRIKE, USE_VS_FRIGATES","strike8, rocket3, gundam_missile_bp",,Anaheim Electronics,,Anti Shield,Fast,Special,,,Unguided after a brief initial aiming stage.,,,,TRUE,11.75,,,
Missile Defence System,gundam_builtin_rear_flare,1,,600,1500,,100,,5,30,4,100,,,FRAGMENTATION,,,0,5,1,0.2,0,30,30,50,,450,300,5,300,,,"DO_NOT_AIM, PD_ONLY, PD","pd9, missile0,  gundam_missile_bp",,Anaheim Electronics,,Point Defense (Area),Excelent,Excelent,,,,,,,,41,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Launch Bay Guide,gundam_launch_bay_guide,5,0,,10000,,,,,0,0,,,,ENERGY,,0,3,5,0,0,,,,,300,,,,,,,"SYSTEM, DO_NOT_AIM, DO_NOT_CONSERVE, FIRE_WHEN_INEFFICIENT","energy20, beam15, LR, hist1t, gundam_beam_bp",,,,,,,,,,,,,,,,,
Ship Thruster,gundam_thruster_ship,5,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,,,,
Tiny Blue Thruster,gundam_thruster_tiny_blue,5,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,,,,
Tiny Red Thruster,gundam_thruster_tiny_red,5,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,,,,
Auxiliary Blue Thruster,gundam_thruster_aux_blue,5,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,,,,
Auxiliary Red Thruster,gundam_thruster_aux_red,5,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,,,,
Small Thruster,gundam_thruster_small,5,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,,,,
Middle Thruster,gundam_thruster_middle,5,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,,,,
Large Thruster,gundam_thruster_large,5,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suits Battery,gundam_battery,5,0,,800,,,,,,,30,,,KINETIC,,,0,1,1,0,0,0,0,0,,0,,,0,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Battery,,,,,,,,,,11.75,,,
Cyan Saber,gundam_saber_cyan,5,0,,5,,300,200,,100,,1,0.3,,ENERGY,70,,0,0.4,1,,,,,,,2000,,,1000,,,"SYSTEM, USE_VS_FRIGATES, ANTI_FTR","beam8, LR, no_sell, no_drop, no_drop_salvage",,,,Melee,,,,,,,,,,,,,
Purple Saber,gundam_saber_purple,5,0,,5,,300,200,,100,,1,0.3,,ENERGY,70,,0,0.4,1,,,,,,,2000,,,1000,,,"SYSTEM, USE_VS_FRIGATES, ANTI_FTR","beam8, LR, no_sell, no_drop, no_drop_salvage",,,,Melee,,,,,,,,,,,,,
Purple Saber,gundam_saber_purple_left,5,0,,5,,300,200,,100,,1,0.3,,ENERGY,70,,0,0.4,1,,,,,,,2000,,,1000,,,"SYSTEM, USE_VS_FRIGATES, ANTI_FTR","beam8, LR, no_sell, no_drop, no_drop_salvage",,,,Melee,,,,,,,,,,,,,
Yellow Saber,gundam_saber_yellow,5,0,,5,,300,200,,100,,1,0.3,,ENERGY,70,,0,0.4,1,,,,,,,2000,,,1000,,,"SYSTEM, USE_VS_FRIGATES, ANTI_FTR","beam8, LR, no_sell, no_drop, no_drop_salvage",,,,Melee,,,,,,,,,,,,,
Yellow Saber,gundam_saber_yellow_left,5,0,,5,,300,200,,100,,1,0.3,,ENERGY,70,,0,0.4,1,,,,,,,2000,,,1000,,,"SYSTEM, USE_VS_FRIGATES, ANTI_FTR","beam8, LR, no_sell, no_drop, no_drop_salvage",,,,Melee,,,,,,,,,,,,,
Green Saber,gundam_saber_green,5,0,,5,,300,200,,100,,1,0.3,,ENERGY,70,,0,0.4,1,,,,,,,2000,,,1000,,,"SYSTEM, USE_VS_FRIGATES, ANTI_FTR","beam8, LR, no_sell, no_drop, no_drop_salvage",,,,Melee,,,,,,,,,,,,,
Axe Slash,gundam_axe_slash,5,0,,5,,300,200,,100,,1,0.3,,ENERGY,70,,0,0.4,1,,,,,,,2000,,,1000,,,"SYSTEM, USE_VS_FRIGATES, ANTI_FTR","energy8, merc, no_sell, no_drop, no_drop_salvage",,,,General,,,,,,,,,,,,,
Axe Slash,gundam_dual_handed_axe,5,0,,10,,450,350,,100,,1,0.6,,ENERGY,100,,0,1,1,,,,,,,2000,,,1000,,,"SYSTEM, USE_VS_FRIGATES, ANTI_FTR","energy8, merc, no_sell, no_drop, no_drop_salvage",,,,General,,,,,,,,,,,,,
Beam Javelin,gundam_beam_javelin,5,0,,10,,450,350,,100,,1,0.6,,ENERGY,100,,0,1,1,,,,,,,2000,,,1000,,,"SYSTEM, USE_VS_FRIGATES, ANTI_FTR","energy8, merc, no_sell, no_drop, no_drop_salvage",,,,General,,,,,,,,,,,,,
Hyper Hammer,gundam_hyper_hammer,5,0,,150,500,,500,0,7,,,,,KINETIC,,200,0,2,1,4,,,,,500,,,,1000,,,"SYSTEM, USE_VS_FRIGATES, ANTI_FTR","energy20, beam15, LR, hist1t, no_sell, no_drop, no_drop_salvage",,,,Suppression,,,,,"Hits on hull or armor frequently arc to weapons and engines, dealing extra EMP and energy damage. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",,,,,40,,,
Bits Built-in Beam,gundam_builtin_beam,5,0,,500,,30,100,0,50,,5,0.5,,ENERGY,70,,0,1,,,,,,,,1000,,,,,,"SYSTEM, PD","pd7, beam7, SR, no_sell, no_drop, no_drop_salvage",,,,Point Defense,,,,,,,,,,,,,
Built-in Blue Beam,gundam_builtin_blue_beam,5,0,,1000,75,,50,0,20,,,,,ENERGY,,50,0.1,0.1,,,,,,,2400,,,,,,,"SYSTEM, PD","energy20, beam15, LR, hist1t, merc, no_sell, no_drop, no_drop_salvage",,,,Suppression,,,,,"Hits on hull or armor frequently arc to weapons and engines, dealing extra EMP and energy damage. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",,,,,,,,
Built-in Blue Beam,gundam_builtin_beam_proj,5,0,,500,,65,30,0,40,,6,0.8,6,ENERGY,70,,0,1,,,,,,,,1000,,,,,,"SYSTEM, PD","pd6,kinetic3,SR, no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,,,,
Built-in Beam,gundam_builtin_yellow_beam,5,0,,1000,75,,50,0,20,,,,,ENERGY,,50,0.1,0.1,,,,,,,2400,,,,,,,"SYSTEM, PD","energy20, beam15, LR, hist1t, merc, no_sell, no_drop, no_drop_salvage",,,,Suppression,,,,,"Hits on hull or armor frequently arc to weapons and engines, dealing extra EMP and energy damage. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",,,,,,,,
Built-in Yellow Beam,gundam_builtin_yellow_beam_proj,5,0,,500,,65,30,0,40,,6,0.8,6,ENERGY,70,,0,1,,,,,,,,1000,,,,,,"SYSTEM, PD","pd6,kinetic3,SR, no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,,,,
Built-in Particle Beam,gundam_builtin_yellow_particle_beam,5,0,,1000,150,,100,0,20,,,,,ENERGY,,100,0.1,0.1,,,,,,,2400,,,,,,,"SYSTEM, PD","energy20, beam15, LR, hist1t, merc, no_sell, no_drop, no_drop_salvage",,,,Suppression,,,,,"Hits on hull or armor frequently arc to weapons and engines, dealing extra EMP and energy damage. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",,,,,,,,
Built-in Mega Beam,gundam_builtin_yellow_mega_beam,5,0,,1000,1000,,800,0,7,,,,,ENERGY,,500,0.5,3,1,5,,,,,10000,,,,,,,"SYSTEM, CONSERVE_FOR_ANTI_ARMOR, STRIKE, USE_VS_FRIGATES","strike5, rocket1, no_sell, no_drop, no_drop_salvage",,,,Torpedo,Fast,None,,,,,,,TRUE,,,,
Built-in Mega Particle Beam,gundam_builtin_blue_mega_beam,5,0,,1200,1300,,1000,50,7,,,,,KINETIC,,500,0.5,3,1,10,,,,,10000,,,,,,,"SYSTEM, CONSERVE_FOR_ANTI_ARMOR, STRIKE, USE_VS_FRIGATES","strike5, rocket1, no_sell, no_drop, no_drop_salvage",,,,Torpedo,Fast,None,,,,,,,TRUE,,,,
Super-large Fusion Plasma Gun,gundam_builtin_fusion_plasma_laser,5,0,,2500,,2000,2000,250,4,,1,0.2,,KINETIC,4000,,1,6,1,5,0,0,0,0,,2000,,,1000,,,"SYSTEM, CONSERVE_FOR_ANTI_ARMOR, STRIKE, USE_VS_FRIGATES","strike5, rocket1, no_sell, no_drop, no_drop_salvage",,,,Torpedo,Fast,None,,,,,,,TRUE,,,,
Bazooka,gundam_bazooka,5,0,,550,,400,100,30,10,,3,,,HIGH_EXPLOSIVE,0,,1.5,1,1,5,0,0,0,0,,500,40,4,100,,,"SYSTEM, CONSERVE_FOR_ANTI_ARMOR, STRIKE, USE_VS_FRIGATES","beam8, LR, no_sell, no_drop, no_drop_salvage",,,,Torpedo,,,,,,,,,,,,,
Bazooka,gundam_bazooka_2,5,0,,550,,500,150,50,10,,3,,,HIGH_EXPLOSIVE,0,,1.5,1,1,5,0,0,0,0,,500,40,4,100,,,"SYSTEM, CONSERVE_FOR_ANTI_ARMOR, STRIKE, USE_VS_FRIGATES","beam8, LR, no_sell, no_drop, no_drop_salvage",,,,Torpedo,,,,,,,,,,,,,
Twin Beam Blade,gundam_twin_beam_sword_slash,5,0,,5,,250,250,,100,,1,0.3,,HIGH_EXPLOSIVE,70,,0,0.4,1,,,,,,,2000,,,1000,,,"SYSTEM, STRIKE, USE_VS_FRIGATES, ANTI_FTR","pd7, kinetic4, SR, no_sell, no_drop, no_drop_salvage",,,,Point Defense,,,,,,,,,,,,,
Built-in Machine Gun,gundam_light_machine_gun,5,0,,300,,25,,1,50,,,,,KINETIC,3,,0,0.2,5,0.1,0,5,1,15,,600,,,10,,,"SYSTEM, PD_ONLY, ANTI_FTR","utility8, missile0, no_sell, no_drop, no_drop_salvage",,,,Anti Small Craft,Fast,Excellent,,,,,,,,,,,
Built-in Missile,gundam_missile,5,0,,1000,,100,,5,50,,2,0.3,,HIGH_EXPLOSIVE,0,,0,5,2,0.2,0,0,0,0,,300,100,5,50,,,"SYSTEM, STRIKE, USE_VS_FRIGATES, ANTI_FTR","no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,,,,
Built-in MS Missile,gundam_builtin_ms_missile_blue,5,0,,1200,,100,,5,0,,18,,,HIGH_EXPLOSIVE,0,,0,5,6,0.01,0,30,15,2,,400,200,5,50,,,"SYSTEM, STRIKE, USE_VS_FRIGATES, ANTI_FTR","no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,,,,
Missile Pod,gundam_missile_pod,5,0,,3000,2500,,500,,50,10,25,6,,HIGH_EXPLOSIVE,0,,0,10,1,,0,0,0,0,,400,300,12,350,,,"SYSTEM, CONSERVE_5","missile18, strike15, rare_bp, hist1t, merc",,,,Finisher,Medium,Good,,,,,,,TRUE,16,,,
Built-in Charge Missile,gundam_straight_missile,5,0,,1000,,150,,5,30,,3,,,HIGH_EXPLOSIVE,,,0,5,1,3,0,0,5,0,,700,350,3,50,,,"SYSTEM, BOMB, STRIKE, USE_VS_FRIGATES","utility8, missile0, gundam_missile_bp, no_sell, no_drop, no_drop_salvage",,,,Suppression,Fast,Excellent,,,,,,,,41,,,
Sturm Faust,gundam_sturm_faust,5,0,,300,,300,200,25,10,,1,,,HIGH_EXPLOSIVE,0,,1,1,1,5,0,0,0,0,,500,40,4,350,,,"SYSTEM, CONSERVE_FOR_ANTI_ARMOR, STRIKE, USE_VS_FRIGATES","beam8, LR, no_sell, no_drop, no_drop_salvage",,,,Melee,,,,,,,,,,,,,
Subleft MG,gundam_left_subarm_mg,5,0,,600,,30,,1,40,,32,7,45,KINETIC,8,,0,0.15,,,0,3,0.66,5,,1200,,,10,,,"SYSTEM, PD, ANTI_FTR","no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,,,,
Subright MG,gundam_right_subarm_mg,5,0,,600,,30,,1,40,,32,7,45,KINETIC,8,,0,0.15,,,0,3,0.66,5,,1200,,,10,,,"SYSTEM, PD, ANTI_FTR","no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,,,,
Subleft Bazooka,gundam_left_subarm_bazooka,5,0,,550,,300,50,30,10,,3,,,HIGH_EXPLOSIVE,0,,0,3,1,,0,0,0,0,,500,40,4,350,,,"SYSTEM, CONSERVE_FOR_ANTI_ARMOR, STRIKE, USE_VS_FRIGATES","beam8, LR, no_sell, no_drop, no_drop_salvage",,,,Melee,,,,,,,,,,,,,
Subright Bazooka,gundam_right_subarm_bazooka,5,0,,550,,300,50,30,10,,3,,,HIGH_EXPLOSIVE,0,,0,3,1,,0,0,0,0,,500,40,4,350,,,"SYSTEM, CONSERVE_FOR_ANTI_ARMOR, STRIKE, USE_VS_FRIGATES","beam8, LR, no_sell, no_drop, no_drop_salvage",,,,Melee,,,,,,,,,,,,,
Subarm Extra Left Shield,gundam_efsf_ex_left_shield,5,0,,300,,,,,40,,,,,,,,,,,,,,,,,,,,,,,"SYSTEM, PD","no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Subarm Extra Right Shield,gundam_efsf_ex_right_shield,5,0,,300,,,,,40,,,,,,,,,,,,,,,,,,,,,,,"SYSTEM, PD","no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Subarm Extra Left Shield,gundam_efsf_ex_left_blue_shield,5,0,,300,,,,,40,,,,,,,,,,,,,,,,,,,,,,,"SYSTEM, PD","no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Subarm Extra Right Shield,gundam_efsf_ex_right_blue_shield,5,0,,300,,,,,40,,,,,,,,,,,,,,,,,,,,,,,"SYSTEM, PD","no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
EFSF Backpack,gundam_efsf_thunderbolt_pack,5,0,,100,,,,,0,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
ZEON Backpack,gundam_zeon_thunderbolt_pack,5,0,,100,,,,,0,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gundam GP-03 Head,gundam_gundam_gp03_dendrobium_head,5,0,,250,,18,,1,40,,"","","",KINETIC,4,"",0,0.4,10,0.1,0,5,1,15,,600,,"",10,,,"SYSTEM, PD_ONLY, ANTI_FTR","no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,,,,
Gundam GP-03 Gun,gundam_gundam_gp03_dendrobium_gun,5,0,,600,,250,130,0,40,,6,0.8,6,ENERGY,120,,0,1,1,,,,,,,1000,,,,,,"SYSTEM, ANTI_FTR, USE_VS_FRIGATES","pd6,kinetic3,SR, no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,,,,
Gundam GP-03 Mega Cannon,gundam_gundam_gp03_dendrobium_mega_cannon,5,0,,1200,1300,,1000,50,7,,,,,KINETIC,,500,0.5,3,1,10,,,,,10000,,,,,,,"SYSTEM, CONSERVE_FOR_ANTI_ARMOR, STRIKE, USE_VS_FRIGATES","strike5, rocket1, no_sell, no_drop, no_drop_salvage",,,,Torpedo,Fast,None,,,,,,,TRUE,,,,
Gundam GP-03 Leg,gundam_gundam_gp03_dendrobium_leftleg,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Gundam GP-03 Leg,gundam_gundam_gp03_dendrobium_rightleg,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ball Cannon,gundam_ball_cannon,5,0,,850,,250,100,1,5,,1,0.2,1,HIGH_EXPLOSIVE,400,,0,5,1,,,,,,,1000,,,300,,,"SYSTEM, STRIKE, USE_VS_FRIGATES","no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,,,,
Ball Hand,gundam_ball_lefthand,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Ball Hand,gundam_ball_righthand,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Ball Type K Double Cannon,gundam_ball_typek_cannon,5,0,,500,,50,,1,40,,,,,KINETIC,10,,0.05,0.05,6,0.3,1,12,2,15,,800,,,10,,,"SYSTEM, PD_ONLY, ANTI_FTR","pd7, kinetic4, SR, gundam_ballistic_bp, no_sell, no_drop, no_drop_salvage",,,,Point Defense,,,,,,,,,,30,,,
Ball Type K Hand,gundam_ball_typek_lefthand,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Ball Type K Hand,gundam_ball_typek_righthand,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
GM Early Type Gun,gundam_gm_early_gun,5,0,,500,,40,,1,40,,36,5,36,KINETIC,8,,0,0.25,,,0,3,0.66,5,,1200,,,10,,,"SYSTEM, PD, ANTI_FTR","no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,,,,
