name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite,
Integrated Targeting Unit (Fighter),hmi_fighteritu,,,,,,,,TRUE,,0,0,0,0,data.hullmods.HMI_FighterITU,Increases the range of the fighter's weapons.,Increases the range of the fighter's weapons.,,graphics/hullmods/ballistics_integration.png,
,,,,,,,,,,,,,,,,,,,,
Safety Overrides (Fighter),hmi_safetyoverrides,,,,,,,,TRUE,,0,0,0,0,data.hullmods.HMI_FighterSO,"Disabling safety protocols increases the fighter's top speed in combat and allows the zero-flux engine boost to take effect regardless of flux level. The flux dissipation rate, including that of additional vents, is increasd.
 Reduces the peak performance time, prevents the use of active venting, and drastically reduces weapon ranges past 450 units.","Drastic improvement in performance, much lower peak time.",,graphics/hullmods/safety_overrides.png,
Safety Overrides (Locomotive),loco_safetyoverrides,,,,,,,,TRUE,,15,30,45,70,data.hullmods.LocoSafetyOverrides,"Disabling safety protocols increases the ship's top speed in combat by %s/%s/%s (depending on ship size, with a corresponding increase in acceleration) and allows the zero-flux engine boost to take effect regardless of flux level. The flux dissipation rate, including that of additional vents, is increased by a factor of %s.

Reduces the peak performance time by a factor of %s, prevents the use of active venting. Due to the existing station infrastructure, the range of weapons is only drastically reduced past %s units.","Drastic improvement in performance, much lower peak time.",,graphics/hullmods/safety_overrides.png,
Accelerated Acquisition Computator,hmi_aac,,,,,,,,TRUE,,0,0,0,0,data.hullmods.HMI_AAC,"The existing infrastructure originally used by the Advanced Targeting Core is instead occupied by several low-grade AI cores working in tandem to make effective on the fly targeting solutions, and continous weapon management to maintain peak weapon function. Autoaim targeting is improved by %s, weapon turn rate is increased by %s, recoil reduced by %s and recoil decay improved by %s.","Improves weapon aim, and reduces recoil.",,graphics/hullmods/axial_rotation.png,
Subliminal Encouragement System,hmi_subliminal,4,0,Techmined Technology,"req_spaceport, special",Special,100000,,,,6,10,14,24,data.hullmods.HMISubliminalEncouragement,"Using forbidden and prototypical Tri-Tachyon technology, subliminal mind-control process are built into the ship's life support and communication systems and used to improve the combat readiness of the crew by %s. However, the messaging can cause crew to act almost suicidally under combat situations to fulfil the subliminal orders, increasing combat readiness loss by a factor of %s past peak performance time. Installation of this system into the ship subsystems is incompatible with %s.","Increased CR, increases crew losses.",,graphics/hullmods/advanced_targeting_core.png,
AI Enforced Compliance System,hmi_subliminal_ai,4,0,Techmined Technology,"req_spaceport, special",Special,100001,,,,6,10,14,24,data.hullmods.HMISubliminalEncouragementAI,"Due to their alien minds, utilising the subliminal mind-control in the system is less refined and more brutal in enforcing compliance. Increases combat readiness by %s, but increases maintenance by %s and slows repair rate by %s. Incompatible with %s.",Increased CR.,,graphics/hullmods/illadvised.png,
Weapon Overhaul,hmi_moradebuff,,,,,,,,TRUE,,0,0,0,0,data.hullmods.HMI_MoraDebuff,"In the course of changing the weapons to a more flexible layout, the fighter bays have become compromised. Fighter speed reduced by %s, and damage taken increased by %s.",Fighter Bays are Compromised,,graphics/hullmods/converted_hangar.png,
Hazard Mining Stop-Gaps,HMICommissionedCrews,,,Hazard Mining Incorporated,,,,FALSE,TRUE,,0,0,0,0,data.hullmods.HMICommissionedCrews,"Out beyond the Core Systems, engineers and crew have learned several alternatives to keep ships running without easy access to manufactories, as well as keeping themselves alive under often harsh management policies.

Supply and fuel usage is reduced by %s, repairs are performed %s cheaper, and crew loss from hull damage and fighter loss is reduced by %s.","Grants several small bonuses to cargo and fuel use, repair cost and crew survivability.",,graphics/hullmods/HMI_comission.png,
,,,,,,,,,,,,,,,,,,,,
Riverflop Modification,HMI_MB_boltcoherer,,,,,,,,TRUE,,0,0,0,0,data.hullmods.HMI_MB_EnergyBoltCoherer,"This ship has considerable after-market modifications to it's weapons systems. These alterations improve the range of projectile Energy and Hybrid weapons by %s units. However, these modifications have undermined the ability of the system to handle beam weapons, reducing their range by %s.","Increases energy and hybrid projectile range, decreases beam range.",,graphics/hullmods/coherer.png,
Undertaker Autoloaders,HMI_MB_armourmounts,,,,,,,,TRUE,,0,0,0,0,data.hullmods.HMI_MB_ArmoredWeapons,"The autoloaders of the ship have been tuned to increase the firing rate by %s. However, these alterations have resulted in an increase in flux cost to fire by %s.","Increases firing rate, but increases flux cost.",,graphics/hullmods/expanded_magazines.png,
Mysterious Cargo Holds,hmi_mb_mysterious,,,,,,,,TRUE,,0,0,0,0,data.hullmods.HMI_MessSpawnerMystery,"The cargo holds have been modified to contain… something. They're too badly damaged to identify what they were used for, but your technicians assure you that they still work like a normal.",The cargo holds have been modified mysteriously.,,graphics/hullmods/converted_fighter_bay.png,
Razorback Modification,HMI_MB_tarsusboost,,,,,,,,TRUE,,0,0,0,0,data.hullmods.HMI_MB_Militarization,"Aftermarket modifcations to this ship have improved the rate of fire by %s, reduced the flux cost of firing weapons by %s, extended the base range of all weapons by %s, and increase armour by a flat %s.",Small improvements to weapon and armour.,,graphics/hullmods/rugged_construction.png,
Faulty Missile Autoforge,hmi_missile_reload,,,,,,,,TRUE,,0,0,0,0,data.hullmods.HMI_PeriodicMissileReload,"An autoforge inside the ship periodically %s of the magazines of all missile weapons, however the system isn't perfect, with %s. Reloads occur %s after the first missile weapon reaches half ammunition. Reloads only occur on weapons with less than maximum ammunition.

%s.","Periodically reloads all missile weapons, but weapons are prone to malfunction.",,graphics/hullmods/missile_autofactory.png,
,,,,,,,,,,,,,,,,,,,,
HULLMOD CONFLICT,IncompatibleHullmodWarning,,,,,,,,TRUE,,0,0,0,0,data.hullmods.IncompatibleHullmodWarning,"%s, the hullmod you tried to install conflicts with this hull or another previously installed hullmod.","%s, the hullmod you tried to install conflicts with this hull or another previously installed hullmod.",,graphics/icons/intel/investigation.png,
,,,,,,,,,,,,,,,,,,,,
God is In the Singularity,hmi_blackholepathboost,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.HMI_BlackPhase,Can you hear it?,,,,graphics/icons/intel/investigation.png
Extradimensional Architecture,hmi_blackholepathboost_flag,,,,,,,,TRUE,,0,0,0,0,data.hullmods.HMI_BlackPhaseFlag,"This vessel possesses a hazardous amount of irrational geometries, with some sections being longer or shorter. Further, on phasing irregularities can occur in the structure, causing new spatial regions to emerge into missing sections - although where these new sections come from is unclear. Jokes about the ship being a gateway to the Backrooms abound, although considering the way this ship works, it might not necessarily be untrue.

On phasing, this ship will %s, with repair rate reducing with increasing flux. Strain in p-space to the ship causes peak CR time to degrade %s faster, and loss of CR over peak time to degrade by an extra %s when phased.",,,,graphics/hullmods/augmented_drive_field.png
,,,,,,,,,,,,,,,,, ,,,
Object Boost,hmi_objectboost,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.HMI_ObjectBoost,A hullmod that makes Objects spawn consistently with AI cores.,,,,graphics/icons/intel/investigation.png
Mess Core Add,hmi_messcore,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.HMI_MessCore,A hullmod that makes Mess Vessels spawn consistently with Mess Cores.,,,,graphics/icons/intel/investigation.png
Remnant Mess Core Add,hmi_remmesscore,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.HMI_RemMessCore,A hullmod that makes Mess Vessels spawn consistently with Mess Cores.,,,,graphics/icons/intel/investigation.png
,,,,,,,,,,,,,,,,,,,,
Maxwell Boost,hmi_maxwellboost,,,,,,,,TRUE,,0,0,0,0,data.hullmods.HMI_MaxwellBoost,"Maxwell alterations and integrating AI systems into this vessel increases the timeflow aboard this ship by %s and energy damage dealt by this ship by %s. Further, the modifications enhance the ship systems, granting %s if the system possesses multiple charges, regenerates charges %s faster, and reduces the cooldown between uses by %s.

However, the nature of these modifications overstress the systems reducing peak performance by %s. Further, unknown errors that Maxwell Scientific have not been able to resolve cause the peak performance to decrease by an additional %s while phased.",,,,graphics/hullmods/maxwell_AI.png
,,,,,,,,,,,,,,,,,,,,
Unstable Visual Emissions,hmi_mess_visuals,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.HMI_Mess_VisualEffect,Fancy visual effects for mess ships.,,,graphics/icons/intel/investigation.png,
Unstable Nanite Mass,hmi_mess_spawn,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.HMI_MessSpawner,Releases nanite mass on destruction,Releases nanite mass on destruction,,graphics/icons/intel/investigation.png,
Critically Unstable Nanite Mass,hmi_mess_spawn_medium,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.HMI_MessSpawnerGreater,Releases nanite mass on destruction,Releases nanite mass on destruction,,graphics/icons/intel/investigation.png,
Dangerously Unstable Nanite Mass,hmi_mess_spawn_nova,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.HMI_MessSpawnerNova,Releases nanite mass on destruction,Releases nanite mass on destruction,,graphics/icons/intel/investigation.png,
,,,,,,,,,,,,,,,,,,,,
Rampant Nanoforge,hmi_ship_factory,,,,,,,,TRUE,,0,0,0,0,data.hullmods.HMI_RampantDerelictShipfactory,Regularly launches frigates to assist in combat.,,,graphics/icons/intel/investigation.png,
,,,,,,,,,,,,,,,,,,,,
Abnormality,hmi_terror_boost,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.HMI_Horror_Boost,Makes the second phase onwards harder.,,,graphics/icons/intel/investigation.png,
Terror Vanish,hmi_terror_vanish,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.HMI_HorrorVanish,"BAM, and the dirt is gone!",,,graphics/icons/intel/investigation.png,
Terror Spawner,hmi_terror_spawner,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.HMI_HorrorSpawner,Spawns the second phase when ship is disabled/destroyed.,,,graphics/icons/intel/investigation.png,
Terror Spawner Back,hmi_terror_spawner_back1,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.HMI_HorrorSpawnerBack,Spawns the second phase when ship is disabled/destroyed.,,,,
Terror Spawner Right,hmi_terror_spawner_right1,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.HMI_HorrorSpawnerRight,Spawns the second phase when ship is disabled/destroyed.,,,,
Terror Spawner Left,hmi_terror_spawner_left1,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.HMI_HorrorSpawnerLeft,Spawns the second phase when ship is disabled/destroyed.,,,,
,,,,,,,,,,,,,,,,,,,,
Terror Initiator,hmi_terror_spawner2,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.HMI_HorrorSpawner2,Spawns the third phase when ship is disabled/destroyed.,,,graphics/icons/intel/investigation.png,
,,,,,,,,,,,,,,,,,,,,
Terror Substantiator,hmi_terror_spawner3,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.HMI_HorrorSpawner3,Spawns the fourth phase when ship is disabled/destroyed.,,,graphics/icons/intel/investigation.png,
THE HORROR,hmi_terror_mindcontrol,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.HMI_Horror_Control,Cackles evilly.,,,graphics/icons/intel/investigation.png,
,,,,,,,,,,,,,,,,,,,,
error Terro Terror Terror Terror Terr,hmi_terror_spawner4,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.HMI_HorrorSpawner4,Spawns the fifth phase when ship is disabled/destroyed.,,,graphics/icons/intel/investigation.png,
THE HORROR,hmi_terror_mindcontrol2,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.HMI_Horror_Control2,Laughs maniacally.,,,graphics/icons/intel/investigation.png,
Finale,hmi_terror_vanish2,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.HMI_HorrorVanishFinal,The End…for now.,,,graphics/icons/intel/investigation.png,
