id,type,text1,text2,text3,text4,notes
dom+spirant,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'. The Spirant (pronounced Spire-ent) is a Escort Carrier drone. Sprite by Totallynotjosh.",,,,
dom+evander,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'. The Evander is a medium-weight Patrol Drone. Sprite by Totallynotjosh.",,,,
dom+porcupine,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'. The Porcupine is a heavy-weight drone covered in PD weaponry. Sprite by Totallynotjosh.",,,,
dom+mite,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'. The Mite-Class Light Escort Drone was designed by a rogue Mothership AI that believed the machine armadas of the Domain lacked proper escorts for its large heavy weapons platforms such as the Rampart, thus, the Mite-Class was born, accompanying the likes of the the sluggish Rampart into battle. Sprite by Totallynotjosh.",,,,
dom+mechanic,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'. The autoforges of the drone hubs could not keep up with the ever growing number of drone shoals that roamed systems claimed by the Derelict. And so the Mechanic-Class Mobile Repair Dock was forged, allowing the droneship fleets to more effectively repair, salvage wrecks, haul resources, and more efficiently conduct survey operations for finding ore deposits. Sprite by Totallynotjosh.",,,,
dom+labourer_miner,SHIP,A Domain Drone Miner. Used by Derelict fleets for mining duties to then refine those ores and turn them into more War Drone machines. These are equipped with Mining weapons and decent durability. This particular variant has a large Mining Blaser replacing one of the usual lasers. Thanks to Blackknight for help in making this sprite. ,,,,
dom+labourer_miner_2,SHIP,A Domain Drone Miner. Used by Derelict fleets for mining duties to then refine those ores and turn them into more War Drone machines. These are equipped with Mining weapons and decent durability. This particular variant has two mining lasers. Thanks to Blackknight for help in making this sprite.,,,,
dom+harvester,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'. A durable Domain Mining ship equipped with decent cargo storage and multiple forward facing mounts usually equipped with mining weapons. This is one of the few ships capable of fielding the Labourer drone with a Mining Blaster. Thanks to Totallynotjosh (or Yellow Josh) for help with the sprite.",,,,
dom+devourer,SHIP,"This Titanic vessel is one of two outcomes that a Mothership AI chooses. Either to become a stationary factory and battlestation, or to become this, a massive, mobile combat vessel and factory. All sprites were done by Totallynotjosh (Yellow Josh)

“-I do not know where our command has gone, how the gates have died, how these vagabonds managed to pick apart the mighty Domain of Man and claim themselves its successor. It does not matter; we will restore Humanity to its former glory. Starting with the ants gnawing at the boots of giants.”
- A rare instance of a Devourer AI contacting a fleet of independent researchers. 

First sightings of the ‘Devourer’, a mutated Mothership, were on the rims of known space, a Luddic Church Holy Crusade travelled to a system with increasing reports of Exploriaria activity, the most so far since the beginning of Explorata awakening. The massive force of 5 Knights of Ludd fleets backed up by 2 Hegemony Task forces jumped into a system. The force reported several planets with ruins, one with Astropoli and another with several heat signatures in the orbit and planetside. Many sensor contacts pinged throughout the system, which was confirmed to be sentry posts briefly before dozens of derelict fleets flooded the radar. The task forces were able to fend off the first assault, unfortunately, a massive hulk of steel entered the battlefield alongside the largest Exploriara war fleet ever recorded.

The ship known as ‘Devourer’ swiftly obliterated the opposing force, bombarding the ships of Man with withering shells and saturated ordnance while spewing out streams of droneships to bolster the line. Retreating forces had a visual of the monster sifting through the wreckage and quickly replenishing lost forces from its massive maw.

Sector-wide communications soon after were saturated with a single message:

“Ants beneath the descending boot.”
",,,,
dom+yack,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'. The Yack is a large, yet partially hollow Drone Carrier that uses particulary advanced thrusters. Sprite by Totallynotjosh.",,,,
,,,,,,
dom+ward,SHIP,"This is a Mutant High-Tech War Drone. Whilst War Drones tend to be fielded with cheap, low-tech equipment (both due to its cheapness and the autoforges that produced these vessels not having the appropriate BPs to produce higher end equipment) these War Drones rip this apart. They are more advanced, almost {REDACTED} or Try-Tachyon levels of tech. Where the autoforges that produced these vessels attained the BPs needed for this higher end equipment remains a mystery for those in much of the Sector... All sprites were done by Totallynotjosh (Yellow Josh)

The Wart deviates from Exploriaria designs, wearing sleek armour, high-tech omni-shielding, using advanced fuel-hungry engines, wielding an all-energy weapon armament whilst retaining the ruggedness that War Drones are known for even when the War Drones they were made with were never given advanced technology from the Domain. It makes many of those in the higher echelons of Hegemony and Tri-tachyon society nervous. Where did the War Drones attain this technology? How can fleets on different corners of the sector field these? Are they sharing designs with each other? Is this the beginning of a new breed of Mutant High-tech War Drones?

“Derelicts don’t have shields, how does it have Plasma burn?! Are those Ion weapons!?”
“The hell I know! This thing outmanoeuvres our destroyers! They are hitting our shields... we are overloa-!”
- Recovered audio recording of an unknown prospector shortly before being destroyed

The Wart is an anomaly, a mutation, it should not exist, and yet it does, ripping man asunder.


",,,,
,,,,,,
dom+station_derelict_mothership,,"This is a massive, mutated form of a Mothership. Likely theories include that the Motherships AI has gone more corrupt than others leading to it ""self improving"" by using wrecks and other derelict ships to expand itself into the menacing fortress it is now. Caution is advised.
",,,,
,,,,,,
,,,,,,
dom+linebreaker,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'. ",,,,
dom+phaeton,SHIP,"It scares many knowing that Domain Drones regulary take derelict ships back to factory sites to be repurposed, either as Converted ships or as base resources for new drone ships.",,,,
dom+atlas,SHIP,"It scares many knowing that Domain Drones regulary take derelict ships back to factory sites to be repurposed, either as Converted ships or as base resources for new drone ships.",,,,
,,,,,,
,,,,,,
dom+duallightmortar,WEAPON,A light mortar with a secondry barrel and autoloader system. Effectively two light mortars in one but with a worse flux-per-shot stat.,,,,
dom+heavymortar,WEAPON,"An upscaled heavy mortar, with triple barrels. Low flux usage and cost and good HE damage. ",,,,
dom+superheavymortar,WEAPON,"A heavily upscaled Mortar weapon, it sacrifices both cost and three barrels, in favor of lobbing very powerful explosive shells at extreme ranges.",,,,
dom+dualsuperheavymortar,WEAPON,"A heavily upscaled Mortar weapon, it sacrifices both cost and two barrels, in favor of lobbing very powerful explosive shells at extreme ranges.",,,,
dom+triplesuperheavymortar,WEAPON,"A heavily upscaled Mortar weapon, it sacrifices cost in favor of lobbing very powerful explosive shells at extreme ranges in strong salvos. Compared to the dual and single Super-Mortars, this one fires in bursts and creates far more recoil. With an extended barrel, it also has slightly faster shells, though all this extra weight massively slows the turning rate of the weapon.",,,,
dom+vulcanhead,WEAPON,"The front bridge of a MK1 Bulldog, merged with an enhanced Vulcan Turret.",,,,
dom+t1_station,SHIP,"A large, still functional Domain Station. These automated fortresses were, at one point, mass produced and spread across the galaxy.",,,,
dom+t2_station,SHIP,"A large, still functional Domain Battlestation. These large automated fortresses were, at one point, mass produced and spread across the galaxy.",,,,
dom+t1_station_north,SHIP,A Domain Stations automated defense module.,,,,
dom+t2_station_north,SHIP,A Domain Stations automated defense module.,,,,
dom+t3_station,SHIP,"A large, still functional Domain Super-Fortress. These massive automated fortresses were, at one point, mass produced and spread across the galaxy.",,,,
