name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
,dom+dev_left_1,Module,,,1,20000,1600,3500,,650,110,2,0,0,0,4,4,950,NONE,,0,0,0,,,0,0,0,0,1,0,,1,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,
,dom+dev_right_1,Module,,,1,22500,1600,3300,,650,100,,0,0,0,4,4,900,NONE,,0,0,0,,,0,0,0,0,1,0,,1,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain Battleship,dom+dreadnought,Drone,Explorarium,burndrive,28,22000,1500,9000,,750,240,4,18,12,12,8,12,4800,NONE,,0,0,0,,,0,0,440,440,15,27,6,300000,3,20,480,0.25,48,16,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, CARRIER","derelict, auto_rec, rare_bp",,0.4,2,6,,
Domain Mega-Hauler,dom+mega_hauler,Cargo Drone,Explorarium,flarelauncher,10,20000,1400,2200,,250,100,2,15,5,5,6,10,4900,NONE,,0,0,0,,,0,0,900,900,11,20,7,170000,5,20,600,0.25,15,5,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, CIVILIAN, TANKER, FREIGHTER","derelict, auto_rec, rare_bp",,0.4,2,5,,
Drone Converted Prometheus,dom+prometheus,Tanker Drone,Explorarium,flarelauncher,14,12000,1300,2000,,250,100,1,25,10,5,4,4,4200,NONE,,0,0,0,,,0,0,250,1800,11,500,7,110000,2,25,480,0.25,15,5,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, CIVILIAN, TANKER","derelict, auto_rec, rare_bp",,0.4,2,5,,
Drone Converted Atlas,dom+atlas,Cargo Drone,Explorarium,burndrive,14,15000,1400,4000,,450,100,,20,5,2,3,2,5000,NONE,,0,0,0,,,0,0,1600,300,11,67,7,110000,2,25,480,0.25,15,5,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, CIVILIAN, FREIGHTER","derelict, auto_rec, rare_bp",,0.7,2,5,,
Operational Survey Ship,dom+surveyship,Explorer,Explorarium,reservewing,30,26000,1300,6000,,500,120,4,10,10,10,7,10,4750,NONE,,0,0,0,,,0,0,1250,1250,15,27,8,300000,3,30,480,0.25,30,15,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, CARRIER, TANKER, FREIGHTER","derelict, no_autofit, auto_rec, rare_bp",,0.4,2,6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Cruiser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy Loader,dom+loader,Cargo Drone,Explorarium,burndrive,15,13000,1700,5000,,280,90,,35,20,10,12,10,3000,NONE,,0,0,0,,,0,0,450,450,3,15,9,170000,5,8,600,0.25,15,5,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, CIVILIAN, TANKER, FREIGHTER","derelict, auto_rec, rare_bp",,0.5,2,4,,
Osiron Minotaur,dom+minotaur,Drone,Explorarium,dom+forgevats,20,12000,1500,7500,,300,95,2,45,30,20,20,20,3200,FRONT,,200,0.3,1,,,0,0,225,225,8,20,8,140000,5,10,480,0.25,21,7,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec, rare_bp",,0.5,2,4,,
Operational Survey Probe,dom+surveyprobe,Explorer,Explorarium,flarelauncher,20,13000,1000,4000,,400,75,2,30,30,30,25,30,3400,NONE,,0,0,0,,,0,0,550,550,8,27,9,170000,3,12,480,0.25,21,7,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, CARRIER, TANKER, FREIGHTER","derelict, no_autofit, auto_rec, rare_bp",,0.5,2,4,,
Theseus,dom+theseus,Drone,Explorarium,reservewing,20,12000,1250,5000,,320,85,2,30,25,25,20,20,3200,NONE,,0,0,0,,,0,0,175,175,8,20,8,140000,5,10,480,0.25,18,6,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, CARRIER","derelict, auto_rec, rare_bp",,0.5,2,4,,
Iris,dom+iris,Drone,Explorarium,reservewing,17,10000,1100,4000,,290,70,3,50,35,35,20,20,2600,NONE,,0,0,0,,,0,0,150,100,8,20,9,140000,5,8,600,0.25,15,5,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, CARRIER","derelict, auto_rec, rare_bp",,0.5,2,4,,
Porcupine,dom+porcupine,PD Drone,Explorarium,ammofeed,22,13000,1200,5000,,300,80,,25,20,10,20,20,3300,NONE,,0,0,0,,,0,0,160,95,8,20,8,145000,5,12,480,0.25,21,7,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec, rare_bp",,0.5,2,4,,
Harvester,dom+harvester,Mining Drone,Explorarium,burndrive,15,11000,1150,4250,,400,75,1,60,35,35,20,20,2750,NONE,,0,0,0,,,0,0,450,650,8,20,8,130000,5,10,480,0.25,12,4,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, CIVILIAN, FREIGHTER","derelict, no_autofit, auto_rec, rare_bp",,0.5,2,4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# destroyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulldog Protector MKII,dom+bulldogmkii,Drone,Explorarium,ammofeed,12,5000,1200,4000,,260,70,,80,40,20,20,20,425,NONE,,0,0,0,,,0,0,90,30,1,20,9,30000,5,8,600,0.25,9,3,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","derelict, no_autofit, auto_rec, rare_bp",,0.5,2,3,,
Campaigner Transport,dom+campaigner,Cargo Drone,Explorarium,burndrive,5,2500,800,2500,,250,45,1,35,20,15,10,10,900,NONE,,0,0,0,,,0,0,325,325,6,15,10,80000,5,8,480,0.25,24,8,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, CIVILIAN, TANKER, FREIGHTER","derelict, no_autofit, auto_rec, rare_bp",,0.5,2,3,,
Converted Phaeton,dom+phaeton,Tanker Drone,Explorarium,burndrive,5,2250,500,1400,,125,45,,40,20,15,15,10,500,NONE,,0,0,0,,,0,0,20,800,3,400,8,24000,5,20,480,0.25,3,1,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, CIVILIAN, TANKER","derelict, no_autofit, auto_rec, rare_bp",,0.5,3,3,,
Bulldog Protector MKIII,dom+bulldogmkiii,Artillery Drone,Explorarium,ammofeed,14,6000,1200,4200,,300,60,2,50,30,15,15,15,475,NONE,,0,0,0,,,0,0,110,45,2,20,8,33000,5,8,600,0.25,9,3,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","derelict, no_autofit, auto_rec, rare_bp",,0.5,2,3,,
Spirant,dom+spirant,Escort Drone,Explorarium,flarelauncher,10,4000,1000,3500,,255,60,2,70,45,25,25,25,400,NONE,,0,0,0,,,0,0,85,40,1,20,10,33000,5,8,600,0.25,9,3,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, CARRIER","derelict, auto_rec, rare_bp",,0.5,2,3,,
Evander,dom+evander,Patrol Drone,Explorarium,ammofeed,9,3300,700,2000,,300,40,,75,50,40,40,40,200,NONE,,0,0,0,,,0,0,25,25,1,20,10,12000,5,6,600,0.25,9,3,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","derelict, no_autofit, auto_rec, rare_bp",,0.5,2,3,,
Ward-Probe,dom+ward,Mutated Drone,Explorarium,plasmajets,15,3000,600,10000,,700,70,,80,55,55,45,45,300,OMNI,,160,0.3,0.8,,,0,0,80,50,6,20,10,42000,5,18,600,0.25,9,3,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","derelict, no_autofit, auto_rec, rare_bp",,0.5,2,3,,
Yack,dom+yack,Carrier Drone,Explorarium,reservewing,14,5000,1400,3000,,400,60,2,40,30,30,25,25,1000,NONE,,0,0,0,,,0,0,250,75,7,20,9,43000,5,10,600,0.25,9,4,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, CARRIER","derelict, auto_rec, rare_bp",,0.5,2,4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# frigate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defender MKII,dom+defender,Drone,Explorarium,reservewing,4,1800,350,600,,125,25,1,90,80,80,80,130,190,NONE,,0,0,0,,,0,0,45,45,0.5,20,10,7000,5,4,600,0.25,6,2,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec, rare_bp",,0.5,2,2,,
Bulldog MKI,dom+bulldog,Drone,Explorarium,burndrive,4,2500,600,800,,160,40,,100,100,90,100,200,165,NONE,,0,0,0,,,0,0,30,30,0.25,20,10,6500,5,4,600,0.25,6,2,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","derelict, no_autofit, auto_rec, rare_bp",,0.5,2,2,,
Drone Converted Dram,dom+dram,Tanker Drone,Explorarium,flarelauncher,4,1000,400,1000,,50,30,,100,50,30,20,40,225,NONE,,0,0,0,,,0,0,15,250,0.5,300,9,9000,8,20,480,0.25,3,1,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, CIVILIAN, TANKER","derelict, auto_rec, rare_bp",,0.5,2,2,,
Bulldog Converted Drone-Mech,dom+mechbulldog,Drone,Explorarium,burndrive,6,2500,700,1300,,200,40,,95,90,80,90,180,170,NONE,,0,0,0,,,0,0,25,25,0.75,20,9,10000,5,4,600,0.25,9,3,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec, rare_bp",,0.5,2,2,,
Mite-Class,dom+mite,Drone,Explorarium,ammofeed,3,750,400,600,,160,30,,125,125,110,125,200,130,NONE,,0,0,0,,,0,0,15,20,0.2,20,11,4000,5,3,600,0.25,3,1,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec, rare_bp",,0.5,2,2,,
Explorium Mechanic,dom+mechanic,Cargo Drone,Explorarium,flarelauncher,2,1500,600,500,,160,25,,110,110,110,100,200,135,NONE,,0,0,0,,,0,0,110,240,0.25,20,10,10000,5,4,600,0.25,3,1,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, CIVILIAN, TANKER, FREIGHTER","derelict, auto_rec, rare_bp",,0.5,2,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# wings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fencer,dom+fencer_wing_Fighter_wing,,Explorarium,flarelauncher_single,,1000,190,300,,80,0,,250,300,200,100,150,50,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
Fencer (Hammer),dom+fencer_wing_Bomber_wing,,Explorarium,flarelauncher_single,,1000,190,300,,80,0,,200,250,150,50,100,60,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
Explorium Defense pod,dom+defense_pod_Autocannon,,Explorarium,maneuveringjets,,200,100,150,,45,0,,250,400,400,150,200,20,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
Jouster Gunship,dom+jouster_wing_gunship,,Explorarium,ammofeed,,1750,425,500,,110,0,,200,200,200,60,100,125,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
Labourer,dom+labourer_miner,,Explorarium,burndrive,,700,200,1250,,130,0,,120,60,60,50,50,75,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
Labourer,dom+labourer_miner_2,,Explorarium,burndrive,,700,200,1250,,130,0,,120,60,60,50,50,75,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
Marjinot,dom+marjinot_wing,,Explorarium,maneuveringjets,,600,175,300,,80,0,,275,300,300,125,150,40,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linebreaker,dom+linebreaker,Drone,Explorarium,maneuveringjets,30,14000,1600,9500,,550,110,4,30,20,15,6,12,2250,FRONT,,110,0.25,1,,,0,0,600,300,11,20,8,425000,5,20,600,0.25,39,13,,,,,,,"SHIP_WITH_MODULES, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec, rare_bp",,0.5,3,5,,
,dom+linebreaker_right,Right Module,,fastmissileracks,1,9000,1250,2200,,200,90,,30,20,15,6,12,1250,NONE,,0,0,0,,,0,0,0,0,1,0,,1,,1,600,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,
,dom+linebreaker_left,Left Module,,fastmissileracks,1,9000,1250,2200,,200,90,,30,20,15,6,12,1250,NONE,,0,0,0,,,0,0,0,0,1,0,,1,,1,600,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# stations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain Defense Station,dom+t1_station,Defensive Station,Explorarium,reservewing,110,10000,2250,3000,,400,100,1,0,0,0,4,4,2500,NONE,,0,0,0,,,0,0,500,500,25,20,5,300000,5,30,,,75,25,,,,,,,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,
,dom+t1_station_north,Module,,flarelauncher,1,12000,1400,2200,,300,75,2,0,0,0,4,4,500,NONE,,0,0,0,,,0,0,0,0,1,0,,1,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,
Domain Defense Battlestation,dom+t2_station,Defensive Station,Explorarium,reservewing,220,14000,2300,4000,,500,125,2,0,0,0,4,4,3200,NONE,,0,0,0,,,0,0,800,800,35,20,4,400000,5,30,,,90,35,,,,,,,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,
,dom+t2_station_north,Module,,flarelauncher,1,10000,1200,1800,,275,50,,0,0,0,4,4,300,NONE,,0,0,0,,,0,0,0,0,1,0,,1,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,
Domain Defense Star Fortress,dom+t3_station,Defensive Station,Explorarium,reservewing,330,18000,2500,6000,,800,215,3,0,0,0,3,3,4000,NONE,,0,0,0,,,0,0,1250,1250,50,20,3,50000,5,30,,,120,45,,,,,,,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Mothership+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Active Mothership,dom+station_derelict_mothership,Domain-era Survey Mothership Station,,reservewing,350,50000,2200,3000,2500,750,200,2,30,200,200,2,2,7000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,50,50,,,,,,,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,0,,,,
,dom+ms_bottom_left_1,Module,,reservewing,1,15000,1500,2500,,350,80,2,0,0,0,4,4,500,NONE,,0,0,0,,,0,0,0,0,1,0,,1,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,
,dom+ms_bottom_right_1,Module,,flarelauncher,1,12000,1400,2500,,350,70,,0,0,0,4,4,500,NONE,,0,0,0,,,0,0,0,0,1,0,,1,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,
,dom+ms_top_left_1,Module,,reservewing,1,9000,1400,2500,,350,50,2,0,0,0,4,4,500,NONE,,0,0,0,,,0,0,0,0,1,0,,1,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,
,dom+ms_top_left_2,Module,,flarelauncher,1,5000,1200,2500,,350,35,,0,0,0,4,4,500,NONE,,0,0,0,,,0,0,0,0,1,0,,1,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,
,dom+ms_top_left_3,Module,,reservewing,1,12000,1400,2500,,350,70,2,0,0,0,4,4,500,NONE,,0,0,0,,,0,0,0,0,1,0,,1,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,
,dom+ms_top_right_1,Module,,flarelauncher,1,10000,1300,2500,,350,60,,0,0,0,4,4,500,NONE,,0,0,0,,,0,0,0,0,1,0,,1,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,
,dom+ms_top_right_2,Module,,reservewing,1,13000,1400,2500,,350,70,2,0,0,0,4,4,500,NONE,,0,0,0,,,0,0,0,0,1,0,,1,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# mech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
