id,type,frame,magnitude,map,path
eis_deco_vengeance_mr,hardpoint,,0.65,normal,graphics/shaders/normal/decos/eis_deco_vengeance_mr_normal.png
eis_deco_vengeance_mr,turret,,0.65,normal,graphics/shaders/normal/decos/eis_deco_vengeance_mr_normal.png
eis_deco_vengeance_back,hardpoint,,0.65,normal,graphics/shaders/normal/decos/eis_deco_vengeance_back_normal.png
eis_deco_vengeance_back,turret,,0.65,normal,graphics/shaders/normal/decos/eis_deco_vengeance_back_normal.png
eis_deco_indomitable_tl,hardpoint,,0.65,normal,graphics/shaders/normal/decos/eis_deco_indomitable_tl_normal.png
eis_deco_indomitable_tl,turret,,0.65,normal,graphics/shaders/normal/decos/eis_deco_indomitable_tl_normal.png
eis_deco_indomitable_tr,hardpoint,,0.65,normal,graphics/shaders/normal/decos/eis_deco_indomitable_tr_normal.png
eis_deco_indomitable_tr,turret,,0.65,normal,graphics/shaders/normal/decos/eis_deco_indomitable_tr_normal.png
eis_deco_indomitable_ml,hardpoint,,0.65,normal,graphics/shaders/normal/decos/eis_deco_indomitable_ml_normal.png
eis_deco_indomitable_ml,turret,,0.65,normal,graphics/shaders/normal/decos/eis_deco_indomitable_ml_normal.png
eis_deco_indomitable_mr,hardpoint,,0.65,normal,graphics/shaders/normal/decos/eis_deco_indomitable_mr_normal.png
eis_deco_indomitable_mr,turret,,0.65,normal,graphics/shaders/normal/decos/eis_deco_indomitable_mr_normal.png
eis_deco_indomitable_mls,hardpoint,,0.65,normal,graphics/shaders/normal/decos/eis_deco_indomitable_mls_normal.png
eis_deco_indomitable_mls,turret,,0.65,normal,graphics/shaders/normal/decos/eis_deco_indomitable_mls_normal.png
eis_deco_indomitable_mrs,hardpoint,,0.65,normal,graphics/shaders/normal/decos/eis_deco_indomitable_mrs_normal.png
eis_deco_indomitable_mrs,turret,,0.65,normal,graphics/shaders/normal/decos/eis_deco_indomitable_mrs_normal.png
eis_deco_skyrend_front,hardpoint,,0.65,normal,graphics/shaders/normal/decos/eis_deco_skyrend_front_normal.png
eis_deco_skyrend_front,turret,,0.65,normal,graphics/shaders/normal/decos/eis_deco_skyrend_front_normal.png
eis_deco_endeavor_heavy,hardpoint,,0.65,normal,graphics/shaders/normal/decos/eis_deco_endeavor_heavy_normal.png
eis_deco_endeavor_heavy,turret,,0.65,normal,graphics/shaders/normal/decos/eis_deco_endeavor_heavy_normal.png
eis_deco_endeavor_ml,turret,,0.65,normal,graphics/shaders/normal/decos/eis_deco_endeavor_ml_normal.png
eis_deco_endeavor_ml,hardpoint,,0.65,normal,graphics/shaders/normal/decos/eis_deco_endeavor_ml_normal.png
eis_deco_endeavor_mr,turret,,0.65,normal,graphics/shaders/normal/decos/eis_deco_endeavor_mr_normal.png
eis_deco_endeavor_mr,hardpoint,,0.65,normal,graphics/shaders/normal/decos/eis_deco_endeavor_mr_normal.png
eis_deco_endeavor_ll,turret,,0.65,normal,graphics/shaders/normal/decos/eis_deco_endeavor_ll_normal.png
eis_deco_endeavor_ll,hardpoint,,0.65,normal,graphics/shaders/normal/decos/eis_deco_endeavor_ll_normal.png
eis_deco_endeavor_lr,turret,,0.65,normal,graphics/shaders/normal/decos/eis_deco_endeavor_lr_normal.png
eis_deco_endeavor_lr,hardpoint,,0.65,normal,graphics/shaders/normal/decos/eis_deco_endeavor_lr_normal.png
eis_deco_flap_left,,,,,
eis_deco_flap_left,,,,,
eis_deco_flap_right,,,,,
eis_deco_flap_right,,,,,
eis_deco_renown_front,turret,,0.65,normal,graphics/shaders/normal/decos/eis_deco_renown_front_normal.png
eis_deco_renown_front,hardpoint,,0.65,normal,graphics/shaders/normal/decos/eis_deco_renown_front_normal.png
eis_deco_tyrant_ml,turret,,0.65,normal,graphics/shaders/normal/decos/eis_deco_tyrant_ml_normal.png
eis_deco_tyrant_ml,hardpoint,,0.65,normal,graphics/shaders/normal/decos/eis_deco_tyrant_ml_normal.png
eis_deco_tyrant_mr,turret,,0.65,normal,graphics/shaders/normal/decos/eis_deco_tyrant_mr_normal.png
eis_deco_tyrant_mr,hardpoint,,0.65,normal,graphics/shaders/normal/decos/eis_deco_tyrant_mr_normal.png
,,,,,
,,,,,
eis_celestials_blossom_torp,missile,,0.65,normal,graphics/shaders/normal/missiles/eis_celestials_blossom_torp_normal.png
eis_hammer_torp,missile,,0.65,normal,graphics/shaders/normal/missiles/eis_hammer_normal.png
eis_lrkmirv,missile,,0.65,normal,graphics/shaders/normal/missiles/eis_lunar_rose_missile_normal.png
eis_piranha_torp,missile,,0.65,normal,graphics/shaders/normal/missiles/eis_piranha_torp_normal.png
,,,,,
eis_acg,hardpoint,0,0.65,normal,graphics/shaders/normal/weapons/acgs/eis_acgs_base00_normal.png
eis_acg,hardpoint,1,0.65,normal,graphics/shaders/normal/weapons/acgs/eis_acgs_base01_normal.png
eis_acg,hardpoint,2,0.65,normal,graphics/shaders/normal/weapons/acgs/eis_acgs_base02_normal.png
eis_acg,hardpoint,3,0.65,normal,graphics/shaders/normal/weapons/acgs/eis_acgs_base03_normal.png
eis_dualrailgun,hardpoint,,0.65,normal,graphics/shaders/normal/weapons/doublerailgun_hardpoint_base_normal.png
eis_dualrailgun,turret,,0.65,normal,graphics/shaders/normal/weapons/doublerailgun_turret_base_normal.png
eis_barretta,hardpoint,,0.65,normal,graphics/shaders/normal/weapons/eis_barretta_hardpoint_base_normal.png
eis_barretta,hardpointbarrel,,0.65,normal,graphics/shaders/normal/weapons/eis_barretta_hardpoint_recoil_normal.png
eis_barretta,turret,,0.65,normal,graphics/shaders/normal/weapons/eis_barretta_turret_base_normal.png
eis_barretta,turretbarrel,,0.65,normal,graphics/shaders/normal/weapons/eis_barretta_turret_recoil_normal.png
eis_celestials_aster,hardpoint,,0.65,normal,graphics/shaders/normal/weapons/eis_celestials_aster_hardpoint_base_normal.png
eis_celestials_aster,hardpointbarrel,,0.65,normal,graphics/shaders/normal/weapons/eis_celestials_aster_hardpoint_recoil_normal.png
eis_celestials_aster,turret,,0.65,normal,graphics/shaders/normal/weapons/eis_celestials_aster_hardpoint_base_normal.png
eis_celestials_aster,turretbarrel,,0.65,normal,graphics/shaders/normal/weapons/eis_celestials_aster_hardpoint_recoil_normal.png
eis_celestials_blossom,hardpoint,,0.65,normal,graphics/shaders/normal/weapons/eis_celestials_blossom_hardpoint_base_normal.png
eis_celestials_blossom,hardpointbarrel,,0.65,normal,graphics/shaders/normal/weapons/eis_celestials_blossom_hardpoint_recoil_normal.png
eis_celestials_blossom,turret,,0.65,normal,graphics/shaders/normal/weapons/eis_celestials_blossom_turret_base_normal.png
eis_celestials_blossom,turretbarrel,,0.65,normal,graphics/shaders/normal/weapons/eis_celestials_blossom_turret_recoil_normal.png
eis_deva_f,hardpoint,,0.65,normal,graphics/shaders/normal/weapons/eis_deva_f_normal.png
eis_deva_f,hardpointbarrel,,0.65,normal,graphics/shaders/normal/weapons/eis_deva_f_recoil_normal.png
eis_deva_f,turret,,0.65,normal,graphics/shaders/normal/weapons/eis_deva_f_normal.png
eis_deva_f,turretbarrel,,0.65,normal,graphics/shaders/normal/weapons/eis_deva_f_recoil_normal.png
eis_fluxthrower,turret,,0.65,normal,graphics/shaders/normal/weapons/eis_fluxthrower_normal.png
eis_fluxthrower,hardpoint,,0.65,normal,graphics/shaders/normal/weapons/eis_fluxthrower_normal.png
eis_infernal_star,hardpoint,,0.65,normal,graphics/shaders/normal/weapons/eis_infernal_star_hardpoint_base_normal.png
eis_infernal_star,hardpointbarrel,,0.65,normal,graphics/shaders/normal/weapons/eis_infernal_star_hardpoint_recoil_normal.png
eis_infernal_star,turret,,0.65,normal,graphics/shaders/normal/weapons/eis_infernal_star_turret_base_normal.png
eis_infernal_star,turretbarrel,,0.65,normal,graphics/shaders/normal/weapons/eis_infernal_star_turret_recoil_normal.png
eis_lunar_rose,hardpoint,,0.65,normal,graphics/shaders/normal/weapons/eis_lunar_rose_mirv_launcher_hardpoint_base_normal.png
eis_lunar_rose,turret,,0.65,normal,graphics/shaders/normal/weapons/eis_lunar_rose_mirv_launcher_turret_base_normal.png
eis_superheavy_needler,hardpoint,,0.65,normal,graphics/shaders/normal/weapons/eis_superheavy_needler_hardpoint_base_normal.png
eis_superheavy_needler,hardpointbarrel,,0.65,normal,graphics/shaders/normal/weapons/eis_superheavy_needler_hardpoint_recoil_normal.png
eis_superheavy_needler,turret,,0.65,normal,graphics/shaders/normal/weapons/eis_superheavy_needler_turret_base_normal.png
eis_superheavy_needler,turretbarrel,,0.65,normal,graphics/shaders/normal/weapons/eis_superheavy_needler_turret_recoil_normal.png
eis_milf,hardpoint,,0.65,normal,graphics/shaders/normal/weapons/eis_milf_hardpoint_base_normal.png
eis_milf,turret,,0.65,normal,graphics/shaders/normal/weapons/eis_milf_turret_base_normal.png
,,,,,
#material,,,,,
#SHIPS,,,,,
eis_broadsword,ship,,,material,graphics/shaders/material/ships/eis_broadsword_material.png
eis_gladius,ship,,,material,graphics/shaders/material/ships/eis_gladius_material.png
eis_warthog,ship,,,material,graphics/shaders/material/ships/eis_warthog_material.png
eis_xyphos,ship,,,material,graphics/shaders/material/ships/eis_xyphos_material.png
eis_kopis,ship,,,material,graphics/shaders/material/ships/eis_kopis_material.png
eis_khopesh,ship,,,material,graphics/shaders/material/ships/eis_khopesh_material.png
eis_dagger,ship,,,material,graphics/shaders/material/ships/eis_dagger_material.png
eis_gunblade,ship,,,material,graphics/shaders/material/ships/eis_gunblade_material.png
eis_gunshield,ship,,,material,graphics/shaders/material/ships/eis_gunshield_material.png
eis_mining_drone,ship,,,material,graphics/shaders/material/ships/eis_mining_pod_material.png
eis_talon,ship,,,material,graphics/shaders/material/ships/eis_talon_material.png
eis_piranha,ship,,,material,graphics/shaders/material/ships/eis_piranha_material.png
eis_thunder,ship,,,material,graphics/shaders/material/ships/eis_thunder_material.png
eis_thunder_mk2,ship,,,material,graphics/shaders/material/ships/eis_thunder_mk2_material.png
eis_peacekeeper,ship,,,material,graphics/shaders/material/ships/eis_peacekeeper_material.png
eis_amity,ship,,,material,graphics/shaders/material/ships/eis_amity_material.png
eis_vanguard_xiv,ship,,,material,graphics/shaders/material/ships/eis_vanguard_xiv_material.png
eis_courageous,ship,,,material,graphics/shaders/material/ships/eis_courageous_material.png
eis_valorous,ship,,,material,graphics/shaders/material/ships/eis_valorous_material.png
eis_audacious,ship,,,material,graphics/shaders/material/ships/eis_audacious_material.png
eis_flagellator,ship,,,material,graphics/shaders/material/ships/eis_flagellator_material.png
eis_eradicator,ship,,,material,graphics/shaders/material/ships/eis_eradicator_material.png
eis_mora,ship,,,material,graphics/shaders/material/ships/eis_mora_material.png
eis_vengeance,ship,,,material,graphics/shaders/material/ships/eis_vengeance_material.png
eis_indomitable,ship,,,material,graphics/shaders/material/ships/eis_indomitable_material.png
eis_champion,ship,,,material,graphics/shaders/material/ships/eis_champion_material.png
eis_endeavor,ship,,,material,graphics/shaders/material/ships/eis_endeavor_material.png
eis_tyrant,ship,,,material,graphics/shaders/material/ships/eis_tyrant_material.png
eis_skyrend,ship,,,material,graphics/shaders/material/ships/eis_skyrend_material.png
eis_renown,ship,,,material,graphics/shaders/material/ships/eis_renown_material.png
,,,,,
#MODULES,,,,,
eis_tyrant_tl,ship,,,material,graphics/shaders/material/modules/eis_tyrant_tl_material.png
eis_tyrant_tr,ship,,,material,graphics/shaders/material/modules/eis_tyrant_tr_material.png
,,,,,
#DECOS,,,,,
eis_deco_courageous_front,hardpoint,,,material,graphics/shaders/material/decos/eis_deco_courageous_front_material.png
eis_deco_courageous_front,turret,,,material,graphics/shaders/material/decos/eis_deco_courageous_front_material.png
eis_deco_valorous_ml,hardpoint,,,material,graphics/shaders/material/decos/eis_deco_valorous_ml_material.png
eis_deco_valorous_ml,turret,,,material,graphics/shaders/material/decos/eis_deco_valorous_ml_material.png
eis_deco_valorous_mr,hardpoint,,,material,graphics/shaders/material/decos/eis_deco_valorous_mr_material.png
eis_deco_valorous_mr,turret,,,material,graphics/shaders/material/decos/eis_deco_valorous_mr_material.png
eis_deco_audacious_front,hardpoint,,,material,graphics/shaders/material/decos/eis_deco_audacious_front_material.png
eis_deco_audacious_front,turret,,,material,graphics/shaders/material/decos/eis_deco_audacious_front_material.png
eis_deco_audacious_back,hardpoint,,,material,graphics/shaders/material/decos/eis_deco_audacious_back_material.png
eis_deco_audacious_back,turret,,,material,graphics/shaders/material/decos/eis_deco_audacious_back_material.png
eis_deco_flagellator_tl,hardpoint,,,material,graphics/shaders/material/decos/eis_deco_flagellator_tl_material.png
eis_deco_flagellator_tl,turret,,,material,graphics/shaders/material/decos/eis_deco_flagellator_tl_material.png
eis_deco_flagellator_tr,hardpoint,,,material,graphics/shaders/material/decos/eis_deco_flagellator_tr_material.png
eis_deco_flagellator_tr,turret,,,material,graphics/shaders/material/decos/eis_deco_flagellator_tr_material.png
eis_deco_vengeance_front,hardpoint,,,material,graphics/shaders/material/decos/eis_deco_vengeance_front_material.png
eis_deco_vengeance_front,turret,,,material,graphics/shaders/material/decos/eis_deco_vengeance_front_material.png
eis_deco_vengeance_ml,hardpoint,,,material,graphics/shaders/material/decos/eis_deco_vengeance_ml_material.png
eis_deco_vengeance_ml,turret,,,material,graphics/shaders/material/decos/eis_deco_vengeance_ml_material.png
eis_deco_vengeance_mr,hardpoint,,,material,graphics/shaders/material/decos/eis_deco_vengeance_mr_material.png
eis_deco_vengeance_mr,turret,,,material,graphics/shaders/material/decos/eis_deco_vengeance_mr_material.png
eis_deco_vengeance_back,hardpoint,,,material,graphics/shaders/material/decos/eis_deco_vengeance_back_material.png
eis_deco_vengeance_back,turret,,,material,graphics/shaders/material/decos/eis_deco_vengeance_back_material.png
eis_deco_indomitable_tl,hardpoint,,,material,graphics/shaders/material/decos/eis_deco_indomitable_tl_material.png
eis_deco_indomitable_tl,turret,,,material,graphics/shaders/material/decos/eis_deco_indomitable_tl_material.png
eis_deco_indomitable_tr,hardpoint,,,material,graphics/shaders/material/decos/eis_deco_indomitable_tr_material.png
eis_deco_indomitable_tr,turret,,,material,graphics/shaders/material/decos/eis_deco_indomitable_tr_material.png
eis_deco_indomitable_ml,hardpoint,,,material,graphics/shaders/material/decos/eis_deco_indomitable_ml_material.png
eis_deco_indomitable_ml,turret,,,material,graphics/shaders/material/decos/eis_deco_indomitable_ml_material.png
eis_deco_indomitable_mr,hardpoint,,,material,graphics/shaders/material/decos/eis_deco_indomitable_mr_material.png
eis_deco_indomitable_mr,turret,,,material,graphics/shaders/material/decos/eis_deco_indomitable_mr_material.png
eis_deco_indomitable_mls,hardpoint,,,material,graphics/shaders/material/decos/eis_deco_indomitable_mls_material.png
eis_deco_indomitable_mls,turret,,,material,graphics/shaders/material/decos/eis_deco_indomitable_mls_material.png
eis_deco_indomitable_mrs,hardpoint,,,material,graphics/shaders/material/decos/eis_deco_indomitable_mrs_material.png
eis_deco_indomitable_mrs,turret,,,material,graphics/shaders/material/decos/eis_deco_indomitable_mrs_material.png
eis_deco_skyrend_front,hardpoint,,,material,graphics/shaders/material/decos/eis_deco_skyrend_front_material.png
eis_deco_skyrend_front,turret,,,material,graphics/shaders/material/decos/eis_deco_skyrend_front_material.png
eis_deco_endeavor_heavy,hardpoint,,,material,graphics/shaders/material/decos/eis_deco_endeavor_heavy_material.png
eis_deco_endeavor_heavy,turret,,,material,graphics/shaders/material/decos/eis_deco_endeavor_heavy_material.png
eis_deco_endeavor_ml,turret,,,material,graphics/shaders/material/decos/eis_deco_endeavor_ml_material.png
eis_deco_endeavor_ml,hardpoint,,,material,graphics/shaders/material/decos/eis_deco_endeavor_ml_material.png
eis_deco_endeavor_mr,turret,,,material,graphics/shaders/material/decos/eis_deco_endeavor_mr_material.png
eis_deco_endeavor_mr,hardpoint,,,material,graphics/shaders/material/decos/eis_deco_endeavor_mr_material.png
eis_deco_endeavor_ll,turret,,,material,graphics/shaders/material/decos/eis_deco_endeavor_ll_material.png
eis_deco_endeavor_ll,hardpoint,,,material,graphics/shaders/material/decos/eis_deco_endeavor_ll_material.png
eis_deco_endeavor_lr,turret,,,material,graphics/shaders/material/decos/eis_deco_endeavor_lr_material.png
eis_deco_endeavor_lr,hardpoint,,,material,graphics/shaders/material/decos/eis_deco_endeavor_lr_material.png
eis_deco_flap_left,,,,,
eis_deco_flap_left,,,,,
eis_deco_flap_right,,,,,
eis_deco_flap_right,,,,,
eis_deco_renown_front,turret,,,material,graphics/shaders/material/decos/eis_deco_renown_front_material.png
eis_deco_renown_front,hardpoint,,,material,graphics/shaders/material/decos/eis_deco_renown_front_material.png
eis_deco_tyrant_ml,turret,,,material,graphics/shaders/material/decos/eis_deco_tyrant_ml_material.png
eis_deco_tyrant_ml,hardpoint,,,material,graphics/shaders/material/decos/eis_deco_tyrant_ml_material.png
eis_deco_tyrant_mr,turret,,,material,graphics/shaders/material/decos/eis_deco_tyrant_mr_material.png
eis_deco_tyrant_mr,hardpoint,,,material,graphics/shaders/material/decos/eis_deco_tyrant_mr_material.png
,,,,,
eis_acg,hardpoint,0,,material,graphics/shaders/material/weapons/acgs/eis_acgs_base00_material.png
eis_acg,hardpoint,1,,material,graphics/shaders/material/weapons/acgs/eis_acgs_base01_material.png
eis_acg,hardpoint,2,,material,graphics/shaders/material/weapons/acgs/eis_acgs_base02_material.png
eis_acg,hardpoint,3,,material,graphics/shaders/material/weapons/acgs/eis_acgs_base03_material.png
eis_dualrailgun,hardpoint,,,material,graphics/shaders/material/weapons/doublerailgun_hardpoint_base_material.png
eis_dualrailgun,turret,,,material,graphics/shaders/material/weapons/doublerailgun_turret_base_material.png
eis_barretta,hardpoint,,,material,graphics/shaders/material/weapons/eis_barretta_hardpoint_base_material.png
eis_barretta,hardpointbarrel,,,material,graphics/shaders/material/weapons/eis_barretta_hardpoint_recoil_material.png
eis_barretta,turret,,,material,graphics/shaders/material/weapons/eis_barretta_turret_base_material.png
eis_barretta,turretbarrel,,,material,graphics/shaders/material/weapons/eis_barretta_turret_recoil_material.png
eis_celestials_aster,hardpoint,,,material,graphics/shaders/material/weapons/eis_celestials_aster_hardpoint_base_material.png
eis_celestials_aster,hardpointbarrel,,,material,graphics/shaders/material/weapons/eis_celestials_aster_hardpoint_recoil_material.png
eis_celestials_aster,turret,,,material,graphics/shaders/material/weapons/eis_celestials_aster_hardpoint_base_material.png
eis_celestials_aster,turretbarrel,,,material,graphics/shaders/material/weapons/eis_celestials_aster_hardpoint_recoil_material.png
eis_celestials_blossom,hardpoint,,,material,graphics/shaders/material/weapons/eis_celestials_blossom_hardpoint_base_material.png
eis_celestials_blossom,hardpointbarrel,,,material,graphics/shaders/material/weapons/eis_celestials_blossom_hardpoint_recoil_material.png
eis_celestials_blossom,turret,,,material,graphics/shaders/material/weapons/eis_celestials_blossom_turret_base_material.png
eis_celestials_blossom,turretbarrel,,,material,graphics/shaders/material/weapons/eis_celestials_blossom_turret_recoil_material.png
eis_deva_f,hardpoint,,,material,graphics/shaders/material/weapons/eis_deva_f_material.png
eis_deva_f,hardpointbarrel,,,material,graphics/shaders/material/weapons/eis_deva_f_recoil_material.png
eis_deva_f,turret,,,material,graphics/shaders/material/weapons/eis_deva_f_material.png
eis_deva_f,turretbarrel,,,material,graphics/shaders/material/weapons/eis_deva_f_recoil_material.png
eis_fluxthrower,turret,,,material,graphics/shaders/material/weapons/eis_fluxthrower_material.png
eis_fluxthrower,hardpoint,,,material,graphics/shaders/material/weapons/eis_fluxthrower_material.png
eis_infernal_star,hardpoint,,,material,graphics/shaders/material/weapons/eis_infernal_star_hardpoint_base_material.png
eis_infernal_star,hardpointbarrel,,,material,graphics/shaders/material/weapons/eis_infernal_star_hardpoint_recoil_material.png
eis_infernal_star,turret,,,material,graphics/shaders/material/weapons/eis_infernal_star_turret_base_material.png
eis_infernal_star,turretbarrel,,,material,graphics/shaders/material/weapons/eis_infernal_star_turret_recoil_material.png
eis_lunar_rose,hardpoint,,,material,graphics/shaders/material/weapons/eis_lunar_rose_mirv_launcher_hardpoint_base_material.png
eis_lunar_rose,turret,,,material,graphics/shaders/material/weapons/eis_lunar_rose_mirv_launcher_turret_base_material.png
eis_superheavy_needler,hardpoint,,,material,graphics/shaders/material/weapons/eis_superheavy_needler_hardpoint_base_material.png
eis_superheavy_needler,hardpointbarrel,,,material,graphics/shaders/material/weapons/eis_superheavy_needler_hardpoint_recoil_material.png
eis_superheavy_needler,turret,,,material,graphics/shaders/material/weapons/eis_superheavy_needler_turret_base_material.png
eis_superheavy_needler,turretbarrel,,,material,graphics/shaders/material/weapons/eis_superheavy_needler_turret_recoil_material.png
eis_milf,hardpoint,,,material,graphics/shaders/material/weapons/eis_milf_hardpoint_base_material.png
eis_milf,turret,,,material,graphics/shaders/material/weapons/eis_milf_turret_base_material.png
,,,,,
#surface,,,,,
#SHIPS,,,,,
eis_broadsword,ship,,,surface,graphics/shaders/surface/ships/eis_broadsword_surface.png
eis_gladius,ship,,,surface,graphics/shaders/surface/ships/eis_gladius_surface.png
eis_warthog,ship,,,surface,graphics/shaders/surface/ships/eis_warthog_surface.png
eis_xyphos,ship,,,surface,graphics/shaders/surface/ships/eis_xyphos_surface.png
eis_kopis,ship,,,surface,graphics/shaders/surface/ships/eis_kopis_surface.png
eis_khopesh,ship,,,surface,graphics/shaders/surface/ships/eis_khopesh_surface.png
eis_dagger,ship,,,surface,graphics/shaders/surface/ships/eis_dagger_surface.png
eis_gunblade,ship,,,surface,graphics/shaders/surface/ships/eis_gunblade_surface.png
eis_gunshield,ship,,,surface,graphics/shaders/surface/ships/eis_gunshield_surface.png
eis_mining_drone,ship,,,surface,graphics/shaders/surface/ships/eis_mining_pod_surface.png
eis_talon,ship,,,surface,graphics/shaders/surface/ships/eis_talon_surface.png
eis_piranha,ship,,,surface,graphics/shaders/surface/ships/eis_piranha_surface.png
eis_thunder,ship,,,surface,graphics/shaders/surface/ships/eis_thunder_surface.png
eis_thunder_mk2,ship,,,surface,graphics/shaders/surface/ships/eis_thunder_mk2_surface.png
eis_peacekeeper,ship,,,surface,graphics/shaders/surface/ships/eis_peacekeeper_surface.png
eis_amity,ship,,,surface,graphics/shaders/surface/ships/eis_amity_surface.png
eis_vanguard_xiv,ship,,,surface,graphics/shaders/surface/ships/eis_vanguard_xiv_surface.png
eis_courageous,ship,,,surface,graphics/shaders/surface/ships/eis_courageous_surface.png
eis_valorous,ship,,,surface,graphics/shaders/surface/ships/eis_valorous_surface.png
eis_audacious,ship,,,surface,graphics/shaders/surface/ships/eis_audacious_surface.png
eis_flagellator,ship,,,surface,graphics/shaders/surface/ships/eis_flagellator_surface.png
eis_eradicator,ship,,,surface,graphics/shaders/surface/ships/eis_eradicator_surface.png
