name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
Ghost Ship,vayra_ghost_ship_mystery_rogue_ai,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraGhostShip,"Discovered drifting and wrecked in a remote system, this ship was lost under uncertain circumstances. Scattered reports of crew going missing have so far remained unconfirmed. A sense of dread shrouds the vessel and weighs heavily on the crew, who demand a force of marine guards be continually stationed aboard, 'just in case' - in case of what, nobody is entirely sure. Reduces maximum combat readiness by up to %s if at least %s marines are not stationed on board. 

You currently have %s marines compared to a total of %s required to properly secure all ships in your fleet requiring marine guards, resulting in a maximum combat readiness penalty of %s.",,graphics/icons/abilities/distress_call.png
Ghost Ship,vayra_ghost_ship_mystery_hyperlost,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraGhostShip,"Discovered drifting and wrecked in a remote system, this ship was lost under uncertain circumstances. Scattered reports of crew going missing have so far remained unconfirmed. A sense of dread shrouds the vessel and weighs heavily on the crew, who demand a force of marine guards be continually stationed aboard, 'just in case' - in case of what, nobody is entirely sure. Reduces maximum combat readiness by up to %s if at least %s marines are not stationed on board. 

You currently have %s marines compared to a total of %s required to properly secure all ships in your fleet requiring marine guards, resulting in a maximum combat readiness penalty of %s.",,graphics/icons/abilities/distress_call.png
Ghost Ship,vayra_ghost_ship_mystery_alien,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraGhostShip,"Discovered drifting and wrecked in a remote system, this ship was lost under uncertain circumstances. Scattered reports of crew going missing have so far remained unconfirmed. A sense of dread shrouds the vessel and weighs heavily on the crew, who demand a force of marine guards be continually stationed aboard, 'just in case' - in case of what, nobody is entirely sure. Reduces maximum combat readiness by up to %s if at least %s marines are not stationed on board. 

You currently have %s marines compared to a total of %s required to properly secure all ships in your fleet requiring marine guards, resulting in a maximum combat readiness penalty of %s.",,graphics/icons/abilities/distress_call.png
Ghost Ship,vayra_ghost_ship_mystery_plague,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraGhostShip,"Discovered drifting and wrecked in a remote system, this ship was lost under uncertain circumstances. Scattered reports of crew going missing have so far remained unconfirmed. A sense of dread shrouds the vessel and weighs heavily on the crew, who demand a force of marine guards be continually stationed aboard, 'just in case' - in case of what, nobody is entirely sure. Reduces maximum combat readiness by up to %s if at least %s marines are not stationed on board. 

You currently have %s marines compared to a total of %s required to properly secure all ships in your fleet requiring marine guards, resulting in a maximum combat readiness penalty of %s.",,graphics/icons/abilities/distress_call.png
Ghost Ship,vayra_ghost_ship_mystery_nanite,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraGhostShip,"Discovered drifting and wrecked in a remote system, this ship was lost under uncertain circumstances. Scattered reports of crew going missing have so far remained unconfirmed. A sense of dread shrouds the vessel and weighs heavily on the crew, who demand a force of marine guards be continually stationed aboard, 'just in case' - in case of what, nobody is entirely sure. Reduces maximum combat readiness by up to %s if at least %s marines are not stationed on board. 

You currently have %s marines compared to a total of %s required to properly secure all ships in your fleet requiring marine guards, resulting in a maximum combat readiness penalty of %s.",,graphics/icons/abilities/distress_call.png
Ghost Ship,vayra_ghost_ship_mystery_cannibal,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraGhostShip,"Discovered drifting and wrecked in a remote system, this ship was lost under uncertain circumstances. Scattered reports of crew going missing have so far remained unconfirmed. A sense of dread shrouds the vessel and weighs heavily on the crew, who demand a force of marine guards be continually stationed aboard, 'just in case' - in case of what, nobody is entirely sure. Reduces maximum combat readiness by up to %s if at least %s marines are not stationed on board. 

You currently have %s marines compared to a total of %s required to properly secure all ships in your fleet requiring marine guards, resulting in a maximum combat readiness penalty of %s.",,graphics/icons/abilities/distress_call.png
Rogue AI,vayra_ghost_ship_rogue_ai,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraGhostShip,"Discovered drifting and wrecked in a remote system, this ship's internal cogitators are host to a rogue, malevolent Alpha plus-class AI which has so far proved extremely resistant - sometimes lethally - to any attempts to remove it. Theories that this entity is somehow related to the droneships deployed by the Tri-Tachyon Corporation during the First AI War have so far remained unconfirmed. Though any potential danger has been brought - mostly - under control by means of completely removing any unnecessary automated systems, the crew still demands a force of marine guards be continually stationed aboard 'just in case'. Reduces maximum combat readiness by up to %s if at least %s marines are not stationed on board. 

You currently have %s marines compared to a total of %s required to properly secure all ships in your fleet requiring marine guards, resulting in a maximum combat readiness penalty of %s.",,graphics/icons/markets/rogue_ai.png
Dimensional Anomalies,vayra_ghost_ship_hyperlost,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraGhostShip,"Discovered drifting and wrecked in a remote system, this ship was lost under mysterious circumstances. Anomalous happenings - noises and sounds, some consistent with those reported by crew who have spent extended periods of time aboard phase ships or near makeshift hyperwave communication relays, others less explicable - are common aboard ship, especially during hyperspace travel. Crew mysteriously disappear at a rate of approximately %s while in hyperspace, and the vessel has a chance to spontaneously phase out when taking damage in non-simulated combat. A sense of dread weighs heavily on the ship's inhabitants, who demand a force of marine guards be continually stationed aboard, just in case - in case of what, nobody is entirely sure. Reduces maximum combat readiness by up to %s if at least %s marines are not stationed on board. 

You currently have %s marines compared to a total of %s required to properly secure all ships in your fleet requiring marine guards, resulting in a maximum combat readiness penalty of %s.",,graphics/icons/abilities/direct_jump.png
Xenolife Infestation,vayra_ghost_ship_alien,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraGhostShip,"Discovered drifting and wrecked in a remote system, this ship is host to an infestation of hostile xenolife which has so far proven extremely resistant - lethally so - to any attempts to remove it from the hull. Reports of activity are currently %s. A complex web of antipersonnel mines and automated defenses have so far kept the creatures from encroaching too far into the inhabited areas of the vessel, but the crew demands a force of marine guards be continually stationed aboard in case of sudden attack. Reduces maximum combat readiness by up to %s if at least %s marines are not stationed on board. 

You currently have %s marines compared to a total of %s required to properly secure all ships in your fleet requiring marine guards, resulting in a maximum combat readiness penalty of %s.",,graphics/icons/markets/alien_life.png
Plague Ship,vayra_ghost_ship_plague,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraGhostShip,"Discovered drifting and wrecked in a remote system, this ship is host to an incredibly lethal and fast-incubating engineered plague which has so far proven extremely resistant to decontamination and sterilization attempts. The bioweapon is incredibly virulent, and accidental contaminations as a result of containment breach are frequent and unavoidable. The stench of death shrouds the vessel and weighs heavily on the crew, who demand a force of marine guards and medics be continually stationed aboard, 'just in case' - though the mortality rate among those affected is currently 100%%, and crew will be lost at a rate of approximately %s regardless. Reduces maximum combat readiness by up to %s if at least %s marines are not stationed on board. 

You currently have %s marines compared to a total of %s required to properly secure all ships in your fleet requiring marine guards, resulting in a maximum combat readiness penalty of %s.",,graphics/icons/markets/inimical_biosphere.png
Nanite Host,vayra_ghost_ship_nanite,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraGhostShip,"Discovered drifting and wrecked in a remote system, this ship is host to a swarm of strange nanoscale machines of unknown origin, which has so far proven extremely resistant - often fatally - to attempts to remove it from the vessel. Supplies - and crewmembers - are lost at a rate of approximately %s in combating the infestation and repairing incidental damage, and the ship has a chance to spontaneously disgorge swarms of nanites to defend itself when damaged in non-simulated combat. The crew demands a force of marine guards be continually stationed aboard, 'just in case' - though the mass of nanites aboard the ship has been shown to be entirely immune to standard antipersonnel weaponry. Reduces maximum combat readiness by up to %s if at least %s marines are not stationed on board. 

You currently have %s marines compared to a total of %s required to properly secure all ships in your fleet requiring marine guards, resulting in a maximum combat readiness penalty of %s.",,graphics/icons/markets/abandoned.png
Cannibal Death Cult,vayra_ghost_ship_cannibal,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraGhostShip,"Discovered drifting and wrecked in a remote system, this ship is host to a subpopulation - perhaps the former crew - who have apparently regressed into a feral and psychopathically violent state, and have proven extremely difficult to track down and completely eliminate. Reports of activity are currently %s. A complex web of antipersonnel mines and automated defenses have so far kept the feral inhabitants from encroaching too far into the populated areas of the vessel, but the crew demands a force of marine guards be continually stationed aboard in case of sudden attack. Reduces maximum combat readiness by up to %s if at least %s marines are not stationed on board. 

You currently have %s marines compared to a total of %s required to properly secure all ships in your fleet requiring marine guards, resulting in a maximum combat readiness penalty of %s.",,graphics/icons/markets/dissidents.png
nonexistent,vayra_ghost_ship_activity_1,,,,,,,,TRUE,TRUE,0,0,0,0,data.scripts.hullmods.VayraGhostShipTimer,YOU NEVER SHOULD HAVE COME HERE AND NOW YOU'RE GONNA PAY,,graphics/hullmods/generic_mod.png
vanishingly rare,vayra_ghost_ship_activity_2,,,,,,,,TRUE,TRUE,0,0,0,0,data.scripts.hullmods.VayraGhostShipTimer,YOU NEVER SHOULD HAVE COME HERE AND NOW YOU'RE GONNA PAY,,graphics/hullmods/generic_mod.png
few and far between,vayra_ghost_ship_activity_3,,,,,,,,TRUE,TRUE,0,0,0,0,data.scripts.hullmods.VayraGhostShipTimer,YOU NEVER SHOULD HAVE COME HERE AND NOW YOU'RE GONNA PAY,,graphics/hullmods/generic_mod.png
relatively frequent,vayra_ghost_ship_activity_4,,,,,,,,TRUE,TRUE,0,0,0,0,data.scripts.hullmods.VayraGhostShipTimer,YOU NEVER SHOULD HAVE COME HERE AND NOW YOU'RE GONNA PAY,,graphics/hullmods/generic_mod.png
"very frequent, signaling an attack may be coming",vayra_ghost_ship_activity_5,,,,,,,,TRUE,TRUE,0,0,0,0,data.scripts.hullmods.VayraGhostShipTimer,YOU NEVER SHOULD HAVE COME HERE AND NOW YOU'RE GONNA PAY,,graphics/hullmods/generic_mod.png
"near constant, heralding an immediately imminent attack",vayra_ghost_ship_activity_6,,,,,,,,TRUE,TRUE,0,0,0,0,data.scripts.hullmods.VayraGhostShipTimer,YOU NEVER SHOULD HAVE COME HERE AND NOW YOU'RE GONNA PAY,,graphics/hullmods/generic_mod.png
Semi-Stable Dimensional Anomalies,vayra_ghost_ship_unique_hyperlost,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraGhostShip,"This hull bears the scars of decades of combat and trans-dimensional flight, its bulkheads and armor plates tangibly weathered by plasma fire and hyperspace storms. The ship's cogitators and inbuilt semi-intelligent automation cores have developed several 'tics' over the cycles, and at times it seems almost alive - the dull thumping of ballast autonomously being shifted or cargo spaces being rearranged echoing through its corridors like the labored beating of some vast and incomprehensible heart. Anomalous happenings - noises and sounds, some consistent with those reported by crew who have spent extended periods of time aboard phase ships or near makeshift hyperwave communication relays, others less explicable - are common aboard the ship, especially during hyperspace travel. Crew disappear at a rate of approximately %s while in hyperspace, claimed by whatever dark purpose the hull now works toward, and the vessel has a chance to spontaneously phase out when taking damage in non-simulated combat.",,graphics/icons/abilities/direct_jump.png
,,,,,,,,,,,,,,,,,,
# new D-mods,,,,,,,,,,,,,,,,,,
Misshapen Turret Gyros,vayra_damaged_turrets,,,,"dmod, damage",,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraDamagedTurrets,"Whether due to battle damage or errors in the manufacturing process, weapons mounted on this ship suffer from slower than normal traverse speed and relative vulnerability to damage. Weapon turn speed reduced by %s, and weapon health reduced by %s.

Supply cost to recover from deployment reduced by %s.",Reduces weapon turn rates and durability.,graphics/hullmods/destroyed_weapon_mounts.png
Inoperative Automated Systems,vayra_damaged_automation,,,,"dmod, damage, civ",,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraDamagedAutomation,"Due to flaws introduced during manufacturing or possibly battle damage, automated systems aboard the ship that would normally assist the crew are almost entirely inoperable. Maximum combat readiness reduced by %s, and minimum crew required increased by %s.

Supply cost to recover from deployment reduced by %s.",Increases minimum crew required and reduces maximum CR.,graphics/hullmods/vayra_very_not_automated_ship.png
Performance Irregularities,vayra_damaged_everything,,,,"dmod, damage",,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraDamagedEverything,"This ship suffers from widespread malfunctions and minor glitches, all of which combine to produce a marked negative effect on its overall combat performance. Maximum combat readiness reduced by %s, and has a %s chance of suffering malfunctions during battle.

Supply cost to recover from deployment reduced by %s.",Reduces maximum CR and has a small chance of causing malfunctions.,graphics/hullmods/vayra_damaged_everything.png
Malformed Fighter Weapons,vayra_damaged_fighterweapons,,,,"dmod, fighterBayDamage",,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraDamagedFighterWeapons,"This ship's fighter manufactory is damaged or glitched in a particular manner that causes no ill effect to the general performance of chassis it produces, but dramatically reduces the effectiveness of their weapons. Fighter damage reduced by %s, and accuracy reduced by %s.

Supply cost to recover from deployment reduced by %s.",Reduces damage dealt by and accuracy of launched fighters and bombers.,graphics/hullmods/vayra_damaged_fighterweapons.png
Buckled Environmental Shielding,vayra_damaged_environment,,,,"dmod, damage, damageStruct, civ",,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraDamagedEnvironment,"This ship's environmental and radiation shielding has taken major and irreparable damage at some point in the past, or suffered from major errors in the manufacturing process. Damage taken from environmental or terrain effects and EMP weapons increased by %s.

Supply cost to recover from deployment reduced by %s.","Increases damage taken from environmental hazards, hostile terrain, and EMP weapons.",graphics/hullmods/vayra_damaged_environment.png
Noncompliant Gunnery Core,vayra_damaged_gunnery,,,,"dmod, damage, hasBallistic",,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraDamagedGunnery,"This ship's integrated gunnery control cogitators are severely out of sync, and have developed several ""tics"" unsettlingly akin to the effects of post-traumatic stress disorder in human crew members. Autofire accuracy reduced by %s, projectile speed reduced by %s, and weapon recoil increased by %s.

Supply cost to recover from deployment reduced by %s.","Reduces autofire accuracy and projectile speed, and increases weapon recoil.",graphics/hullmods/vayra_damaged_gunnery.png
Impaired Life Support Systems,vayra_damaged_lifesupport,,,,"dmod, damage, damageStruct, civ",,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraDamagedLifeSupport,"This ship's basic life support systems are barely functional as a result of terrible damage to the ship, critical errors in its manufacturing, or gross mismanagement over the cycles. Whatever the reason, this hull is capable of supporting only a severely limited number of semipermanent crew berthings, and those only in significant discomfort. Maximum combat readiness reduced by %s, and crew capacity reduced by %s.

Supply cost to recover from deployment reduced by %s.",Reduces maximum CR and crew capacity.,graphics/hullmods/vayra_damaged_lifesupport.png
Distorted Optics,vayra_damaged_optics,,,,"dmod, damage, hasEnergy",,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraDamagedOptics,"This ship suffers from degraded and flawed optics of the type normally used to project combat beams, rendering any weapons of that type installed on this hull exceptionally short-ranged and inaccurate. Beam range reduced by %s, and accuracy reduced by up to %s degrees of arc.

Supply cost to recover from deployment reduced by %s.",Reduces beam weapon range and accuracy.,graphics/hullmods/vayra_flawed_optics.png
Flawed Missile Racks,vayra_damaged_missiles,,,,"dmod, damage, hasMissile",,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraDamagedMissiles,"This ship's missile mounts are misshapen and deformed, either by battle damage or due to errors in the manufacturing process. Missile weapon ammunition reduced by %s and fire rate reduced by %s.

Supply cost to recover from deployment reduced by %s.",Reduces missile weapon maximum ammunition and fire rate.,graphics/hullmods/vayra_damaged_missiles.png
Irregular Feed Mechanisms,vayra_damaged_ballistics,,,,"dmod, damage, hasBallistic",,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraDamagedBallistics,"This ship's ballistic mounts are notably warped, either through damage to the hull or errors in its manufacturing, and interfere with the proper feeding of ammunition to any weapons mounted in them. Ballistic weapons suffer %s lower rate of fire, and %s higher flux generation while firing.

Supply cost to recover from deployment reduced by %s.",Reduces ballistic weapon rate of fire and flux efficiency.,graphics/hullmods/vayra_damaged_ballistics.png
Malfunctioning Ammo Forge,vayra_damaged_ammo,,,,"dmod, damage, hasBallistic, hasMissile",,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraDamagedAmmo,"This ship's ammunition autoforges suffer from severe damage or degredation, and are incapable of prcoessing the exotic materials typically used in high-performance kinetic, explosive, and energy munitions. Ballistic and missile weapons installed on the hull deal only %s damage.

Supply cost to recover from deployment reduced by %s.",Changes the type of damage dealt by ballistic and missile weapons to Fragmentation.,graphics/hullmods/vayra_defective_ammo.png
Destabilized Shield Generator,vayra_damaged_shields,,,,"dmod, damage, hasShields",,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraDamagedShields,"The shield generator on this ship is impossible to calibrate properly due to subtle flaws, introduced through damage to the underlying systems and infrastructure, errors during their manufacturing, or cycles of poor maintenance. Shield upkeep cost increased by %s, and damage taken increased by %s.

Supply cost to recover from deployment reduced by %s.",Increases shield upkeep cost and reduces efficiency.,graphics/hullmods/vayra_faulty_shields.png
,,,,,,,,,,,,,,,,,,
# COMMISSIONED CREWS,,,,,,,,,,,,,,,,,,
Ashen Shielding,CHM_ashen,,,Ashen Keepers,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.CHM_ashen,"The Here-Techs of the Ashen Keepers have learned to rely heavily on their superior shield emitters in combat, tuning them for even better performance against the high explosive weaponry common employed by other, less technically-inclined, sects of Ludd's faithful. Reduces high explosive damage taken by shields by %s.",,graphics/hullmods/chm_ashen.png
Solidarity Forever,CHM_communist,,,Red Guards,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.CHM_communist,"Crews sourced from the Persean Democratic Peoples' Revolutionary Council, no matter the sect or sub-order they follow, are united in one cause: To bring birth to a new Sector from the ashes of the old. Their fervor carries through to their work, allowing them to carry out their duties in conditions where most would abandon their posts. Increases base peak performance time by %s seconds.",,graphics/hullmods/chm_communist.png
Mandate Optics,CHM_mandate,,,Research Mandate,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.CHM_mandate,"The Independent AI War Research Mandate requires that their ships be equipped with specially modified optical systems and integrated gunnery AIs, which extend the range of ballistic and energy weapons by %s/%s/%s/%s percent, depending on hull size. The space required for the complicated assembly requires the removal of some of the ship's plating, reducing armor rating by %s/%s/%s/%s depending on hull size.",,graphics/hullmods/chm_mandate.png
Rimward Efficiency,CHM_rimward,,,Merchant Marine,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.CHM_rimward,"Merchants of the Rimward Venture Trading Company are always eager to cut corners and enjoy maximizing space wherever possible. Increases maximum cargo capacity by %s/%s/%s/%s, depending on hull size.",,graphics/hullmods/chm_rimward.png
Stormhawk Elite Pilots,CHM_stormhawk,,,Stormhawk Republic,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.CHM_stormhawk,"Pilots of the Stormhawk Republic are extremely skilled interceptors and dogfighters, and carry out extensive training to ensure they keep their edge. Fighters deal an extra %s damage to enemy fighters, bombers, and other strike craft.",,graphics/hullmods/chm_stormhawk.png
,,,,,,,,,,,,,,,,,,
# new merged stuff,,,,,,,,,,,,,,,,,,
# MODULAR,,,,,,,,,,,,,,,,,,
Collapsed Cargo Holds,vayra_collapsedcargo,0,,Vayra,"defensive, special, req_spaceport","Defenses, Logistics, Requires Dock",2000,,,,8,15,20,40,data.scripts.hullmods.vayra_collapsedcargo,"Collapses the ship's cargo holds and welds them together for additional protection. Increases the ship's armor by %s, with no loss of mobility. The amount of effective protection that can be gained in this manner limits bonus armor to %s at most.

Reduces available cargo space by %s percent, as some storage can still be crammed into the resulting internal cavities between jury-rigged structural reinforcement beams. Increased stresses of combat-speed acceleration on the new, denser hull plating reduces peak combat performance time by %s percent.

Costs %s OP when installed on a civilian-class vessel without any military-grade sensors, flux-management infrastructure, or targeting equipment to get in the way.",Collapses cargo holds for additional armor.,graphics/icons/markets/shipbreaking.png
Collapsed Cargo Holds,vayra_collapsedcargo_free,,,Vayra,"defensive, special, req_spaceport, civOnly","Defenses, Logistics, Requires Dock",,,TRUE,,0,0,0,0,data.scripts.hullmods.vayra_collapsedcargo,"Collapses the ship's cargo holds and welds them together for additional protection. Increases the ship's armor by %s, with no loss of mobility. The amount of effective protection that can be gained in this manner limits bonus armor to %s at most.

Reduces available cargo space by %s percent, as some storage can still be crammed into the resulting internal cavities between jury-rigged structural reinforcement beams. Increased stresses of combat-speed acceleration on the new, denser hull plating reduces peak combat performance time by %s percent.

Costs %s OP when installed on a civilian-class vessel without any military-grade sensors, flux-management infrastructure, or targeting equipment to get in the way.",,graphics/icons/markets/shipbreaking.png
,,,,,,,,,,,,,,,,,,
# FOURTENFH BATLTEGRUeP,,,,,,,,,,,,,,,,,,
FOURTENFH BATLTEGRUeP,vayra_pirate_xiv,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.vayra_pirate_xiv,"This ship is ALLEGEDLY a survivor of the original 14th Domain Battlegroup which founded the Hegemony. It has been up-armored to the net benefit of %s standard units, and a military-grade power plant has been installed increasing speed, maneuverability, and flux characteristics by %s percent. Despite these modifications (and the clumsily spraypainted 'PHOoeEYNUkS' on the hull plating), it is unlikely that the Hegemony - let alone the Domain of Man - would ever make use of such a vessel.",,graphics/hullmods/vayra_pirate_xiv.png
