name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Aquilon Nanoforge,ix_aquilon_microforge,,,,,,,,TRUE,,0,0,0,0,data.hullmods.ix.AquilonMissileMicroforge,"A missile nanoforge that replenishes spent magazines of all medium missile weapons by %s every %s seconds, reloading at least %s missile per launcher. Incompatible with Expanded Missile Racks and Missile Autoloader.",Reloads medium missiles.,,graphics/hullmods/missile_autofactory.png
Aquilon Starfall Rockets,ix_aquilon_sr,,,,no_build_in,,,,TRUE,,0,0,0,0,data.hullmods.ix.AquilonStarfallRockets,"Arms the Aquilon integrated launcher with Starfall Rockets. Each volley launchers %s rockets that inflict %s and %s damage.

Remove this hullmod to switch launcher munitions.",Equips Micro-missiles,,graphics/hullmods/ix_aquilon_starfall_rockets.png
      Starfall Rockets Handler,ix_aquilon_sr_handler,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.ix.AquilonStarfallRocketsHandler,(Hidden) Dummy hullmod for Aquilon system switching.,,,graphics/hullmods/ix_aquilon_starfall_rockets.png
Aquilon Spatial Charges,ix_aquilon_sc,,,,no_build_in,,,,TRUE,,0,0,0,0,data.hullmods.ix.AquilonSpatialCharge,"Arms the Aquilon integrated launcher with Spatial Charges. Each volley launchers %s charges that emit an energy pulse for %s and %s damage.

Remove this hullmod to switch launcher munitions.",Equips Spatial Charges,,graphics/hullmods/quantum_disruptor.png
      Spatial Charges Handler,ix_aquilon_sc_handler,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.ix.AquilonSpatialChargeHandler,(Hidden) Dummy hullmod for Aquilon system switching.,,,graphics/hullmods/quantum_disruptor.png
Converted Hull,ix_converted_hull,,,,,,,,TRUE,,0,0,0,0,data.hullmods.ix.ConvertedHull,"This droneship has been converted to accommodate a human captain and crew. Shield emitters have been tuned down to minimize hazardous radiation exposure, and the removal of the commanding AI core significantly slows the calculation of safe traversal paths through phase space.

Increases minimum crew by %s and maximum crew limit by %s. Shield strength is reduced by %s and ship system charges are reduced by %s.","Allows human captain to command, reduces shield strength and system charges.",,graphics/hullmods/ix_converted_hull.png
Cramped Missile Bays,ix_cramped_missile_bays,,,,,,,,TRUE,,0,0,0,0,data.hullmods.ix.CrampedMissileBays,"The interior of this frigate is extremely cramped, and can barely accommodate its twin medium missile hardpoints. Missile capacity is reduced by %s, and Expanded Missile Racks cannot be installed.",Limits missile storage.,,graphics/hullmods/ix_cramped_missile_bays.png
Emergency Flux Shunt,ix_emergency_flux_shunt,,,,,,,,TRUE,,0,0,0,0,data.hullmods.ix.EmergencyFluxShunt,(Hidden) Reduces fighter overload time to 0.,Reduces fighter overload time to 0.,,graphics/hullmods/ix_reactive_combat_shields.png
EMP Emitter,ix_emp_emitter,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.combat.BaseHullMod,This ship is equipped with a built-in EMP emitter that will automatically target inbound threats without disrupting its own systems.,EMP emitter fires at nearby threats.,,graphics/hullmods/ix_emp_emitter.png
Entropy Arrester,ix_entropy_arrester,,,,,,,,TRUE,,0,0,0,0,data.hullmods.ix.EntropyArrester,"The Immanence Engine continually anchors the quantum state of the ship hull, causing it to gradually revert to that state over time. Restores %s of hull every second, reduces the time to repair disabled weapons and engines in combat by %s, and makes the ship resistant to entropy projector reductions to combat readiness. Incompatible with Automated Repair Unit.",Restores hull over time.,,graphics/hullmods/ix_entropy_arrester.png
Equalizer Integration,ix_equalizer_integration,,,,,,,,TRUE,,0,0,0,0,data.hullmods.ix.EqualizerIntegration,"Reduces the ordnance point cost of energy and missile weapons. Each small weapon is reduced by %s, medium weapon by %s, and large weapon by %s.",Reduces OP for energy and missile weapons.,,graphics/hullmods/ix_equalizer_integration.png
      HVB Handler,ix_hvb_handler,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.ix.HvbHandler,(Hidden) Self deleting hullmod for modifying magiclib bounty ships prior to their encounter with the player.,,,graphics/hullmods/ix_entropy_arrester.png
Improved Supercruise,ix_improved_supercruise,,,,,,,,TRUE,,0,0,0,0,data.hullmods.ix.SupercruiseEngines,The 0-flux speed boost is activated at up to %s flux.,Gain 0-flux speed bonus at 10% flux.,,graphics/hullmods/ix_plasma_ramjet.png
Interdictor Array,ix_interdiction_array,,,,,,,,TRUE,,0,0,0,0,data.hullmods.ix.InterdictionArray,"A complex modification that leverages the Paragon's immensely powerful shield generators for offensive purposes. Converts the ship system into a graviton beam projecting %s. Each beam can strike a target within %s units for %s in soft flux kinetic damage, while also disrupting its drive field to disable a random number of engines for a short time.

This system is standard on Paragon (IX) battleships, and stabilizes the ship's own drive field outside of combat, increasing maximum burn level by %s.",Converts Paragon (IX) ship system to Interdictor Pulse.,,graphics/hullmods/ix_interdiction_array.png
Low Powered Forge,ix_low_powered_forge,,,,,,,,TRUE,,0,0,0,0,data.hullmods.ix.LowPoweredForge,The microforge aboard this carrier struggles with complex strike craft designs. Every fitted squadron costing more than %s ordnance points increases the time to launch all replacement fighters by %s.,Slower replacement times caused by high OP fighters.,,graphics/hullmods/ix_low_powered_forge.png
Micro Flux Shunt,ix_microfluxshunt,,,,,,,,TRUE,,0,0,0,0,data.hullmods.ix.MicroFluxShunt,"(Hidden) Allows the ship to dissipate hard flux at %s/%s/%s/%s percent of the normal rate while shields are on, depending on hull size.",Allows dissipation of hard flux while shields are up.,,graphics/hullmods/flux_shunt.png
Missile Nanoforge,ix_missile_nanoforge,,,,,,,,TRUE,,0,0,0,0,data.hullmods.ix.MissileNanoforge,"A dedicated nanoforge replenishing spent magazines of all small missile weapons by %s every %s seconds, reloading at least %s missile per launcher. Incompatible with Expanded Missile Racks and Missile Autoloader.",Reloads small missiles.,,graphics/hullmods/missile_autofactory.png
Ninth Battlegroup,ix_ninth,,,,,,,,TRUE,,0,0,0,0,data.hullmods.ix.NinthHullmod,"This ship is a survivor of a 9th Domain Battlegroup task force stranded in the Persean Sector. Speialized in the Domain Navy's ""lightning strike"" doctrine, it has received extensive upgrades (performed with pre-Collapse industrial methods) to its engines and shield emitters. Increases the ship's zero-flux speed bonus by %s, and enhances shield turning and unfolding rates by %s. Especially fine-tuned engines improve acceleration by %s. However, the fine tuned machinery does not fare well when stressed for extensive periods of time, increasing the rate of combat readiness decline by %s.","Improves 0-flux bonus, raise shield speed, acceleration, faster CR decay.",,graphics/hullmods/ix_ninth.png
      IX D-mod Handler,ix_dmod_handler,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.ix.DModHandler,(Hidden) A workaround to clear nex invasion suppor strike fleets of d-mods.,,,graphics/hullmods/ix_ninth.png
No Venting,ix_noventing,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.ix.NoVenting,(Hidden) This ship cannot vent flux.,Cannot vent flux.,,graphics/hullmods/flux_coil_adjunct.png
Panoptic Interface (Command),ix_panoptic_command,,,,,,,,TRUE,,0,0,0,0,data.hullmods.ix.PanopticInterfaceCommand,"Integrates a Panopticon Core into the ship as a secondary command module that can enter battle with the elite %s, %s, %s, and %s skills if no human captain is present. AI performance is limited due to the core not being in direct control of the ship, but it also does not count towards the deployment limit of automated ships. Cannot be used with Armament Support Systems or on automated ships.

Active Panoptic Interfaces within your fleet have formed an encrypted mesh network that is consuming a notable amount of processing power. Each interfaced ship adds a cumulative combat readiness penalty of %s/%s/%s/%s, based on hull size, which is applied to all interfaced ships in your fleet. The total penalty cannot exceed %s.",Reduces deployment cost and combat readiness.,,graphics/hullmods/ix_panoptic_interface.png
      Command Interface Handler,ix_panoptic_command_handler,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.ix.PanopticInterfaceCommandHandler,(Hidden) Needed to clear Panopticon Core (Command) from ship after interface hullmod is removed.,,,graphics/hullmods/ix_panoptic_interface.png
Panoptic Interface (Primary),ix_panoptic_automated,,,,,,,,TRUE,,0,0,0,0,data.hullmods.ix.PanopticInterfaceAutomated,"The AI command interface aboard this ship is optimized for the Panopticon Core, a type of modified Beta Core created by the 9th Domain Battlegroup. Reduces the automated ship points multiplier from %s to %s when commanded by a Panopticon Core.

Active Panoptic Interfaces within your fleet have formed an encrypted mesh network that is consuming a notable amount of processing power. However, this ship appears to be alleviating the load for other interfaced ships in the fleet, reducing their combat readiness penalty by %s, while its own performance remains unaffected.",Reduces deployment cost and combat readiness.,,graphics/hullmods/ix_panoptic_interface.png
Panoptic Interface (Strategic),ix_panoptic_strategic,,,,,,,,TRUE,,0,0,0,0,data.hullmods.ix.PanopticInterfaceStrategic,"Integrates a Panopticon Core into the ship as a secondary strategic module. Enables deployment of larger fleets by reducing deployment cost for this ship by %s/%s/%s/%s, based on hull size.

Active Panoptic Interfaces within your fleet have formed an encrypted mesh network that is consuming a notable amount of processing power. Each interfaced ship adds a cumulative combat readiness penalty of %s/%s/%s/%s, based on hull size, which is applied to all interfaced ships in your fleet. The total penalty cannot exceed %s.",Reduces deployment cost and combat readiness.,,graphics/hullmods/ix_panoptic_interface.png
Panoptic Interface (Tactical),ix_panoptic_tactical,,,,,,,,TRUE,,0,0,0,0,data.hullmods.ix.PanopticInterfaceTactical,"Integrates a Panopticon Core into the ship as a secondary tactical module. Grants a bonus to ship speed, plus additional bonuses based on the captain's training in the Sword of the Fleet skill. Cannot be activated alongside Armament Support Systems or aboard automated ships.

Active Panoptic Interfaces within your fleet have formed an encrypted mesh network that is consuming a notable amount of processing power. Each interfaced ship adds a cumulative combat readiness penalty of %s/%s/%s/%s, based on hull size, which is applied to all interfaced ships in your fleet. The total penalty cannot exceed %s.",Grants bonuses based on pilot Sword of the Fleet skill.,,graphics/hullmods/ix_panoptic_interface.png
      Panoptic Interface Checker,ix_panoptic_checker,,,,,,,,TRUE,TRUE,0,0,0,0,com.fs.starfarer.api.combat.BaseHullMod,"(Hidden) ships with this mod will be ignored by IXEncounterListener, hullmod is added on initial encounter with player",,,graphics/hullmods/ix_panoptic_interface.png
Plasma Ramjet,ix_plasma_ramjet,,,,,,,,TRUE,,0,0,0,0,data.hullmods.ix.PlasmaRamjet,"This ship will activate a secondary plasma ramjet during high speed maneuvers. Improves the Plasma Jets ship system duration by %s, and top speed bonus by %s.",Improves Plasma Jet ship system.,,graphics/hullmods/ix_plasma_ramjet.png
Semi-Automated Ship,ix_semi_automated,,,,,,,,TRUE,,0,0,0,0,data.hullmods.ix.SemiAutomated,"Unlike a conventional automated drone, this ship is piloted remotely via an experimental neuro-interface that requires no specialized training to operate. This allows the gunship to retain much of its superior performance while still keeping it under human control.

%s and compatible with %s, but can be assigned a human captain. The complexity of its command module increases deployment cost by %s.",Affects ship performance.,,graphics/hullmods/ix_semi_automated.png
Sentinel PD Array - Small,ix_point_defense_small,,,,no_build_in,,,,TRUE,,0,0,0,0,data.hullmods.ix.PointDefenseSmall,"Enhances weapon performance as an %s, and allows all small energy weapons to engage missiles as point defense weapons. Remove this hullmod to modify medium weapon performance instead.",Enhanced point defense weapon performance.,,graphics/hullmods/ix_point_defense.png
      Sentinel S Handler,ix_point_defense_small_handler,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.ix.PointDefenseSmallHandler,(Hidden) Dummy hullmod for PD mode switching.,,,graphics/hullmods/ix_point_defense.png
Sentinel PD Array - Medium,ix_point_defense_medium,,,,no_build_in,,,,TRUE,,0,0,0,0,data.hullmods.ix.PointDefenseMedium,"Enhances weapon performance as an %s, and increases the base number of charges for medium point defense energy weapons by %s. Remove this hullmod to modify small weapon performance instead.",Enhanced point defense weapon performance.,,graphics/hullmods/ix_point_defense_large.png
      Sentinel M Handler,ix_point_defense_medium_handler,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.ix.PointDefenseMediumHandler,(Hidden) Dummy hullmod for PD mode switching.,,,graphics/hullmods/ix_point_defense_large.png
Sentinel Retrofit,ix_odyssey_retrofit,,,,,,,,TRUE,,0,0,0,0,data.hullmods.ix.OdysseyRetrofit,"This militarized Odyssey has received further defensive enhancements. Various weapon mounts have been modified, shields strength is improved by %s, and %s tracking has been granted the best possible performance, equivalent to a built-in Integrated Point Defense AI. The ship is also primed to convert its High Resolution Sensors into a %s and enable its built-in drone squadron, although it is not compatible with a traditional Converted Hangar. The additional complexity resulting from a widespread use of premium components increases maintenance and deployment cost by %s.",Hull has been enhanced by IX Battlegroup engineering.,,graphics/hullmods/ix_odyssey_retrofit.png
      S-mod Handler,ix_smod_handler,,,,,,,,TRUE,TRUE,0,0,0,0,com.fs.starfarer.api.combat.BaseHullMod,(Hidden) Dummy hullmod to limit System Reset hullmod to single use. Does nothing by itself.,,,graphics/hullmods/ix_system_reset.png
Terminus Core,ix_terminus_core,,,,,,,,TRUE,,0,0,0,0,data.hullmods.ix.TerminusCore,(Hidden) Enhances Terminus (IX) drones for point defense.,,,graphics/hullmods/ix_terminus_core.png
Terminus Relay,ix_terminus_relay_built_in,,,,,,,,TRUE,,0,0,0,0,data.hullmods.ix.TerminusRelayBuiltIn,"The drones of this ship are piloted by a specialized tactical AI that improves drone damage against fighters and missiles by %s, weapon range by %s, and grants the drones superior point defense accuracy.

This relay can also periodically emit charged particle streams that are redirected by the deployed drones. Activating the system targets the nearest enemy to each drone within %s su, inflicting %s energy and %s EMP damage per drone strike.",Improves drone performance.,,graphics/hullmods/ix_terminus_relay.png
Undershield,ix_undershield_stock,,,,,,,,TRUE,,0,0,0,0,data.hullmods.ix.Undershield,This ship has a secondary reactor powering an undershield that grants further protection with %s degrees of coverage.,,,graphics/hullmods/ix_undershield.png
Enhanced Undershield,ix_undershield_fleet,,,,,,,,TRUE,,0,0,0,0,data.hullmods.ix.Undershield,This ship has a secondary reactor powering an undershield that grants further protection with %s degrees of coverage.,,,graphics/hullmods/ix_undershield.png
,,,,,,,,,,,,,,,,,,,
#Commission,,,,,,,,,,,,,,,,,,,
Archaeotech Mastery,ix_archaeotech_mastery,,,IX Battlegroup,,,,,TRUE,,0,0,0,0,data.hullmods.ix.ArchaeotechMastery,"The IX Battlegroup has access to knowledge lost to the rest of the Sector, which includes not just examples of high technology, but also the expertise to maintain and utilize them to the greatest extent. Their engineering crews are trained to fine tune all manner of ship systems past what even the original manufacturers would consider peak performance. Decreases ship system recharge time by %s.",Decreases ship system recharge time.,,graphics/hullmods/ix_archaeotech_mastery.png
Drone Tactics,tw_drone_tactics,,,Trinity Worlds,,,,,TRUE,,0,0,0,0,data.hullmods.tw.DroneTactics,"Among the Trinity Worlds fleet, any large ship could be a carrier of Nimbus Combat Drones, and every captain is expected to be skilled in their use. Increases strike craft range by %s su when ship is equipped with a %s and fitted with only %s.",Increase drone damage on Trinity Worlds ships.,,graphics/hullmods/tw_drone_tactics.png
