name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
Battleaxe,vayra_battleaxe,,Low Tech,vayra_foreverflares,,1000,200,300,,50,,,150,150,150,90,240,50,NONE,,,,,,,4,4,,,,,,,,,,,,,,,,,,,
Caliban,vayra_caliban,,High Tech,flarelauncher_fighter,,400,50,400,,40,,,180,360,300,90,180,35,FRONT,,360,0,1,,,1,1,,,,,,,,,,,,,,,,,,,
Bailey,vayra_bailey,,Explorarium,flarelauncher_fighter,,800,150,100,,10,,,125,100,75,50,100,60,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
Castellum,vayra_castellum,,Explorarium,,,650,150,100,,10,,,100,100,75,50,100,45,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
Ditch,vayra_ditch,,Explorarium,flarelauncher_single,,400,100,100,,10,,,180,300,225,100,200,30,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yak,vayra_yak,,Red Guards,flarelauncher_single,,250,50,200,,20,0,,300,400,300,180,360,10,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,0,,,
Black Shark,vayra_blackshark,,Red Guards,flarelauncher_fighter,,750,150,400,,20,0,,150,150,300,120,240,50,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,0,,,
Pugachev,vayra_pugachev,,Red Guards,maneuveringjets,,500,75,500,,100,0,,400,500,400,150,300,35,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,0,,,
Molotov,vayra_molotov,,Red Guards,,,500,25,500,,50,0,,200,200,200,60,120,40,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,0,,,
Broadsword (SR),vayra_broadsword_warhawk,,Stormhawk Republic,flarelauncher_fighter,,750,100,120,,20,0,,275,400,350,90,180,30,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,0,,,
Thunder (SR),vayra_thunder_warhawk,,Stormhawk Republic,flarelauncher_single,,500,75,750,,100,0,,450,600,500,150,300,30,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,0,,,
Khopesh (SR),vayra_khopesh_warhawk,,Stormhawk Republic,,,500,75,500,,100,0,,225,225,200,60,120,40,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pegasus,vayra_pegasus,,Merchant Marine,fastmissileracks,,700,100,600,,100,,,150,300,250,90,180,60,OMNI,,360,0,1,,,2,2,,,,,,,,,,,,,,,,0.2,2,2,
Workhorse,vayra_workhorse,,Merchant Marine,,,250,100,500,,50,,,300,400,300,150,300,20,NONE,,,,,,,1,1,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manifesto,vayra_manifesto,Battlecruiser,Red Guards,ammofeed,20,10000,1100,12000,,450,215,3,50,20,10,6,6,2200,OMNI,,90,0.5,1.2,,,450,900,200,400,10,,8,250000,3,12,660,0.25,35,35,"CARRIER, COMBAT, NO_AUTO_ESCORT",revolutionary,,0.4,2,4,
Galleon,vayra_galleon,Treasure Ship,Merchant Marine,vayra_galleonflares,40,35000,1750,35000,,800,400,4,30,10,10,4,4,5500,OMNI,,180,0.3,0.8,,,1000,2000,1500,2000,20,,6,800000,2,15,840,0.25,75,75,,no_bp_drop,,0.4,2,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hammerhead (SR),vayra_hammerhead_warhawk,Destroyer,Stormhawk Republic,ammofeed,10,5000,500,4200,,250,90,1,90,60,40,30,60,400,FRONT,,300,0.4,0.8,,,80,100,100,60,2,30,9,42000,5,12,360,0.25,10,10,,warhawk,,0.5,2,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azores,antediluvian_azores,Frigate,Antediluvian,vayra_strikefeed,5,1800,300,1250,,125,45,,185,200,100,90,120,180,NONE,,,,,,,5,20,30,40,1,,10,11000,5,10,240,0.25,4,4,HIDE_IN_CODEX,"antediluvian, no_bp_drop",,0.4,2,2,
Forlorn,antediluvian_forlorn,Heavy Frigate,Antediluvian,ammofeed,10,2250,400,1800,,150,55,,120,180,90,90,120,250,PHASE,antediluvian_submerge,,,,0.01,0.1,10,25,40,50,1,,10,36000,10,20,180,0.25,8,8,"PHASE, HIDE_IN_CODEX","antediluvian, no_bp_drop",,0.4,2,2,
Greyhound,vayra_greyhound,Frigate,Low Tech,ammofeed,4,2000,400,1250,,125,42,,180,175,100,90,120,220,NONE,,,,,,,10,40,35,30,1,,10,8500,5,10,240,0.25,3,3,,"lowtech_bp, pirate_bp, revolutionary",,0.4,2,2,
Blood Dog,vayra_blood_dog,Tramp Freighter,Pirate,ammofeed,5,2200,450,1500,,200,50,,175,175,100,90,120,200,FRONT,,120,0.4,1,,,12,24,100,45,1,,10,20000,10,10,240,0.25,5,5,HIDE_IN_CODEX,,,0.1,2,2,
Rock Hound,vayra_mining_hound,Utility Frigate,Low Tech,vayra_foreverflares,3,2000,300,1800,,150,33,,160,150,80,90,120,200,NONE,,,,,,,10,40,75,30,1,,10,8000,5,10,240,0.25,3,3,,"base_bp, mercantile",,0.4,2,2,
Hail,vayra_hail,Light Pinnace,High Tech,temporalshell,3,750,125,1750,,100,35,,195,250,200,180,360,100,FRONT,,90,0.2,0.6,,,3,15,10,10,1,,11,17500,10,20,180,0.25,3,3,,"rare_bp, tritachyon",0.75,0.6,2,2,
Razorback,vayra_razorback,Heavy Gunship,Low Tech,vayra_strikefeed,3,2000,600,2500,,200,50,,95,90,70,40,70,300,NONE,,,,,,,20,40,60,20,1,,9,15000,8,10,300,0.25,4,4,,pirate_bp,,0.3,2,2,
Bruiser,vayra_bruiser,Heavy Frigate,Low Tech,vayra_foreverflares,5,2250,450,2500,,200,55,,85,100,80,50,80,350,FRONT,,180,0.4,1,,,35,70,50,20,1,,9,15000,8,10,300,0.25,5,5,,lowtech_bp,,0.4,2,2,
Hatchetman,vayra_hatchetman,Cutter,Low Tech,vayra_microburn,5,1500,300,2100,,120,50,,160,200,150,90,120,200,FRONT,,150,0.4,1.2,,,15,30,30,30,1,,10,10000,8,10,240,0.25,5,5,,lowtech_bp,,0.5,2,2,
Kingfisher,vayra_kingfisher,Combat Shuttle,Midline,maneuveringjets,4,1250,250,2100,,80,35,,135,180,120,60,120,200,OMNI,,150,0.4,0.8,,,10,50,50,20,1,,10,6000,8,10,240,0.25,3,3,,midline_bp,,0.3,2,2,
Swordsman,vayra_swordsman,Frigate,Midline,vayra_strikefeed,5,1500,250,2200,,175,50,,130,130,110,60,120,250,FRONT,,270,0.4,0.8,,,20,40,40,25,1,,10,15000,8,10,240,0.25,5,5,,midline_bp,,0.4,2,2,
Spade,vayra_spade,Light Rig,Midline,flarelauncher_fighter,1,800,150,500,,50,22,,120,100,75,60,120,100,NONE,,,,,,,2,5,30,10,0.5,,9,1500,5,20,180,0.25,1,1,,"rare_bp, kadur_mining_bp, pirates, independent, scavengers, mercantile",,0.75,2,2,
Groundhog,vayra_groundhog,Heavy Frigate,Midline,maneuveringjets,6,2500,500,2000,,150,45,,140,240,120,60,120,350,FRONT,,150,0.4,1,,,30,60,100,20,1,,9,22000,8,10,300,0.25,5,5,,"rare_bp, kadur_mining_bp, pirates, independent, scavengers, mercantile",,0.2,2,2,
Pinnacle,vayra_pinnacle,Heavy Frigate,High Tech,highenergyfocus,7,2000,300,2500,,300,55,,110,100,80,50,100,300,OMNI,,180,0.6,0.6,,,30,60,30,20,1,,9,50000,10,20,240,0.25,6,6,,hightech_bp,,0.5,2,2,
Ruin,vayra_ruin,Heavy Frigate,High Tech,vayra_fragmine,8,2000,250,2000,,150,60,,130,120,100,60,120,300,OMNI,,180,0.4,0.8,,,5,20,25,50,1,,10,40000,10,20,240,0.25,8,8,,"rare_bp, tritachyon, persean, independent, science",,0.5,2,2,
Tower,vayra_tower,Drone,Explorarium,ammofeed,4,1500,500,750,,100,40,,150,200,125,90,120,200,NONE,,0,0,0,,,0,0,20,20,1,,9,10000,5,5,480,0.25,5,5,"UNBOARDABLE, HIDE_IN_CODEX",derelict,,0.5,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huntress,vayra_huntress,Light Destroyer,Midline,maneuveringjets,9,4000,350,4200,,250,90,,120,100,80,35,80,350,FRONT,,300,0.4,0.8,,,40,80,50,60,2,,10,30000,5,12,300,0.25,8,8,,midline_bp,,0.5,2,3,
Persecutor,vayra_persecutor,Destroyer,Low Tech,ammofeed,10,5500,600,4000,,200,90,,105,60,40,30,40,500,FRONT,,270,0.4,1.2,,,60,120,100,90,3,,9,50000,5,12,360,0.25,10,10,,"rare_bp, luddic_church, hegemony, sindrian_diktat",,0.3,2,3,
Intimidator,vayra_intimidator,Destroyer,Low Tech,reservewing,10,4500,600,3500,,200,80,1,70,50,30,30,40,400,FRONT,,270,0.4,1.2,,,75,125,70,90,3,,9,46000,5,12,360,0.25,10,10,,"lowtech_bp, luddic_path",,0.3,2,3,
Tarsus Ultra,vayra_tarsus_ii,Destroyer,Low Tech,maneuveringjets,8,4250,400,3600,,250,80,,45,35,25,25,15,600,OMNI,,120,0.66,1.2,,,40,80,100,80,2,,8,26000,5,20,420,0.25,7,7,,"rare_bp, pirates",0.5,0.5,2,3,
Henchman,vayra_henchman,Troopship,Midline,flarelauncher_active,8,4000,450,2500,,150,60,,40,60,60,30,45,400,OMNI,,150,0.4,0.8,,,10,200,50,80,2,,9,25000,5,15,360,0.25,4,4,TRANSPORT,midline_bp,,0.5,2,3,
Dire Wolf,vayra_direwolf,Destroyer,High Tech,displacer,10,3000,300,5500,,300,100,,115,95,60,40,100,400,FRONT,,150,0.4,0.8,,,30,60,100,40,2,,9,45000,5,20,300,0.25,10,10,,hightech_bp,,0.5,2,3,
Badger,vayra_heavy_drone_tender,Heavy Tender,Midline,vayra_foreverflares,9,4500,400,3000,,150,60,3,40,20,10,10,10,600,OMNI,,120,0.5,1,,,60,160,300,90,2,,8,35000,5,10,360,0.25,8,8,"CARRIER, COMBAT, FREIGHTER","rare_bp, kadur_mining_bp, pirates, independent, scavengers, mercantile",,0.2,2,3,
Badger Mk.II,vayra_badger_p,Destroyer,Pirate,vayra_foreverflares,9,4500,400,3000,,150,60,2,60,30,15,10,10,600,OMNI,,120,0.5,1,,,60,160,150,90,2,,8,35000,5,10,300,0.25,8,8,FREIGHTER,"rare_bp, pirates",,0.5,2,3,
Exemplar,vayra_exemplar,Heavy Destroyer,High Tech,vayra_exemplardrones,12,4000,450,6000,,400,95,,80,75,50,30,50,500,OMNI,,180,0.3,0.8,,,50,75,60,50,2,,9,80000,5,20,360,0.25,14,14,,hightech_bp,,0.5,2,3,
Seer,vayra_seer,Support Carrier,High Tech,recalldevice,12,2800,275,4000,,250,75,2,60,60,40,30,60,350,OMNI,,120,0.3,0.7,,,60,120,40,40,2,,9,65000,5,20,300,0.25,16,16,CARRIER,hightech_bp,,0.7,2,3,
Prospector,vayra_prospector,Exploration Vessel,Midline,targetingfeed,10,4000,350,3500,,175,80,2,75,40,20,25,20,500,OMNI,,120,0.4,1,,,50,150,250,200,2,,8,40000,5,10,300,0.25,8,8,FREIGHTER,"rare_bp, kadur_mining_bp, pirates, independent, scavengers, mercantile, science",,0.4,2,3,
Palisade,vayra_redoubt,Drone,Explorarium,maneuveringjets,8,4500,600,4000,,300,110,,90,75,50,20,20,500,NONE,,0,0,0,,,0,0,80,40,2,,8,40000,5,10,420,0.25,10,10,"UNBOARDABLE, HIDE_IN_CODEX",derelict,,0.5,2,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motte,vayra_motte,Drone,Explorarium,reservewing,10,8000,900,6500,,300,115,3,45,30,15,15,10,1900,NONE,,0,0,0,,,0,0,100,60,4,,8,150000,5,12,600,0.25,22,22,"UNBOARDABLE, HIDE_IN_CODEX",derelict,,0.5,2,4,
Battlement,vayra_battlement,Drone,Explorarium,fastmissileracks,10,10000,1100,8000,,400,140,,50,30,15,15,10,2000,NONE,,0,0,0,,,0,0,100,60,4,,8,160000,5,12,600,0.25,24,24,"UNBOARDABLE, HIDE_IN_CODEX",derelict,,0.5,2,4,
Fortress,vayra_fortress,Drone,Explorarium,highenergyfocus,16,12500,1500,10000,,650,200,,30,20,10,6,3,2500,NONE,,,,,,,0,0,200,75,5,,7,180000,5,12,600,0.25,30,30,"UNBOARDABLE, HIDE_IN_CODEX",derelict,,0.5,2,4,
Subjugator,vayra_subjugator,Fast Cruiser,Low Tech,vayra_microburn,12,7500,850,7500,,300,130,,60,60,30,20,20,1000,FRONT,,120,0.4,1.2,,,100,150,100,90,3,,9,85000,4,12,480,0.25,17,17,,lowtech_bp,,0.5,2,3,
Oppressor,vayra_oppressor,Cruiser,Low Tech,maneuveringjets,14,9000,1250,8500,,425,150,2,40,40,20,16,16,1750,OMNI,,150,0.4,1,,,200,300,125,120,4,,8,125000,4,12,480,0.25,20,20,,lowtech_bp,,0.4,2,4,
Typhon,vayra_typhon,Heavy Cruiser,High Tech,drone_sensor,18,9500,1000,14000,,900,180,,45,45,25,20,25,2400,OMNI,,210,0.6,0.6,,,100,250,150,120,4,,8,250000,4,20,480,0.25,32,32,,"rare_bp, tritachyon",,0.6,2,4,
Clairvoyant,vayra_clairvoyant,Combat Carrier,High Tech,vayra_screeningformation,16,6000,750,9000,,600,140,2,70,50,25,25,25,1800,OMNI,,180,0.5,0.8,,,110,220,150,90,3,,8,160000,4,20,390,0.25,25,25,"CARRIER, COMBAT, FREIGHTER, TANKER, NO_AUTO_ESCORT",hightech_bp,,0.6,2,3,
Pioneer,vayra_pioneer,Salvage Cruiser,Midline,burndrive,14,9000,1000,7500,,300,120,1,40,30,20,16,16,2000,OMNI,,150,0.4,1,,,150,350,400,200,2,,7,110000,4,15,480,0.25,17,17,"COMBAT, FREIGHTER, TANKER","rare_bp, kadur_mining_bp, independent, scavengers, mercantile",,0.3,2,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrant,vayra_tyrant,Fast Battleship,Low Tech,vayra_microburn,26,14000,1350,16000,,800,290,2,40,30,25,6,8,2750,FRONT,,210,0.4,1.2,,,575,1150,350,425,12,,8,340000,3,12,660,0.25,40,40,,"rare_bp, luddic_church, hegemony, sindrian_diktat",,0.5,2,5,
Warlord,vayra_warlord,Battleship,Low Tech,maneuveringjets,30,18000,1600,20000,,1200,280,,20,10,10,6,4,3000,OMNI,,180,0.4,1,,,600,1200,300,400,15,,7,350000,3,12,720,0.25,50,50,HIDE_IN_CODEX,,,0.5,2,5,
Pathfinder,vayra_pathfinder,Expedition Battlecruiser,Midline,reservewing,20,9500,900,12000,,500,210,2,45,40,30,12,20,2000,OMNI,,90,0.6,1,,,250,1250,600,800,10,,7,275000,3,15,660,0.25,30,30,,"kadur_mining_bp, independent, scavengers, mercantile, science",,0.6,2,5,
Bear,vayra_bear,Heavy Platform,Midline,maneuveringjets,30,25000,1600,14000,,900,275,7,15,8,4,4,2,5000,FRONT,,210,0.4,1,,,800,2000,1200,1200,15,,6,400000,3,15,840,0.25,60,60,"CARRIER, COMBAT, NO_AUTO_ESCORT","kadur_mining_bp, independent, scavengers, mercantile",,0.2,2,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martyr,vayra_martyr,,Kadur Theocracy,,,50,10,50,,10,,,170,250,250,180,360,5,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,0,,,
Termite,vayra_termite,,Kadur Theocracy,,,75,25,50,,10,,,200,320,130,100,200,10,FRONT,,180,0,1,,,0,0,,,,,,,,,,,,,,,,0,,,
Dervish,vayra_dervish,,Kadur Theocracy,,,350,35,400,,20,,,325,400,400,160,480,20,NONE,,,,,,,1,1,,,,,,,,,,,,,,,,0,,,
Dirk,vayra_dirk,,Kadur Theocracy,vayra_caliphflares,,300,25,500,,50,,,180,290,120,90,180,60,NONE,,,,,,,1,1,,,,,,,,,,,,,,,,0,,,
Phalanx,vayra_phalanx,,Kadur Theocracy,flarelauncher_single,,500,175,100,,10,,,225,400,350,110,220,30,NONE,,,,,,,1,1,,,,,,,,,,,,,,,,0,,,
Mamluk,vayra_mamluk,,Qamar Insurgency,,,300,50,300,,60,,,200,320,70,100,200,25,NONE,,,,,,,2,2,,,,,,,,,,,,,,,,0,,,
Neferi,vayra_neferi,,Kadur Theocracy,vayra_phaseshunt,,450,100,750,,100,,,500,600,250,50,100,35,NONE,,,,,,,1,1,,,,,,,,,,,,,,,,0,,,
Abid,vayra_abid,,Kadur Theocracy,,,600,100,200,,50,,,140,180,180,40,120,45,NONE,,,,,,,3,3,,,,,,,,,,,,,,,,0,,,
Veles,vayra_veles,,Kadur Theocracy,,,500,100,500,,100,,,180,250,200,60,120,40,NONE,,,,,,,2,2,,,,,,,,,,,,,,,,0,,,
Hoplite,vayra_hoplite,,Kadur Theocracy,vayra_caliphflares,,650,100,200,,75,,,200,360,320,100,200,120,NONE,,,,,,,1,1,,,,,,,,,,,,,,,,0,,,
Ghulam,vayra_ghulam,,Qamar Insurgency,flarelauncher_single,,550,225,300,,120,,,170,150,120,80,160,40,FRONT,,180,0,1,,,1,1,,,,,,,,,,,,,,,,0,,,
Arquebusier,vayra_arquebusier,,Kadur Theocracy,ammofeed,,600,50,600,,120,,,120,190,80,60,120,35,FRONT,,180,0,1,,,2,2,,,,,,,,,,,,,,,,0,,,
Immortal,vayra_immortal,,Theocracy Loyalist,flarelauncher_fighter,,950,200,500,,100,,,135,300,300,120,240,120,OMNI,,130,0,1,,,4,4,,,,,,,,,,,,,,,,0.2,2,2,
Myrmidon,vayra_myrmidon,,Kadur Theocracy,vayra_caliphflares,,1200,200,400,,50,,,120,160,30,50,100,150,NONE,,,,,,,5,5,,,,,,,,,,,,,,,,0.2,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phalanx (M),vayra_phalanx_m,,Mayasuran,flarelauncher_single,,650,100,200,,75,,,225,400,350,110,220,30,NONE,,,,,,,1,1,,,,,,,,,,,,,,,,0,,,
Hoplite (M),vayra_hoplite_m,,Mayasuran,vayra_caliphflares,,650,100,200,,75,,,200,360,320,100,200,120,OMNI,,130,0,1,,,1,1,,,,,,,,,,,,,,,,0,,,
Harpoon Drone,vayra_pirate_harpoondrone,,Pirate,,,400,150,150,,100,,,175,75,75,45,90,50,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,0,,,108
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mendicant,vayra_mendicant,Shuttle,Kadur Theocracy,vayra_caliphflares,3,1000,150,1200,,100,25,,140,100,80,45,90,200,OMNI,,130,0.6,1,,,1,35,45,35,0.5,,9,2500,5,20,180,0.25,2,2,"LINER, FREIGHTER, TANKER","kadur, kadur_support_bp",,0.2,2,2,
Hyena,vayra_hyena,Light Frigate,Kadur Theocracy,vayra_caliphflares,4,1500,200,950,,150,38,,180,140,140,140,120,300,FRONT,,180,0.75,1.2,,,15,25,20,15,0.5,,10,7500,5,10,240,0.25,3,3,,"kadur, kadur_support_bp, kadur_warship_bp",,0.4,2,2,
Buzzard,vayra_buzzard,Frigate,Kadur Theocracy,vayra_fluxoverdrive,5,1750,250,2000,,140,40,,100,90,80,50,60,350,OMNI,,130,0.6,1,,,25,40,30,60,1,,10,12000,8,10,240,0.25,5,5,,"kadur, kadur_warship_bp",,0.4,2,2,
Camel,vayra_camel,Heavy Frigate,Kadur Theocracy,vayra_fluxoverdrive,6,2500,300,2200,,175,60,,110,75,80,50,40,450,FRONT,,180,0.75,1.2,,,30,45,60,90,1.5,,10,18000,8,10,240,0.25,6,6,,"kadur, kadur_warship_bp",,0.5,2,3,
Dolphin,vayra_dolphin,Combat Tug,Kadur Theocracy,vayra_ramjets,4,2750,600,1500,,50,35,,100,600,40,75,100,500,NONE,,,,,,,5,10,50,40,8,,9,14000,10,20,360,0.25,5,5,,"kadur, kadur_support_bp",0.75,0.25,2,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falchion,vayra_falchion,Light Destroyer,Kadur Theocracy,vayra_ramjets,8,4000,450,4000,,200,90,,110,80,60,50,40,600,FRONT,,180,0.75,1.2,,,40,80,90,60,2,,10,30000,5,12,360,0.25,8,8,,"kadur, kadur_warship_bp",,0.4,2,3,
Archimandrite,vayra_archimandrite,Destroyer,Kadur Theocracy,vayra_fluxoverdrive,10,4000,500,4250,,225,90,,70,60,40,40,30,675,FRONT,,180,0.75,1.2,,,50,90,90,60,2,,9,45000,5,12,360,0.25,9,9,,"kadur, kadur_warship_bp",,0.4,2,3,
Targe,vayra_targe,Heavy Destroyer,Kadur Theocracy,vayra_weaponsdrive,11,5000,650,5000,,250,90,,60,40,20,20,20,750,OMNI,,130,0.6,1,,,60,100,90,60,2,,9,50000,5,12,420,0.25,10,10,,"kadur, kadur_warship_bp",,0.4,2,3,
Sunbird,vayra_sunbird,Missile Destroyer,Kadur Theocracy,vayra_unlimitedmissileworks,9,3000,350,3000,,150,75,1,75,70,45,35,30,500,FRONT,,180,0.75,1.2,,,35,70,75,60,2,,9,60000,5,15,300,0.25,11,11,,"kadur, kadur_support_bp",,0.4,2,3,
Shirdal,vayra_shirdal,Light Carrier,Kadur Theocracy,targetingfeed,11,4000,500,2500,,200,75,2,85,50,30,30,20,675,OMNI,,130,0.6,1,,,90,150,60,60,2,,9,40000,5,12,360,0.25,12,12,CARRIER,"kadur, kadur_support_bp",,0.4,2,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sirocco,vayra_sirocco,Supply Ship,Kadur Theocracy,vayra_caliphflares,10,5000,500,2500,,150,60,,50,30,25,20,20,1400,FRONT,,180,0.75,1.2,,,30,100,400,370,2,,8,60000,5,15,420,0.25,10,10,"CIVILIAN, FREIGHTER, TANKER","kadur, kadur_support_bp",,0.6,2,4,
Rukh,vayra_rukh,Fast Carrier,Kadur Theocracy,vayra_martyrchannel,14,6500,800,6000,,300,115,3,80,80,60,40,40,1600,FRONT,,180,0.75,1.2,,,200,300,100,120,4,,8,120000,4,12,420,0.25,20,20,CARRIER,"kadur, kadur_support_bp",,0.5,2,4,
Golden Eagle,vayra_golden_eagle,Cruiser,Kadur Theocracy,vayra_fluxoverdrive,15,8500,900,10000,,450,175,,50,30,20,15,20,2000,FRONT,,180,0.75,1.2,,,180,270,150,120,4,,8,140000,4,12,480,0.25,24,24,,"kadur, kadur_warship_bp",0.5,0.5,2,4,
Golem,vayra_golem,Heavy Cruiser,Kadur Theocracy,vayra_weaponsdrive,15,10000,1100,6500,,400,155,,25,20,20,12,12,2500,OMNI,,130,0.6,1,,,240,360,200,150,5,,8,125000,4,12,540,0.25,26,26,,"kadur, kadur_warship_bp",,0.4,2,4,
Sphinx,vayra_sphinx,Heavy Cruiser,Kadur Theocracy,vayra_ramjets,20,9500,1000,11000,,500,200,,35,20,20,12,15,2600,FRONT,,180,0.75,1.2,,,240,360,150,150,5,,8,180000,4,12,540,0.25,30,30,,"kadur, kadur_warship_bp",,0.4,2,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ziz,vayra_ziz,Battlecruiser,Kadur Theocracy,vayra_fluxoverdrive,25,10000,1000,12000,,900,270,,40,50,50,8,12,3500,FRONT,,180,0.75,1.2,,,400,800,200,400,10,,8,300000,3,15,600,0.25,40,40,,"kadur, kadur_capital_bp",,0.4,2,5,
Seraph,vayra_seraph,Battlecarrier,Kadur Theocracy,vayra_massfield,28,12000,1200,12000,,550,280,4,50,15,15,6,6,4200,OMNI,,130,0.6,1,,,550,1200,300,420,15,,8,375000,3,15,600,0.25,45,45,"CARRIER, COMBAT","kadur, kadur_capital_bp",,0.4,2,5,
Prophet,vayra_prophet,Battleship,Kadur Theocracy,vayra_ramjets,30,20000,1600,18000,,1000,330,,20,20,10,5,5,5000,OMNI,,130,0.6,1,,,800,1600,300,420,15,,7,450000,3,15,720,0.25,50,50,,"kadur, kadur_capital_bp",,0.4,2,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caliph,vayra_caliph,Superdreadnought,Theocracy Loyalist,vayra_caliphjets,100,25000,1200,25000,,400,205,,20,5,4,0.1,0.1,5500,NONE,,,,,,,2500,7500,4000,3000,60,,6,1500000,2,10,1200,0.25,100,100,"SHIP_WITH_MODULES, HIDE_IN_CODEX",no_bp_drop,,0,2,8,
,vayra_caliph_leftfront,Portside Bow Citadel,Theocracy Loyalist,fastmissileracks,1,17500,2000,15000,,750,110,,0,0,0,0,0,2000,NONE,,,,,,,0,0,0,0,1,,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0,2,4,
