wisp_magicAchievementsVanillaPack_revisionist,"Revisionist","Un-lost a battle.",,org.wisp.magicachievements.RevisionistAchievement,,VISIBLE,COMMON
wisp_magicAchievementsVanillaPack_builtins,"Pristine Condition","Built in 20 hullmods.",,org.wisp.magicachievements.BuiltInsAchievement,,VISIBLE,COMMON
wisp_magicAchievementsVanillaPack_abandoned,"Going Out For Milk","Abandoned a colony.",,org.wisp.magicachievements.AbandonedAchievement,,VISIBLE,COMMON
wisp_magicAchievementsVanillaPack_omegaLost,"Tapped Out","Lost to <ultra redacted>.",,org.wisp.magicachievements.OmegaLostAchievement,,SPOILER,COMMON
wisp_magicAchievementsVanillaPack_safetiesOff,"Safeties Off","Deployed 10 ships with Safety Overrides in a battle.",,org.wisp.magicachievements.SafetiesOffAchievement,,VISIBLE,UNCOMMON
# Bounty result isn't public, implementation would be too annoying, would need to copy/paste the bounty code.
# bounties,"Blood Money","Completed 10 person bounties.",,org.wisp.magicachievements.BountiesAchievement,,VISIBLE,COMMON

# Uncommon
wisp_magicAchievementsVanillaPack_meanttodothat,"You're Coming With Me","Destroyed an enemy ship with your own ship's explosion.",,org.wisp.magicachievements.MeantToDoThatAchievement,,VISIBLE,UNCOMMON
wisp_magicAchievementsVanillaPack_inspection,"I Don't Think So","Defeated an inspection fleet.",,org.wisp.magicachievements.InspectionAchievement,,VISIBLE,UNCOMMON
wisp_magicAchievementsVanillaPack_aicore,"I'm Sorry, Dave","Had a colony AI Core go rogue.",,org.wisp.magicachievements.AICoreAchievement,,VISIBLE,UNCOMMON
wisp_magicAchievementsVanillaPack_gatetravel,"Big Hop","Traveled 60 LY in a single jump.",,org.wisp.magicachievements.GateTravelAchievement,,VISIBLE,UNCOMMON
wisp_magicAchievementsVanillaPack_neural,"Assuming Direct Control","Used Neural Link to control an automated ship.",,org.wisp.magicachievements.NeuralAchievement,,VISIBLE,UNCOMMON
wisp_magicAchievementsVanillaPack_satbombeverybody,"And Over The Ashes","Saturation bombed all vanilla faction homeworlds.",,org.wisp.magicachievements.SatBombEverybodyAchievement,,VISIBLE,UNCOMMON
wisp_magicAchievementsVanillaPack_distresscallreversal,"Call An Ambulance, But Not For Me","Turn around a bogus distress call.",,org.wisp.magicachievements.DistressCallReversalAchievement,,VISIBLE,UNCOMMON
wisp_magicAchievementsVanillaPack_safetiesOff,"Safeties Off","Fielded 10 ships with Safety Overrides simultaneously in a battle.",,org.wisp.magicachievements.SafetiesOffAchievement,,VISIBLE,UNCOMMON
wisp_magicAchievementsVanillaPack_fighterBays,"Not The Bees!","Fielded 30 Fighter Bays simultaneously in a battle.",,org.wisp.magicachievements.FighterBaysAchievement,,VISIBLE,UNCOMMON
wisp_magicAchievementsVanillaPack_sebestyen,"BFFs","Reached 100 reputation with Sebestyen.",,org.wisp.magicachievements.SebestyenAchievement,,VISIBLE,UNCOMMON
### Adept series
wisp_magicAchievementsVanillaPack_conquest1,"Conquest Adept","Destroy enemies using the Conquest.",,org.wisp.magicachievements.ConquestKillsAchievement,,VISIBLE,UNCOMMON
wisp_magicAchievementsVanillaPack_champion1,"Champion Adept","Destroy enemies using the Champion.",,org.wisp.magicachievements.ChampionKillsAchievement,,VISIBLE,UNCOMMON
wisp_magicAchievementsVanillaPack_eagle1,"Eagle Adept","Destroy enemies using the Eagle.",,org.wisp.magicachievements.EagleKillsAchievement,,VISIBLE,UNCOMMON
wisp_magicAchievementsVanillaPack_falcon1,"Falcon Adept","Destroy enemies using the Falcon.",,org.wisp.magicachievements.FalconKillsAchievement,,VISIBLE,UNCOMMON
wisp_magicAchievementsVanillaPack_hammerhead1,"Hammerhead Adept","Destroy enemies using the Hammerhead.",,org.wisp.magicachievements.HammerheadKillsAchievement,,VISIBLE,UNCOMMON
wisp_magicAchievementsVanillaPack_sunder1,"Sunder Adept","Destroy enemies using the Sunder.",,org.wisp.magicachievements.SunderKillsAchievement,,VISIBLE,UNCOMMON

# Rare
wisp_magicAchievementsVanillaPack_javaupgrade,"BIG DECIMAL","Upgraded the game's Java version.",,org.wisp.magicachievements.JavaUpgradeAchievement,,VISIBLE,RARE
wisp_magicAchievementsVanillaPack_paradise,"Paradise","Surveyed a planet with 75% hazard or better.",,org.wisp.magicachievements.ParadiseAchievement,,VISIBLE,RARE
wisp_magicAchievementsVanillaPack_noconditions,"Unconditional","Surveyed a planet with no conditions.",,org.wisp.magicachievements.NoConditionsAchievement,,VISIBLE,RARE
wisp_magicAchievementsVanillaPack_powerofthesun,"The Power Of The Sun, In The Palm Of My Hand","Gave one of your colonies extra sunlight.",,org.wisp.magicachievements.PowerOfTheSunAchievement,,VISIBLE,RARE
wisp_magicAchievementsVanillaPack_motes,"Who You Gonna Call?","Encountered eight different hyperspace ghosts.",,org.wisp.magicachievements.MotesAchievement,,VISIBLE,RARE
wisp_magicAchievementsVanillaPack_luckystart,"Lucky Start","Found a capital derelict within the first month.",,org.wisp.magicachievements.LuckyStartAchievement,,VISIBLE,RARE
wisp_magicAchievementsVanillaPack_duel,"Studied The Blade","Won the duel.",,org.wisp.magicachievements.DuelAchievement,,SPOILER,RARE
# Hard to do intentionally, let alone unintentionally, and hard to detect via code.
# oriondrive, "Cool Guys Don't Look At Explosions","Destroyed an enemy using the orion drive.",,org.wisp.magicachievements.OrionDriveAchievement,,false,VISIBLE,RARE

# Epic
wisp_magicAchievementsVanillaPack_fleetdoctrine,"What Is 'Fleet Doctrine'?","Deployed ships of (almost) every vanilla design type in a single battle.",,org.wisp.magicachievements.FleetDoctrineAchievement,,VISIBLE,EPIC
wisp_magicAchievementsVanillaPack_omegaLowDp,"I Am The Alpha","Defeated <ultra redacted> using a maximum of 80 deployment points.",,org.wisp.magicachievements.OmegaLowDpAchievement,,VISIBLE,EPIC
wisp_magicAchievementsVanillaPack_colonyitems,"Behold! My Stuff.","Installed every colony item.",,org.wisp.magicachievements.ColonyItemsAchievement,,VISIBLE,EPIC

# Legendary
