name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Pressure Gun,antediluvian_pressure_gun,1,,600,500,,50,,1,30,5,,,,FRAGMENTATION,10,,0,0.1,1,,6,12,1,5,,600,,,10,PD,"pd8, SR, antediluvian, no_bp_drop",,Antediluvian,,Point Defense,,,,,,,,,,1 Small Ballistic
Reflector Beam,antediluvian_reflector,2,,900,800,400,,,5,5,8,,,,KINETIC,,300,0.5,1,0.5,,,,,,2400,,,,,,"beam11, kinetic10, LR, antediluvian, no_bp_drop",,Antediluvian,,Suppression,,,,,,,,,,2 Small Energy
Deucalion-class Torpedo Launcher,antediluvian_torpedo_launcher,2,,1200,1200,,1000,,150,10,4,3,,,HIGH_EXPLOSIVE,0,,0,1,1,,,,,,,150,475,12,300,,"strike5, rocket3, antediluvian, no_bp_drop",,Antediluvian,,Strike,,,,,,,,,TRUE,3 Small Missile
Solon Blaster,antediluvian_solon_blaster,2,,2400,600,,200,,0,10,10,,,,ENERGY,260,,0,0.5,1,,,,,,,1000,,,,,"energy13, antediluvian, no_bp_drop",,Antediluvian,,Assault,,,,,,,,,,5 Medium Energy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precision Mortar,vayra_precision_mortar,3,0.3,800,800,,150,,10,30,8,,,,HIGH_EXPLOSIVE,100,,0,2,1,,0,0,0,0,,500,,,10,,"he8, LR, remnant, scavengers",,Recovered Tech,,Anti Armor,,,,,,,,,,1 Small Ballistic
Light Plasma Cutter,vayra_light_cutter,1,0.75,150,400,500,,,0,40,4,,,,HIGH_EXPLOSIVE,,700,0.1,1,1,4,,,,,1000,,,,,,"strike4, he4, SR, rare_bp, kadur_mining_bp, pirates",SR_strike_only,,,Strike,,,,,,,,,,2 Small Energy
Ion Scatterer,vayra_ion_scatterer,1,,500,400,,5,200,0,40,6,,,,ENERGY,12,,0.5,0,5,0.1,10,40,10,80,,800,,,,,"energy6, SR, hightech_bp",,,,Suppression,,,,,"Hits on hull or armor have a %s chance to arc to weapons and engines, dealing extra damage equal to the original hit.",25%,,,,2 Small Energy
Graviton Blaster,vayra_grav_blaster,2,,250,500,,100,,0,35,6,,,,KINETIC,120,,0,1,1,,,,,,,1600,,,,,"kinetic6, hightech_bp",,,,Suppression,,,,,,,,,,2 Small Energy
Phase Blaster,vayra_phase_blaster,2,,250,500,,200,,0,35,7,,,,ENERGY,280,,0,1,1,,,,,,,1600,,,,,"energy8, hightech_bp",,,,General,,,,,,,,,,2 Small Energy
Annihilator Rocket Rack,vayra_annihilator_rack,0,,50,1500,,200,,5,30,0,10,,,HIGH_EXPLOSIVE,0,,0,1,10,0.1,0,30,3,30,,400,50,3.75,50,,"rocket3, strike0, missile_bp",,,,Anti Armor,Fast,None,,,,,,,,3 Small Missile
Harvester-class Torpedo Rack,vayra_harvester_rack,1,,200,1200,,4000,,75,10,2,2,,,FRAGMENTATION,0,,0,1,1,,,,,,,400,100,3.5,500,STRIKE,"strike6, rocket2, missile_bp",,,,Torpedo,Fast,None,,,,,,,TRUE,3 Small Missile
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short-Circuit Driver,vayra_shortcircuit_driver,2,,1100,550,,175,400,20,10,10,,,,KINETIC,350,,0,2,1,,,,,,,500,,,300,,"kinetic11, sindrian_diktat, scavengers, independent, rare_bp, luddic_church, luddic_path",,,,Suppression,,,,,"Projects an EMP arc to the %s passing within %s of the projectile, including missiles.",first hostile entity | 100 su,,,,4 Medium Ballistic
Charged Particle Smartflak,vayra_smartflak,3,,4000,800,,75,,10,30,16,,,,ENERGY,60,,0,0.4,,,1,6,1,3,,800,,,30,"PD, PD_ALSO","energy12, pd12, LR, remnant, scavengers",,Recovered Tech,,Anti Small Craft (Area),,,,,Projectiles %s on their way to their target.,avoid allies,,,,4 Medium Ballistic
Degraded Particle Streamer,vayra_degraded_particle_beam,0,,750,600,900,,,200,7,7,,,,FRAGMENTATION,,500,0.25,0.5,1,4,,,,,69420,,,,,,"energy9, beam9, base_bp",,,,General,,,,,"Impacts with substantial force, potentially causing some small craft to spin out of control.",,,,,5 Medium Energy
LR Pulse Laser,vayra_degraded_pulselaser,0,,1000,800,,50,,0,15,7,,,,ENERGY,65,,0.33,0,,,,,,,,800,,,,,"energy9, rare_bp, pirates, scavengers, independent",,,,General,,,,,,,,,,5 Medium Energy
Heavy Plasma Cutter,vayra_heavy_cutter,1,,1500,400,1200,,,0,10,10,,,,HIGH_EXPLOSIVE,,1600,0.2,0.5,1,6,,,,,800,,,,,,"he10, strike9, SR, rare_bp, kadur_mining_bp, pirates, scavengers, derelict",SR_strike_only,,,Anti Armor,,,,,,,,,,5 Medium Energy
Medium Combat Laser,vayra_combat_laser,1,,1200,1000,150,,,0,25,10,,,,ENERGY,,150,0.1,0.1,,,,,,,4000,,,,,"PD, PD_ALSO","pd9, beam11, hightech_bp",,,,General,,,,,,,,,,5 Medium Energy
Corrosive Plasma Breeder,vayra_biorifle,2,,2500,900,,1000,,0,10,14,,,,ENERGY,1800,,1,8,1,,,,,,,250,,,,FIRE_WHEN_INEFFICIENT,"energy13, he10, kadur_mining_bp, scavengers, derelict",,Recovered Tech,,Suppression (Area),,,,,"Projectile %s into %s at maximum range or upon reaching its target, each of which deals %s damage. Direct impacts cause the projectile to %s, dealing its full damage to the target without scattering.",scatters | 7 lingering 'child' particles | 50% | destabilize prematurely,,,,5 Medium Energy
FAKE GES Bio-Rifle,vayra_biorifle_copy,2,,2500,900,,500,,0,10,14,,,,ENERGY,150,,0,1,1,,,,,,,120,,,,SYSTEM,,,,,,,,,,,,,,,ZZ Copy Projectile
Particle Streamer,vayra_particle_beam,3,0.75,3000,800,1500,,,400,10,12,,,,FRAGMENTATION,,800,0.25,0.5,1,4,,,,,69420,,,,,,"energy13, beam11, kadur_mining_bp, scavengers, derelict",,Recovered Tech,,General,,,,,"Impacts with substantial force, causing small craft to spin out of control.",,,,,5 Medium Energy
Hammer Pod,vayra_hammer_pod,0,,1200,1200,,1500,,30,10,10,8,,,HIGH_EXPLOSIVE,0,,0,8,2,0.25,,,,,,500,40,4,350,STRIKE,"strike12, rocket9, kadur_mining_bp, missile_bp, pirates, luddic_church, luddic_path",,,,Torpedo,Fast,None,,,,,,,TRUE,6 Medium Missile
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flux Conduits,vayra_typhon_glow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,YY Deco
Left Light Beam Sponson,vayra_groundhog_light_beam_left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,YY Deco
Left Heavy Beam Sponson,vayra_groundhog_heavy_beam_left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,YY Deco
Left Light Blaster Sponson,vayra_groundhog_light_proj_left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,YY Deco
Left Heavy Blaster Sponson,vayra_groundhog_heavy_proj_left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,YY Deco
Right Light Beam Sponson,vayra_groundhog_light_beam_right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,YY Deco
Right Heavy Beam Sponson,vayra_groundhog_heavy_beam_right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,YY Deco
Right Light Blaster Sponson,vayra_groundhog_light_proj_right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,YY Deco
Right Heavy Blaster Sponson,vayra_groundhog_heavy_proj_right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,YY Deco
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bearclaw Gigablaster,vayra_bearclaw,3,,0,800,,700,,0,7,,,,,ENERGY,700,,0.75,4.5,3,0.17,0,30,15,30,,1200,,,,"SYSTEM, SHOW_IN_CODEX","no_drop, no_drop_salvage",,Recovered Tech,,General,,,,,,,,,,ZZ BuiltinOrFighter
Ionized Plasma Projector,vayra_prospector_drill,1,,0,800,685,,685,0,5,,,,,HIGH_EXPLOSIVE,,685,0.1,0.15,0.5,0.5,,,,,4800,,,,,"SYSTEM, SHOW_IN_CODEX","no_drop, no_drop_salvage",,Recovered Tech,,Anti Armor,,,,,"Hits on hull or armor arc to weapons and engines, dealing extra EMP and energy damage.",,,,,ZZ BuiltinOrFighter
Looted Thermal Pulse Cannon,vayra_looted_tpc,0,,0,900,,200,,0,10,20,10,0.5,1,ENERGY,170,,0,0.2,1,,4,28,4,4,,600,,,,SYSTEM,"no_drop, no_drop_salvage",TPC_only,XIV Battlegroup,,General,,,,,,,,,,ZZ BuiltinOrFighter
Hammer Carrier Kamikaze Wing,vayra_hammer_carrier_p_launcher,0,,0,2000,,1500,,50,10,,2,0.1,2,HIGH_EXPLOSIVE,0,,0,0.44,1,,,,,,,125,125,180,600,"SYSTEM, SHOW_IN_CODEX","no_drop, no_drop_salvage",,Pirate,,Drone,Slow,Good,,,,,,,TRUE,ZZ BuiltinOrFighter
Light Tactical Laser,vayra_lighttac,1,,0,1000,40,,,0,30,,,,,ENERGY,,60,0.1,0.1,,,,,,,4800,,,,,"PD_ALSO, SYSTEM, SHOW_IN_CODEX","beam6, LR, no_drop, no_drop_salvage",,,,General,,,,,Will target missiles if no other targets are in range.,,,,,ZZ BuiltinOrFighter
LR Mining Laser,vayra_lr_mining_laser,0,,0,1000,30,,,0,30,2,,,,ENERGY,,30,0.25,0.25,,,,,,,4800,,,,,"PD, SYSTEM, SHOW_IN_CODEX","beam0, energy0, pd0, no_drop, no_drop_salvage",,,,Point Defense,,,,,,,,,,ZZ BuiltinOrFighter
Mining Lance,vayra_mining_lance,0,,0,400,300,,,0,80,2,,,,ENERGY,,300,0.1,0.1,0.3,2,,,,,69420,,,,,"PD, SYSTEM, SHOW_IN_CODEX","beam0, energy0, pd0, no_drop, no_drop_salvage",,,,Point Defense,,,,,,,,,,ZZ BuiltinOrFighter
Thermal Pulse Lance,vayra_thermal_lance_builtin,1,,0,600,1000,,,0,10,,3,0.2,1,HIGH_EXPLOSIVE,,1000,0.15,0.3,0.4,0.7,,,,,3200,,,,,"SYSTEM, SHOW_IN_CODEX","no_drop, no_drop_salvage",,,,Strike,,,,,,,,,,ZZ BuiltinOrFighter
Squall Rocket (Single),vayra_squall_fighter,2,,0,600,,250,100,15,20,,1,0.1,1,KINETIC,0,,0,1,1,,,,,,,600,100,4.75,300,"SYSTEM, DO_NOT_AIM, DO_NOT_CONSERVE, STRIKE, USE_VS_FRIGATES","no_drop, no_drop_salvage",,,,Suppression,Very Fast,Special,,,Unguided after a brief initial aiming stage.,,,,,ZZ BuiltinOrFighter
Stinger-class Mine Teleporter,vayra_fragmine,0,,0,750,,500,,10,30,,20,0.2,,FRAGMENTATION,0,,0,1,1,,,,,,,50,20,7,150,"SYSTEM, ANTI_FTR","no_drop, no_drop_salvage",,,,,,,,,,,,,TRUE,ZZ BuiltinOrFighter
LR Mining Lance Array,vayra_not_guardian,3,,0,1000,1000,,,0,90,,20,1,,ENERGY,,1200,0,0,0.2,0.1,,,,,1000000,,,,,"SYSTEM, PD, ANTI_FTR","no_drop, no_drop_salvage",,Recovered Tech,,Point Defense,,,,,,,,,,ZZ BuiltinOrFighter
# KADUR-specific crap below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# SMOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hauberk Light CIWS,vayra_hauberk_ciws,0,,75,400,,5,,1,120,1,,,,FRAGMENTATION,1,,0,0.05,,,0,8,1,25,,1600,,,1,PD,"kadur, pd0, kadur_rail_bp",,Kadur Theocracy,,Point Defense,,,,,,,,,,1 Small Ballistic
Sling ADS Pod,vayra_sling,0,,125,400,,50,,5,120,4,8,6,12,FRAGMENTATION,0,,0,0.2,4,0.1,0,12,1.5,24,,800,600,0.5,25,"PD, PD_ONLY, DO_NOT_CONSERVE","kadur, pd0, rocket0, kadur_missile_bp",,Kadur Theocracy,,Point Defense,,,,,"%s system requires %s for use as an anti-fighter or anti-ship weapon. Always %s, even with %s.",Dedicated anti-missile targeting | manual override | reloads fully | Expanded Magazines,,,TRUE,1 Small Ballistic
Jezail Flechette Driver,vayra_light_flechette,0,,200,900,,65,15,10,20,4,,,,KINETIC,50,,0.2,1,,,0,10,1.5,10,,1700,,,50,,"kadur, kinetic6, LR, kadur_rail_bp",,Kadur Theocracy,,Anti Shield,,,,,,,,,,1 Small Ballistic
Light Chemrail,vayra_light_chemrail,0,,150,700,,175,,5,45,5,,,,FRAGMENTATION,60,,0,0.666,,,1,6,1,10,,1800,,,30,,"kadur, he5, energy8, kadur_rail_bp",,Kadur Theocracy,,General,,,,,,,,,,1 Small Ballistic
Rotary Microfission Driver,vayra_light_ciws_beam,2,,250,350,200,,100,25,100,5,,,,HIGH_EXPLOSIVE,,160,0.111,0,1,1.444,,,,,3000,,,,,,"kadur, he6, SR, kadur_fission_bp",,Kadur Theocracy,,Anti Armor,,,,,"Impacts with substantial force, potentially causing some small craft to spin out of control. Deals only %s damage to shields.",soft flux,,,,1 Small Ballistic
Volley Driver,vayra_volley_gun,1,,300,450,,30,,3,50,6,,,,KINETIC,15,,0.5,0,8,0.05,0,10,1,40,,1600,,,10,,"kadur, kinetic6, SR, kadur_rail_bp",,Kadur Theocracy,,Anti Shield,,,,,,,,,,1 Small Ballistic
Frag Splintergun,vayra_frag_scatter,2,,750,350,,40,,10,80,7,,,,FRAGMENTATION,20,,0,0.5,8,0.1,0,24,4,48,,1000,,,30,PD,"kadur, pd9, SR, kadur_fission_bp",,Kadur Theocracy,,Point Defense (Area),,,,,,,,,,1 Small Ballistic
Burst Fission CIWS,vayra_burst_ciws,2,,750,450,,50,,5,100,7,18,3,6,HIGH_EXPLOSIVE,20,,0,0.8,6,0.05,0,8,0.5,4,,1000,,,25,"PD, DO_NOT_CONSERVE","kadur, pd8, he9, SR, kadur_fission_bp",,Kadur Theocracy,,Point Defense,,,,,,,,,,1 Small Ballistic
Crystalline Splinter Torpedo,vayra_splintermirv,2,0.75,400,1200,,840,,70,10,2,1,,,HIGH_EXPLOSIVE,0,,0,5,,,,,,,,400,150,3.5,300,"GUIDED_POOR, STRIKE","kadur, strike9, missile2, kadur_missile_bp",,Kadur Theocracy,,Torpedo,Fast,Good,,,"Charged crystalline projectiles deal %s damage on initial impact, then lodge in target on direct hits to hull or armor to deal an additional %s %s damage after a short delay. Each multiple of %s projectiles lodged in the target further increases secondary damage, albeit with diminishing returns.",Energy | 50% | High Explosive | 7,,,TRUE,3 Small Missile
Jezebel-class Spike Torpedo,vayra_spike_torpedo_small,1,,500,1500,,1200,400,300,30,2,1,,,KINETIC,0,,0,5,,,,,,,,350,100,5.5,1000,STRIKE,"kadur, strike8, rocket3, kadur_missile_bp",,Kadur Theocracy,,Torpedo,Very Fast,None,,,"Sheds up to %s pieces of capacitive chaff as torpedo takes damage, decoying enemy missiles and point defense. Creates arcs from pieces of chaff within %s upon striking a target, dealing %s EMP and energy damage each.",12 | 500 su | 400,Imparts significant force upon striking a target.,,,3 Small Missile
Janissary SSRM-4,vayra_srm_4,0,,300,1000,,60,,15,80,4,4,0.8,4,HIGH_EXPLOSIVE,0,,0,4,4,0.2,,,,,,500,50,7,50,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE, GROUP_LINKED","kadur, utility7, missile5, kadur_missile_bp",,Kadur Theocracy,,Anti Small Craft,Fast,Good,,,,,,,,3 Small Missile
Jericho LRM-2,vayra_jericho_sml,0,,450,6000,,200,,25,10,4,10,0.066666667,2,HIGH_EXPLOSIVE,0,,0,15,2,0.4,,,,,,450,50,13,50,"DO_NOT_AIM, DO_NOT_CONSERVE","kadur, utility8, missile4, kadur_missile_bp",,Kadur Theocracy,,Long Range Support,Fast,Poor,,,,,,,,3 Small Missile
Jamadhar MRT Rack,vayra_jamadhar_rack,1,,500,3000,,900,,15,45,4,3,,,HIGH_EXPLOSIVE,0,,0,1,,,,,,,,250,150,20,100,DO_NOT_AIM,"kadur, missile8, strike3, kadur_missile_bp",,Kadur Theocracy,,Finisher,Slow,Good,,,,,,,TRUE,3 Small Missile
Jerboa Microspike Launcher,vayra_lightspike_pod,1,,200,1200,,150,200,90,30,4,20,,,KINETIC,0,,0,8,4,0.1,,,,,,1000,1000,1.666,200,CONSERVE_1,"kadur, rocket7, kinetic2, kadur_missile_bp",,Kadur Theocracy,,Anti Shield,Very Fast,Poor,,,"Hits on hull or armor arc to weapons and engines, dealing extra %s damage equal to the original hit.",EMP,,,,3 Small Missile
Impulse PD Oscillator,vayra_microimpulsor,3,0.25,500,400,200,,,25,180,6,,,,FRAGMENTATION,,100,0,0,,,,,,,69420,,,,,"PD, PD_ONLY, ANTI_FTR","kadur_qamar, pd7, SR",,Qamar Insurgency,,Point Defense,,,,,"Impacts with substantial force, potentially causing some small craft to spin out of control. %s system requires %s for use as an anti-ship weapon.",Dedicated anti-missile and anti-fighter targeting | manual override,,,,2 Small Energy
Cycled Ion Pulseblaster,vayra_ioncycler,3,0.25,800,450,,65,200,0,45,9,15,3,3,ENERGY,85,,0.05,0.1,,,1,15,2,4,,1000,,,,,"kadur_qamar, energy11, SR",,Qamar Insurgency,,Suppression,,,,,"Hits on hull or armor have a %s chance to arc to weapons and engines, dealing extra damage equal to the original hit.",25%,,,,2 Small Energy
,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# MEDIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemical Rail Cannon,vayra_med_chemrail,0,,900,900,,175,,30,60,9,,,,FRAGMENTATION,60,,0,0.333,,,2,8,1,10,,1800,,,30,,"kadur, kinetic8, he9, energy10, kadur_rail_bp",,Kadur Theocracy,,General,,,,,,,,,,4 Medium Ballistic
Multirail Assault Splintergun,vayra_multirail,2,,1000,700,,200,,20,60,10,40,2.5,10,FRAGMENTATION,80,,0.33,2,20,0.05,0,25,2.5,15,,3000,,,30,DO_NOT_CONSERVE,"kadur, he13, kadur_fission_bp",,Kadur Theocracy,,Anti Small Craft (Area),,,,,"Projectiles explode on close contact or at a semi-random distance from the weapon, resulting in a barrage that's increasingly more deadly at closer ranges.",,,,,4 Medium Ballistic
Capacitive Canister Gun,vayra_canister_gun,2,,1250,500,,400,400,300,90,11,,,,KINETIC,400,,0,1.333,,,1,5,1,10,,500,,,100,,"kadur, kinetic12, kadur_rail_bp",,Kadur Theocracy,,Anti Shield (Area),,,,,"Splits into %s high-velocity submunitions, each dealing %s kinetic and EMP damage.",8 | 75,"Direct canister impacts on hull or armor spawn %s arcs to weapons and engines, which deal an extra %s EMP damage each.",2 | 400,,4 Medium Ballistic
Heavy Jezail Battery,vayra_sabot_battery,1,,2000,1200,,150,40,55,5,12,,,,KINETIC,200,,0.2,0.63,,,0,20,2.5,10,,2000,,,85,,"kadur, kinetic13, LR, kadur_rail_bp",,Kadur Theocracy,,Anti Shield,,,,,,,,,,4 Medium Ballistic
Fission Strike Rifle,vayra_strikecannon,1,,1500,500,,400,400,200,25,12,2,0.3333,1,HIGH_EXPLOSIVE,500,,0.2,0.1,6,1,0,10,10,20,,800,,,65,DO_NOT_CONSERVE,"kadur, he15, strike10, SR, kadur_fission_bp",,Kadur Theocracy,,Anti Armor,,,,,"Can be fired in rapid ""%s"" semiautomatic burst.",double-tap,,,,4 Medium Ballistic
Fission Howitzer,vayra_ercannon,2,,2500,900,,400,400,200,10,14,,,,HIGH_EXPLOSIVE,600,,0.2,3.8,,,2,8,3,3,,500,,,65,,"kadur, he16, strike8, LR, kadur_fission_bp",,Kadur Theocracy,,Anti Armor,,,,,,,,,,4 Medium Ballistic
Dual Microfission CIWS,vayra_dual_ciws_beam,2,,2000,450,400,,200,50,120,13,,,,HIGH_EXPLOSIVE,,320,0.222,0,,,,,,,3000,,,,,PD,"kadur, he15, pd15, SR, kadur_fission_bp",,Kadur Theocracy,,Point Defense,,,,,"Impacts with substantial force, potentially causing some small craft to spin out of control. Deals only %s damage to shields.",soft flux,,,,4 Medium Ballistic
Gyrojet Driver,vayra_rocket_gun,3,0.75,2500,1400,,200,,5,10,14,,,,KINETIC,280,,0.3,3.6,3,0.2,4,12,4,8,,3000,200,3,100,,"kadur, rocket14, kinetic14, LR, kadur_missile_bp",,Kadur Theocracy,,Anti Shield,Very Fast,None,,Poor,,,,,,4 Medium Ballistic
Crystal Resonance Splintergun,vayra_splintergun,3,0.75,3000,725,,60,,5,20,15,14,2,7,HIGH_EXPLOSIVE,120,,0.5,0,7,0.12,,,,,,500,500,2,200,GUIDED_POOR,"kadur, he16, kadur_fission_bp",,Kadur Theocracy,,Anti Armor,Slow,Poor,,,"Charged crystalline projectiles deal %s damage on initial impact, then lodge in target on direct hits to hull or armor to deal an additional %s %s damage after a short delay. Each multiple of %s projectiles lodged in the target further increases secondary damage, albeit with diminishing returns.",Energy | 50% | High Explosive | 7,,,,4 Medium Ballistic
Capacitive Rod Launcher,vayra_rod_launcher,3,0.75,3000,900,,600,800,300,35,16,,,,KINETIC,1000,,0,6.66,,,0,20,20,40,,1200,1200,0.75,1000,"DO_NOT_CONSERVE, STRIKE, USE_VS_FRIGATES","kadur, kinetic14, strike6, LR, kadur_rail_bp",,Kadur Theocracy,,Anti Shield,Very Fast,None,,,"Charged rod projectile will create %s EMP arc to each hostile target passing within %s, dealing %s energy and %s EMP damage.",1 | 100 su | 100 | 400,Imparts %s force and creates damaging arcs from nearby capacitive chaff upon striking a target.,significant,,4 Medium Ballistic
Jericho LRM-4,vayra_jericho_med,0,,1000,6000,,200,,25,10,8,20,0.16,4,HIGH_EXPLOSIVE,0,,0,10,4,0.3,,,,,,450,50,13,50,"DO_NOT_AIM, DO_NOT_CONSERVE","kadur, utility13, missile7, kadur_missile_bp",,Kadur Theocracy,,Long Range Support,Fast,Poor,,,,,,,,6 Medium Missile
Jamadhar MRT Pod,vayra_jamadhar_pod,2,,1500,3000,,900,,15,30,10,12,,,HIGH_EXPLOSIVE,0,,0,8,3,0.25,,,,,,250,150,20,100,DO_NOT_AIM,"kadur, missile13, strike9, kadur_missile_bp",,Kadur Theocracy,,Finisher,Slow,Good,,,,,,,TRUE,6 Medium Missile
Jacana Spike Pod,vayra_spike_pod,1,,2000,2000,,500,400,240,30,12,20,,,KINETIC,0,,0,5,2,0.3,,,,,,500,50,5,100,"STRIKE, USE_VS_FRIGATES, GUIDED_POOR","kadur, strike10, missile8, kinetic7, kadur_missile_bp",,Kadur Theocracy,,Anti Shield,Very Fast,Poor,,,"Fires a high-speed %s upon closing with its target. Hits on hull or armor arc to weapons and engines, dealing extra %s damage equal to the original hit.",second stage | EMP,,,TRUE,6 Medium Missile
Joshua AA-MMLS,vayra_aam_med,1,,2000,1000,,60,,5,80,12,,,,FRAGMENTATION,0,,0,10,16,0.05,5,15,5,30,,700,200,4,30,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE","kadur, utility14, missile6, kadur_missile_bp",,Kadur Theocracy,,Anti Small Craft,Very Fast,Excellent,,,Hits to strike craft hull or armor deal additional %s damage equal to the original hit.,high explosive,,,,6 Medium Missile
Jaya VLRMS-3,vayra_vlrms_med,2,,2500,10000,,500,,25,10,12,30,0.12,3,HIGH_EXPLOSIVE,0,,0,15,3,0.25,,,,,,140,200,75,150,"DO_NOT_AIM, CONSERVE_1","kadur, utility15, missile8, kadur_missile_bp",,Kadur Theocracy,,Long Range Support,Very Slow,Poor,,,"Fires a high-speed %s upon nearing its target, then splits into %s submunitions each dealing %s high explosive damage on final approach.",second stage | 5 | 100,,,,6 Medium Missile
