name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Star Sylph,istl_starsylph,Combat Courier,SNRI Labs,istl_mirage_sm,8,1500,150,2400,3000,200,50,,180,150,105,75,145,210,OMNI,,120,0.3,0.9,,,15,20,60,40,1,40,11,45000,10,15,210,0.2,8,8,,,,,,,,"rare_bp, no_drop, no_dealer, istl_snri2t",0.25,0.3,2,2,,403
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Destroyers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d'Erlon,istl_leyte,Escort Carrier,Dassault-Mikoyan,istl_precision,9,3600,250,3000,2905,180,65,2,80,75,40,25,20,480,OMNI,,120,0.4,0.8,,,90,120,60,60,2,60,9,42000,5,10,360,0.25,12,10,,,,,,,CARRIER,"dmecore_bp, dmeadv_bp",,0.3,2,3,,500
Tunguska,istl_tunguska,Gun Destroyer,Dassault-Mikoyan,istl_pulsejets,9,3600,400,7200,8333,360,95,,85,75,70,30,45,350,FRONT,,300,0.2,1,,,45,50,75,40,2,40,9,56000,5,15,300,0.2,12,12,,,,,,,,"dmecore_bp, dmeadv_bp",,0.3,2,4,,505
Wanderer,istl_wanderer,Combat Clipper,Dassault-Mikoyan,istl_hyperfocus,10,6000,500,6800,4350,400,100,,90,60,40,30,45,480,OMNI,,120,0.4,0.8,,,50,90,135,80,2,75,9,60000,8,10,360,0.2,10,10,,,,,,,,dmeadv_bp,,0.3,2,3,,502
Tereshkova,istl_tereshkova,Explorer,Dassault-Mikoyan,istl_heavyburn,12,5600,750,7200,4350,320,80,,75,60,40,25,30,520,PHASE,istl_damper,0,0,0,,,50,120,200,180,2,120,9,64000,8,10,420,0.25,12,12,,,,,,,,"dmecivil_bp, special_allows_system_use, system_allows_special_use",,0.3,2,3,,504
Maskirovka,istl_maskirovka,Phase Destroyer,Dassault-Mikoyan,istl_mine_strike,15,3000,600,5000,10000,540,90,,95,75,50,45,60,400,PHASE,istl_DMEphasecloak,,,,0.05,0.05,25,50,60,100,2,50,9,168000,5,20,300,0.25,20,20,,,,,,,PHASE,rare_bp,,0.5,2,3,,314
Snow Goose,istl_snowgoose,Fast Attack Ship,SNRI Labs,istl_mirage,20,5400,350,8400,4000,420,95,,145,180,100,60,75,320,FRONT,,270,0.2,1,,,35,40,40,40,2,20,10,184000,10,20,270,0.2,20,20,,,,,,,,"rare_bp, no_drop, no_dealer, restricted, istl_snri_goose",0.1,0.3,2,3,,503
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Cruisers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normandie,istl_mindanao,Command Carrier,Dassault-Mikoyan,istl_strikecommand,18,6000,750,7200,6000,300,110,4,70,50,30,15,20,1200,OMNI,,150,0.4,0.8,,,150,250,80,100,3,80,8,144000,4,15,420,0.25,25,25,,,,,,,CARRIER,"dmeadv_bp, no_dealer",,0.3,2,4,,600
Baikal,istl_baikal,Universal Cruiser,Dassault-Mikoyan,istl_jetinjector,16,10600,1200,12000,10000,480,140,,45,35,27,28,25,1500,OMNI,,150,0.4,1,,,160,320,300,180,4,120,8,152000,4,15,480,0.25,25,25,,,,,,,,"dmecore_bp, dmeadv_bp",,0.25,2,4,,601
Baikal (Brone),istl_baikal_brone,Universal Cruiser,Dassault-Mikoyan,istl_ramdrive,28,10600,1200,11000,10000,400,145,,40,30,24,21,18,1500,FRONT,,120,0.4,1.2,,,180,320,250,160,4,100,7,184000,3,20,480,0.25,28,28,,,,,,,"SHIP_WITH_MODULES, HIDE_IN_CODEX","rare_bp, no_dealer",,0.2,2,3,,601
Kormoran,istl_kormoran,Guard-Cruiser,Dassault-Mikoyan,istl_pulsejets,16,8000,900,13200,12000,600,180,,70,60,50,30,30,1800,OMNI,,120,0.4,1,,,100,200,100,90,3,90,8,192000,4,20,480,0.25,30,30,,,,,,,,rare_bp,,0.3,2,4,,602
Tonnerre,istl_tonnerre,Missile Cruiser,Dassault-Mikoyan,forgevats,14,8000,1000,6000,4000,240,120,,60,60,40,20,27,1200,FRONT,,270,0.6,1,,,125,200,90,60,3,60,8,136000,3,12,480,0.25,20,20,,,,,,,,"dmeadv_bp, no_dealer",,0.5,2,3,,408
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Capitals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zelenograd,istl_zelenograd,Research Platform,Dassault-Mikoyan,istl_hyperfocus,26,10000,1500,18000,20000,800,275,2,70,45,25,8,8,2400,OMNI,,180,0.4,1,,,400,600,450,600,10,60,8,360000,4,20,720,0.25,45,45,,,,,,,,rare_bp,,0.4,2,4,,700
Jeanne d'Arc,istl_jeannedarc,Fleet Carrier,Dassault-Mikoyan,istl_targetpainter,32,12000,1000,12800,15000,600,290,6,45,25,15,9,6,3200,OMNI,,240,0.3,0.9,,,480,920,200,240,12,20,8,500000,3,15,640,0.2,50,50,,,,,,,"CARRIER, COMBAT","rare_bp, no_dealer",,0.5,2,4,,701
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,istl_bronev_plate_bow,Plating,,,1,2500,600,0,2500,100,5,,0,0,0,10,10,200,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","module_unselectable, module_refit_bright, module_hull_bar_only",,1,2,3,,2310
,istl_bronev_plate_left,Plating,,,1,3000,600,0,2500,100,5,,0,0,0,10,10,300,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","module_unselectable, module_refit_bright, module_hull_bar_only",,1,2,3,,2311
,istl_bronev_plate_right,Plating,,,1,3000,600,0,2500,100,5,,0,0,0,10,10,300,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","module_unselectable, module_refit_bright, module_hull_bar_only",,1,2,3,,2312
,istl_bronev_plate_lrear,Plating,,,1,2000,450,0,2500,100,5,,0,0,0,10,10,150,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","module_unselectable, module_refit_bright, module_hull_bar_only",,1,2,3,,2311
,istl_bronev_plate_rrear,Plating,,,1,2000,450,0,2500,100,5,,0,0,0,10,10,150,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","module_unselectable, module_refit_bright, module_hull_bar_only",,1,2,3,,2312
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Alauda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alauda,istlx_alauda,Striker,SNRI Labs,istl_alaudadash,15,1200,400,3600,3000,420,45,,210,250,250,120,300,180,FRONT,,360,0.2,0.8,,,5,25,20,10,1,20,12,1000000,10,20,240,0.2,12,12,,,,,,,"SHIP_WITH_MODULES, UNBOARDABLE, HIDE_IN_CODEX","no_sell, no_dealer, istl_snri4t",,0.75,2,3,,206
,istlx_alaudatailbinder,Module,SNRI Labs,istl_alaudabits,,400,300,1000,,100,5,,0,0,0,10,10,40,NONE,,0,0,0,,,0,0,0,0,1,0,,400000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","module_unselectable, module_refit_bright, module_hull_bar_only",,1,2,3,,2011
Plate,istlx_platedrone,,SNRI Labs,,,250,100,500,,200,,,300,450,340,240,400,5,FRONT,,120,0,0.8,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Refit/United Security",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pup,istl_pup,,DME Refit,istl_decoyflares_low_fighter,,600,200,750,,100,0,,150,120,60,100,180,50,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,103
Kobra Mk.1,istl_naja_mk1,Gunboat,DME Refit,istl_heavyburn,5,2800,300,2400,3600,160,45,,125,200,105,60,125,240,FRONT,,210,0.2,1,,,15,25,70,25,1,45,9,14500,6,8,270,0.2,5,5,,,,,,,,dmerefit_bp,,0.3,2,2,,405
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hummingbird,istl_hummingbird,,DME Export,istl_decoyflares_low_fighter,,450,50,600,,75,0,,300,160,100,120,240,15,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,HIDE_IN_CODEX,,,0,,,,105
Fletcher,istl_fletcher,,DME Export,,,500,75,200,,100,0,,150,200,200,40,120,30,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,,,,HIDE_IN_CODEX,,,0,,,,105
Thunderhead,istl_thunderbolt,,DME Export,flarelauncher_fighter,,550,100,750,,150,0,,150,120,50,105,150,50,FRONT,,90,0,1.2,,,2,2,,,,,,,,,,,,,,,,,,,HIDE_IN_CODEX,,,0,,,,106
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husky (E),istl_stoat_c,Picket Ship,DME Export,istl_decoyflares_low_main,4,1900,225,2000,2400,150,40,,140,150,110,85,135,195,FRONT,,240,0.4,0.8,,,15,25,40,30,1,50,10,12000,4,8,240,0.2,4,4,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","revolutionary, no_dealer",,0.3,2,2,,402
Feeder,istl_feeder,Light Carrier,DME Export,istl_decoyflares_low_main,8,4000,200,2700,1200,140,60,2,50,25,25,30,15,420,OMNI,,150,0.4,0.8,,,20,40,120,80,2,50,8,36000,5,15,480,0.2,10,10,,,,,,,"CARRIER, UNBOARDABLE, HIDE_IN_CODEX","revolutionary, no_dealer",,0.4,2,3,,301
Garpike,istl_grand_union,Destroyer,DME Export,istl_heavyburn,12,4000,550,4800,3500,200,100,,60,50,35,30,25,550,FRONT,,240,0.2,1.2,,,50,100,60,50,3,50,8,42500,5,12,420,0.25,12,12,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","revolutionary, no_dealer",,0.3,2,3,,501
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Blade Breakers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hellion,istl_hellion,,Blade Breakers,,,500,100,750,,150,0,,180,150,95,105,180,20,PHASE,istl_BBphasecloak_ftr,,,,0.1,0.1,1,1,,,,,,,,,,,,,,,,,,,"HIDE_IN_CODEX, PHASE",,,0,,,,102
Lycosid,istl_lycosid,,Blade Breakers,istl_BBdecoyflare,,125,50,250,,50,0,,320,500,400,180,350,8,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,HIDE_IN_CODEX,,,0,,,,105
Firespray,istl_firespray,,Blade Breakers,,,400,125,250,,50,0,,200,400,320,120,210,20,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,HIDE_IN_CODEX,,,0,,,,101
Iridium,istl_iridium,,Blade Breakers,istl_BBpulsejets,,500,100,500,,75,0,,150,200,150,60,150,30,OMNI,,150,0,1,,,0,0,,,,,,,,,,,,,,,,,,,HIDE_IN_CODEX,,,0,,,,115
Focuser,istl_focuser,,Blade Breakers,istl_BBpulsejets,,400,75,300,,75,0,,150,200,150,60,150,25,OMNI,,150,0,1,,,1,1,,,,,,,,,,,,,,,,,,,HIDE_IN_CODEX,,,0,,,,107
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imp,istl_imp,Drone Frigate,Blade Breakers,istl_BBstutterdrive_sm,3,1600,500,1400,1000,200,40,,150,240,160,90,180,100,NONE,,0,0,0,,,0,0,40,40,1,40,11,32000,5,12,300,0.25,3,3,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","auto_rec, bladebreakers, no_dealer, restricted",,0.5,2,2,,217
Snake Eye,istl_snakeeye,Gunship,Blade Breakers,istl_bravebit_single,7,2400,325,3200,3125,320,50,,120,240,160,90,210,200,FRONT,,270,0.2,0.8,,,5,10,60,40,1,40,11,108000,5,10,360,0.25,7,7,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","bladebreakers, no_dealer, restricted",,0.4,2,2,,227
Black Hand,istl_blackhand,Drone Tender,Blade Breakers,istl_BBebeam_drones,9,2800,600,3200,3000,240,45,,90,75,30,60,90,270,PHASE,istl_damper,0,0,0,,,25,40,20,40,1,40,9,144000,5,20,320,0.15,9,9,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","bladebreakers, no_dealer, restricted",,0.4,2,3,,217
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spearhead,istl_spearhead,Destroyer,Blade Breakers,istl_BBpulsejets,14,6000,450,6800,3750,420,120,,90,75,50,30,50,500,OMNI,,150,0.4,1,,,0,0,75,60,2,30,10,105000,5,15,420,0.25,18,18,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","auto_rec, bladebreakers, no_dealer, restricted",,0.5,2,3,,508
Devil Ray,istl_devilray,Phase Destroyer,Blade Breakers,istl_sigmadisruptor,20,4800,600,8000,10000,480,105,,90,60,40,60,40,450,PHASE,istl_BBphasecloak,,,,0.05,0.05,30,60,50,100,2,50,9,150000,5,20,300,0.25,27,27,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, PHASE","bladebreakers, no_dealer, restricted",,0.5,2,3,,506
Curse,istl_curse,Stealth Carrier,Blade Breakers,reservewing,12,5200,500,3600,2800,360,110,2,75,50,30,25,25,450,OMNI,,180,0.2,1,,,50,200,50,50,2,25,10,120000,5,20,420,0.2,18,18,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","bladebreakers, no_dealer, restricted",,0.5,2,3,,507
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Lancer,istl_blacklancer,Cruiser,Blade Breakers,istl_BBpulsejets,20,8000,900,10800,16000,720,170,,75,50,25,25,25,1800,FRONT,,300,0.2,0.8,,,0,0,100,100,3,30,8,210000,4,20,420,0.25,25,25,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","auto_rec, bladebreakers, no_dealer, restricted",,0.6,2,3,,405
Sparrowhawk,istl_stormkestrel,Escort Cruiser,Blade Breakers,istl_BBstutterdrive,24,7200,750,12000,7000,600,145,2,70,64,48,20,30,900,OMNI,,150,0.2,0.8,,,100,180,120,100,3,33,9,280000,3,15,480,0.25,30,30,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","bladebreakers, no_dealer, restricted",,0.5,3,5,,400
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warlock,istl_warlock,Carrier,Blade Breakers,istl_strikecommand,30,9600,1000,12000,12000,640,260,4,45,20,20,9,12,3000,OMNI,,180,0.2,0.8,,,0,0,200,300,10,40,8,1800000,4,15,720,0.2,50,50,,,,,,,"SHIP_WITH_MODULES, UNBOARDABLE, HIDE_IN_CODEX, CARRIER, COMBAT","auto_rec, bladebreakers, no_dealer, restricted",,0.4,3,5,,702
,istl_bbLRMmodule,Module,,,4,4000,1200,4000,,360,40,,0,0,0,10,10,200,NONE,,0,0,0,,,0,0,0,0,1,0,,800000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","module_refit_bright, module_hull_bar_only",,1,2,4,,2011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acolyte,istl_guardian_turret,Armored Station Core,Blade Breakers,istl_BBguardgunpod,30,20000,3000,20000,,800,200,,0,0,0,3,1,8000,NONE,,0,0,0,,,0,0,500,300,40,0,0,500000,10,10,,,45,45,,,,,,,"STATION, UNBOARDABLE, HIDE_IN_CODEX","bladebreakers, unrecoverable, no_dealer, restricted",,0,,,,2010
,istl_guardian_tcitadel,Citadel,,highenergyfocus,1,8000,2000,12000,,600,60,,0,0,0,10,10,2000,NONE,,0,0,0,,,0,0,0,0,1,0,,800000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","module_refit_bright, module_hull_bar_only",,0.25,2,3,,2011
,istl_guardian_tplate,Plating,,istl_BBfortressshield,1,8000,2000,12000,,600,60,,0,0,0,10,10,1000,FRONT,,112,0,1,,,0,0,0,0,1,0,,800000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","module_refit_bright, module_hull_bar_only",,0.5,2,4,,2011
Preceptor,istl_bbsuperheavy,Superdreadnought,Blade Breakers,istl_BBdreadgunpod,75,32000,2500,40000,6000,3000,420,,15,5,3,4,2,12000,NONE,,0,0,0,,,0,0,500,300,40,0,2,2000000,10,10,,,100,100,,,,,,,"SHIP_WITH_MODULES, UNBOARDABLE, HIDE_IN_CODEX","bladebreakers, unrecoverable, no_dealer, restricted",,0.25,3,5,,2010
,istl_bbsuperheavy_bow,Module,,,6,8000,2500,20000,,800,50,,0,0,0,10,10,600,NONE,,0,0,0,,,0,0,0,0,1,0,,800000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","module_refit_bright, module_hull_bar_only",,1,2,4,,2011
,istl_bbmissilemodule,Module,,forgevats_station,6,8000,1500,4000,,400,80,,0,0,0,10,10,200,NONE,,0,0,0,,,0,0,0,0,1,0,,800000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","module_refit_bright, module_hull_bar_only",,1,2,4,,2011
,istl_bbpdmodule,Module,,,2,4000,1500,4000,,400,50,,0,0,0,10,10,200,NONE,,0,0,0,,,0,0,0,0,1,0,,800000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","module_refit_bright, module_hull_bar_only",,1,2,4,,2011
,istl_shieldplate,Module,,istl_BBfortressshield,1,3200,1000,20000,,1000,1,,0,0,0,10,10,200,FRONT,,178,0.1,0.8,,,0,0,0,0,1,0,,800000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","module_refit_bright, module_hull_bar_only",,1,2,4,,2011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remote Turret,istl_gunpod,,,istl_mine_strike_sm,,1500,500,8000,3750,400,50,,250,400,300,60,90,200,OMNI,,360,0,0.6,,,0,0,,,,,,,,,,,,,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.4,2,2,,6
Electron Bit,istl_ebeam_drone,,,,,750,250,600,,240,,,300,400,400,180,360,5,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Deserters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defense Bit,istl_tempestdrone,,Deserter,,,600,200,500,,175,,,250,300,300,210,225,6,FRONT,,270,0,1,,,0,0,,,,,,,,,,,,,,,,,,,HIDE_IN_CODEX,,,0,,,,
Skink,istl_skink,,Deserter,,,200,50,200,,75,0,,300,450,400,150,300,12,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,HIDE_IN_CODEX,,,0,,,,105
