name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Phaeton (LP),phaeton_lp,Modified Destroyer,Luddic Path,maneuveringjets,6,5000,350,2000,2500,150,90,1,50,30,20,25,15,400,OMNI,,90,0.5,1,,,60,80,20,100,2,50,8,26000,5,20,300,0.25,6,6,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT",LP_bp,,0.75,3,4,,311.11
Nebule (LP),mule_lp_x,Modified Destroyer,Luddic Path,ammofeed,10,6850,650,3500,2500,250,65,,70,60,50,35,55,450,OMNI,,120,0.4,1,,,80,100,50,40,2,20,9,38000,5,20,360,0.25,9,9,,,,,,,,LP_bp,,0.5,2,3,,310
Starliner (LP),starliner_lp_x,Modified Cruiser,Luddic Path,ammofeed,16,7500,625,8500,2500,375,130,,75,65,55,35,55,1100,OMNI,,120,0.4,1,,,185,235,20,90,3,30,8,90000,3,20,480,0.25,16,16,,,,,,,,LP_bp,,0.6,2,3,,409
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prometheus Mk. IV,le_prometheus3,Modified Siege Platform,Luddic Path,flarelauncher,24,11000,1300,7500,11250,350,60,,55,35,30,4,4,4000,OMNI,,180,0.5,1.2,,,300,350,200,800,10,80,5,260000,2,20,300,0.25,30,30,,,,,,,"CARRIER, COMBAT",rare_bp,0.1,0.8,3,6,,7676
,lp_dram_missile,Might of Ludd,Luddic Path,le_explode,0,7000,250,12000,4000,200,,,110,75,45,10,10,400,NONE,,0,0,0,,,0,0,0,0,0,0,5,0,1.25,5,300,0.5,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,1,8,12,,7683
,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagle (LP-X),eagle_le_lp,Modified Cruiser,Luddic Path,ammofeed,14,6500,550,12000,10500,525,120,,70,65,60,35,45,1200,OMNI,,180,0.4,0.8,,,160,220,80,60,3,20,8,120000,3,12,480,0.25,20,20,,,,,,,HIDE_IN_CODEX,,0.25,0.6,2,3,,401
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enforcer (LC),enforcer_luddic,Destroyer,Luddic Church,burndrive,10,6000,900,4000,3333,200,110,,60,40,20,30,20,500,OMNI,,150,0.4,1,,,60,100,90,90,3,30,9,38000,5,12,420,0.25,9,9,,,,,,,,,,0.4,2,3,,303
Dominator (LC),dominator_luddic,Heavy Cruiser,Luddic Church,burndrive,15,14000,1500,10000,10000,500,200,,30,20,10,12,12,2250,FRONT,,150,0.4,1,,,200,300,150,150,5,30,8,125000,4,12,540,0.25,25,25,,,,,,,,,,0.4,2,3,,404
Onslaught (LC),onslaught_lc,Battleship,Luddic Church,burndrive,28,20000,1750,17000,15000,600,360,,25,10,10,4,4,3500,FRONT,,180,0.4,1,,,750,1500,300,400,15,27,7,350000,3,12,720,0.25,40,40,,,,,,,,,,0.4,2,4,,500
Legion (LC),legion_lc,Battlecarrier,Luddic Church,burndrive,28,18000,1650,12000,12500,500,300,4,30,15,15,6,6,3500,FRONT,,180,0.4,1,,,700,1500,300,300,15,20,7,375000,3,12,720,0.25,40,40,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT",,,0.4,2,4,,507
