name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,isPhaseCloak,tags,icon
MIRAGE System,istl_mirage,,,,,,,,3,0.1,0.6,,0.2,0.05,,TRUE,,TRUE,,,,,,,,,graphics/ISTL/icons/hullsys/istl_mirage.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Phase, Mines",,,,,,,,,,,,,,,,,,,,,,,,,,,
Phase Cloak,istl_DMEphasecloak,,,,,,,,,,0.3,,0.3,3,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,graphics/ISTL/icons/hullsys/istl_phasecloak.png
Energy Mines,istl_mine_strike,,,,,,0.1,,5,0.15,0.15,,0.35,0,,,,,,,,,,,,,graphics/icons/hullsys/interdictor_array.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Fighter Systems",,,,,,,,,,,,,,,,,,,,,,,,,,,
Precision Targeting,istl_precision,,,,,,0.5,,,,0.5,20,0.5,10,,,,,,,,,,,,,graphics/ISTL/icons/hullsys/istl_precisiontargeting.png
Strike Command,istl_strikecommand,,,,,,0.3,,,,0.4,12,0.2,8,,,,,,,,,,,,,graphics/ISTL/icons/hullsys/istl_precisiontargeting.png
Target Datalink,istl_targetpainter,,,,,,0.5,,,,0.5,13.5,1,10,,,,,,,,,,,,,graphics/ISTL/icons/hullsys/istl_targetdatalink.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Offense Boosts",,,,,,,,,,,,,,,,,,,,,,,,,,,
Focusing Lenses,istl_hyperfocus,1,,,,,,,3,0.04,0.5,7,0.5,2,,,,,,,,,,,,,graphics/ISTL/icons/hullsys/istl_hyperfocus.png
Defense Field,istl_damper,,,,,,,,2,0.05,0.4,4,0.6,0.5,,,TRUE,,TRUE,,,,TRUE,TRUE,,uses_damper_ai,graphics/ISTL/icons/hullsys/istl_defense screen.png
Fast Loader,istl_fastloader,,,,,,0.25,,2,0.1,1,0,0,0,,,,,,,,,,,,,graphics/ISTL/icons/hullsys/istl_autoloader.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Flares",,,,,,,,,,,,,,,,,,,,,,,,,,,
Smart Flares,istl_decoyflares_main,,,,,,0.1,,,,,,,5,,,,,,,,,,,,,graphics/ISTL/icons/hullsys/istl_decoyflare.png
Smart Flares,istl_decoyflares_fighter,,,,,,0.1,,,,,,,6,,,,,,,,,,,,,graphics/ISTL/icons/hullsys/istl_decoyflare.png
Decoy Flares,istl_decoyflares_low_main,,,,,,,,5,,,,,5,,,,,,,,,,,,,graphics/ISTL/icons/hullsys/istl_decoyflare.png
Decoy Flares,istl_decoyflares_low_fighter,,,,,,,,3,,,,,6,,,,,,,,,,,,,graphics/ISTL/icons/hullsys/istl_decoyflare.png
Plasma Decoys,istl_BBdecoyflare,,,,,,0.1,,1,0.05,,,,4.5,,,,,,,,,,,,,graphics/ISTL/icons/hullsys/istl_decoyflare.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Alauda",,,,,,,,,,,,,,,,,,,,,,,,,,,
Skipspace Dash,istl_alaudadash,,,,,,,,5,0.16,0.1,0.25,0.1,0,,,,,TRUE,,,,,TRUE,,,graphics/ISTL/icons/hullsys/istl_pulsejets.png
Bit Defensors,istl_alaudabits,,,,,,,,6,0.05,,,0,0,,,,,,,,,,,,,graphics/ISTL/icons/hullsys/istl_zonedef_multi.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Breaker",,,,,,,,,,,,,,,,,,,,,,,,,,,
Phase Cloak,istl_BBphasecloak,,,,,,,,,,0.3,,0.3,2,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,restricted,graphics/ISTL/icons/hullsys/istl_phasecloak.png
Phase Cloak,istl_BBphasecloak_ftr,,,,,,,,,,0.3,,0.3,3,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,restricted,graphics/ISTL/icons/hullsys/istl_phasecloak.png
Sigma Disruptor,istl_sigmadisruptor,,,,,,0.25,,3,0.05,0.75,,1.5,,,,,,TRUE,,,,,,,restricted,graphics/icons/hullsys/quantum_disruptor.png
Witch Jets,istl_BBpulsejets,,,,,,,,3,0.12,0.3,0.5,0.7,0,,,,,,,,,,,,restricted,graphics/ISTL/icons/hullsys/istl_pulsejets.png
Stutterwarp Dash,istl_BBstutterdrive,,,,,,,,5,0.2,0.1,0.5,0.1,0.3,,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,,restricted,graphics/ISTL/icons/hullsys/istl_stutterwarp.png
Stutterwarp Dash,istl_BBstutterdrive_sm,,,,,,,,3,0.15,0.1,0.5,0.1,0.3,,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,,restricted,graphics/ISTL/icons/hullsys/istl_stutterwarp.png
Sigma Overcharger,istl_BBfortressshield,,,0.025,,,,,,,1.5,,1.5,0,TRUE,,,TRUE,TRUE,,,,,,,restricted,graphics/icons/hullsys/fortress_shield.png
Turret Network,istl_BBdreadgunpod,,,,,,,,9,,,,0,0,,,,,,,,,,,,restricted,graphics/ISTL/icons/hullsys/istl_zonedef_multi.png
Turret Network,istl_BBguardgunpod,,,,,,,,5,,,,0,0,,,,,,,,,,,,restricted,graphics/ISTL/icons/hullsys/istl_zonedef_multi.png
Sigma Jaunt,istl_sigmajaunt,,,,,,,,,,0.9,0,0.3,38.8,,TRUE,,TRUE,,,,,,,,restricted,graphics/ISTL/icons/hullsys/istl_stutterwarp.png
Sigma Jaunt (Slow),istl_sigmajaunt_slow,,,,,,,,,,0.9,0,0.3,58.8,,TRUE,,TRUE,,,,,,,,restricted,graphics/ISTL/icons/hullsys/istl_stutterwarp.png
Bit Defensor,istl_bravebit_single,,,,,,,,2,0.1,,,0,0,,,,,,,,,,,,restricted,graphics/ISTL/icons/hullsys/istl_zonedef_multi.png
Electron Bits,istl_BBebeam_drones,,,,,,,,5,0.01,,,0,0,,,,,,,,,,,,restricted,graphics/ISTL/icons/hullsys/istl_zonedef_multi.png
Light Mines,istl_mine_strike_sm,,,,,,0.1,,3,0.12,0.2,,0.4,0,,,,,,,,,,,,,graphics/icons/hullsys/interdictor_array.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Deserter",,,,,,,,,,,,,,,,,,,,,,,,,,,
Fast Loader,istl_fastloader_proto,,,,,,0.25,,3,0.1,1,0,0,0,,,,,,,,,,,,,graphics/ISTL/icons/hullsys/istl_autoloader.png
Phased Decoys,istl_phaseflare,,,,,,0.1,,2,0.05,,,,5,,,,,,,,,,,,,graphics/ISTL/icons/hullsys/istl_decoyflare.png
Sigma Pulsejets,istl_slammerjets,,,,,,,,3,0.12,0.1,1.4,0.5,0,,,,,,,,,,,,,graphics/ISTL/icons/hullsys/istl_pulsejets.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Brave Blade",,,,,,,,,,,,,,,,,,,,,,,,,,,
S-Phase Dash,istl_bravejets,,,,,,,,3,0.2,0.1,0.4,0.1,0,,,,,TRUE,TRUE,,,,TRUE,,,graphics/ISTL/icons/hullsys/istl_pulsejets.png
Bit Defensors,istl_bravebits,,,,,,,,4,0.1,,,0,0,,,,,,,,,,,,,graphics/ISTL/icons/hullsys/istl_zonedef_multi.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Depreciated",,,,,,,,,,,,,,,,,,,,,,,,,,,
Phase Cloak,istl_deserterphasecloak,,,,,,,,,,0.5,,0.5,15,,,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,graphics/ISTL/icons/hullsys/istl_phasecloak.png
