name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Cockroach,cockroach,Junker Destroyer,Junker (HMI),burndrive,8,10500,305,4800,3333,175,140,,65,40,40,30,60,500,NONE,,0,0,0,,,60,100,90,90,3,30,9,18900,5,12,360,0.25,8,8,,,,,,,,hmi_junk_bp,,0.7,2,2,,220.1
Zebu,zebu,Junker Freighter,Junker (HMI),flarelauncher,5,7500,125,1500,1167,100,40,,65,25,20,15,15,400,NONE,,0,0,0,,,50,100,325,100,2,40,9,18000,5,20,240,0.25,3,3,,,,,,,FREIGHTER,hmi_junk_bp,,0.6,2,3,,11020
Slugworth,slugworth,Heavy Junker Carrier,Junker (HMI),targetingfeed,15,16000,650,4500,4000,185,160,3,50,30,20,8,8,2000,NONE,,0,0,0,,,350,460,125,60,5,12,8,125000,5,12,540,0.25,24,24,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT",hmi_junk_bp,,0.6,2,3,,410.011
Roach King,roach_king,Heavy Junker Cruiser,Junker (HMI),burndrive,16,18000,690,6850,9000,275,260,,40,15,8,10,10,2150,NONE,,0,0,0,,,200,300,225,350,5,70,8,110000,5,12,540,0.25,24,24,,,,,,,,hmi_junk_bp,,0.6,2,3,,11021
Junk,junk,Combat Superfreighter,Junker (HMI),hmi_rapidrepair,22,28000,900,18000,5000,420,230,3,25,5,5,5,5,8000,OMNI,,60,0.6,1.2,,,650,1500,3000,800,14,142,7,225000,2,25,720,0.25,25,25,,,,,,, ,rare_bp,,0.6,2,3,,11022.2
Fishkill,fishkill,Superheavy Carrier,Junker (HMI),hmi_rapidrepair,30,29000,325,16500,15000,365,300,6,30,10,10,7,4,8000,OMNI,,60,0.6,1.4,,,750,950,1250,400,15,27,7,300000,2,25,720,0.25,40,40,,,,,,,CARRIER,rare_bp,,0.7,2,4,,11022.3
Locomotive,hmi_locomotive,Weaponised Junker Station,Junker (HMI),hmi_runaway,40,40000,800,31000,10000,450,325,2,20,4,3,3,3,2000,NONE,,0,0,0,,,1850,2500,2500,1000,40,25,6,1000000,2,15,720,0.25,85,85,,,,,,,SHIP_WITH_MODULES,rare_bp,,0.4,2,3,,507
,hmi_locomotive_base,Base Structure,,,1,5000,1000,0,2500,100,0,,0,0,0,10,10,1250,NONE,,0,0,0,,,0,0,0,0,1,0,,75000,,1,720,0.25,0,0,,,,,,,"UNDER_PARENT, UNBOARDABLE, HIDE_IN_CODEX",module_no_status_bar,,1,2,4,,2100
,hmi_locomotive_rear,Engine Module,,flarelauncher,1,10000,600,10000,7000,350,90,,0,0,0,10,10,2500,NONE,,0,0,0,,,0,0,0,0,1,0,,75000,,1,720,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,4,,2100
,hmi_locomotive_gun_left,Gunnery Module,,ammofeed,1,15000,900,6000,5000,250,70,,0,0,0,10,10,600,NONE,,0,0,0,,,0,0,0,0,1,0,,75000,,1,720,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,3,,2100
,hmi_locomotive_gun_right,Gunnery Module,,ammofeed,1,15000,900,6000,5000,250,70,,0,0,0,10,10,600,NONE,,0,0,0,,,0,0,0,0,1,0,,75000,,1,720,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,3,,2100
,hmi_locomotive_fighter_left,Hangar Module,,reservewing,1,8000,700,3000,2500,125,70,1,0,0,0,10,10,350,NONE,,0,0,0,,,0,0,0,0,1,0,,75000,,1,720,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.4,2,2,,2100
,hmi_locomotive_fighter_right,Hangar Module,,reservewing,1,8000,700,3000,2500,125,70,1,0,0,0,10,10,350,NONE,,0,0,0,,,0,0,0,0,1,0,,75000,,1,720,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.4,2,2,,2100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##HMI Techmined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marlin,marlin,Frigate,HMI Techmined,hmi_highenergyfocus,8,1350,185,2500,2813,225,35,,180,200,175,90,270,200,FRONT,,90,0.2,0.8,,,20,25,15,10,1,10,11,38000,5,20,160,0.25,8,8,,,,,,,,"hmi_techmine_bp, merc",,0.5,2,2,,206.26
Jakkle,jakkle,Light Destroyer,HMI Techmined,microburn,9,3400,350,3800,5833,250,75,,90,60,40,30,60,400,FRONT,,120,0.4,1,,,40,60,40,60,2,30,10,24000,5,15,300,0.25,8,8,,,,,,,,hmi_techmine_bp,,0.7,2,3,,319.11
Monjeau,monjeau,Light Destroyer,HMI Techmined,ammofeed,10,3000,350,3850,4167,250,50,,90,70,60,40,90,400,PHASE,hmi_monjaeujets,,,,0,0,20,40,20,10,2,5,9,60000,5,15,240,0.25,10,10,,,,,,,,hmi_techmine_bp,,0.5,2,3,,300
Vidit,hammerhead_hmi,Combat Freighter,HMI Techmined,ammofeed,12,5000,500,4200,4167,250,95,,90,60,40,35,55,600,FRONT,,300,0.4,0.8,,,75,100,225,50,2,25,9,46000,5,12,360,0.25,12,12,,,,,,,,hmi_techmine_bp,,0.5,2,3,,300.121212
Category,category,Destroyer,HMI Techmined,ammofeed,8,4850,550,6200,4167,285,85,,85,50,50,25,50,380,FRONT,,220,0.4,0.6,,,40,60,25,30,2,15,10,42000,5,20,240,0.25,10,10,,,,,,,,hmi_techmine_bp,,0.5,2,3,,300.111
Brasher,brasher,Destroyer,HMI Techmined,hmi_ammodrive,10,4000,500,4500,3333,200,100,,90,60,40,30,60,400,FRONT,,120,0.5,1,,,30,60,25,45,2,30,10,28000,5,12,180,0.25,10,10,,,,,,,,"hmi_techmine_bp, pirates",,0.5,2,3,,300.1
Marinas,marinas,Destroyer,HMI Techmined,timefocus,12,2850,245,6000,6667,250,60,,100,85,65,45,100,300,FRONT,,160,0.3,0.6,,,50,65,35,20,2,10,9,65000,5,20,240,0.25,12,12,,,,,,,,"hmi_techmine_bp, merc",,0.7,2,3,,309
Ascendante,ascendate,Heavy Destroyer,HMI Techmined,burndrive,12,6250,780,6000,4167,285,75,,60,30,25,40,25,600,FRONT,,130,0.6,1,,,40,100,40,30,2,15,9,68000,5,12,360,0.25,12,12,,,,,,,,hmi_techmine_bp,,0.5,2,3,,300
Calico,calico,Heavy Destroyer Carrier,HMI Techmined,highenergyfocus,14,3200,275,6800,5833,500,110,2,85,75,65,35,80,450,OMNI,,180,0.4,0.6,,,20,40,40,60,2,30,10,72000,7,15,300,0.25,14,14,,,,,,,,hmi_techmine_bp,,0.7,2,3,,319
Suleiman,sulemain,Cruiser,HMI Techmined,plasmajets,24,10500,800,12000,16000,650,155,1,75,45,25,25,25,2000,FRONT,,180,0.5,0.8,,,150,210,85,60,4,15,8,250000,4,20,420,0.25,28,28,,,,,,,,"rare_bp, merc",0.75,0.6,2,3,,405
Scarecrow,scarecrow,Heavy Cruiser,HMI Techmined,maneuveringjets,32,11500,550,12000,10500,585,230,1,45,35,35,40,40,1600,FRONT,,270,0.4,0.8,,,350,500,200,200,3,66,8,220000,3,16,480,0.25,32,32,,,,,,,,rare_bp,0.75,0.4,2,3,,11019
Weaver,weaver,Heavy Cruiser,HMI Techmined,burndrive,26,10000,750,13500,12000,600,120,,40,30,30,24,28,3000,FRONT,,120,0.5,0.6,,,265,310,85,50,5,10,8,175000,3,15,480,0.25,26,26,,,,,,,,"rare_bp, merc",0.75,0.5,2,3,,413
Herakles,hmi_herakles,Battleship,HMI Techmined,ammofeed,35,27000,1000,18500,31250,765,350, ,35,17,12,5,5,3500,OMNI,,270,0.4,1.4,,,400,1000,300,300,10,30,7,500000,4,20,720,0.25,55,55,,,,,,,,rare_bp,0.75,0.6,2,4,,504
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##HMI Derelict Ships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sifter Scavenger,sifter_drone,,Explorarium,,,400,100,85,,100,0,,85,75,75,45,90,50,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,HIDE_IN_CODEX,,,0,,,,108.11
Sifter Scavenger,sifter_drone2,,Explorarium,,,400,100,85,,100,0,,85,75,75,45,90,50,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,HIDE_IN_CODEX,,,0,,,,108.11
Trowel,trowel_drone,,Explorarium,,,400,100,100,,100,0,,95,120,120,90,270,60,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,HIDE_IN_CODEX,,,0,,,,108.12
Wedge,wedge_drone,,Explorarium,flarelauncher,,800,200,125,,100,0,,45,75,75,45,90,100,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,HIDE_IN_CODEX,,,0,,,,108.13
Embrasure,embrasure,Drone,Explorarium,flarelauncher,6,3500,350,1500,1833,110,30,1,40,30,20,20,10,400,NONE,,0,0,0,,,0,0,200,30,2,15,9,28000,5,8,360,0.25,6,6,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, CARRIER","derelict, auto_rec",0.1,0.5,2,3,,302.11
Hornworks,barbican,Drone,Explorarium,burndrive,8,5000,750,4000,3333,200,70,,55,40,20,30,20,500,NONE,,0,0,0,,,0,0,90,90,3,30,9,36000,5,12,420,0.25,6,6,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",,0.4,2,3,,303.11
Sapper,hmi_sapper,Drone,Explorarium,maneuveringjets,8,4000,350,5000,8333,200,50,,90,80,60,30,30,350,NONE,,0,0,0,,,0,0,80,50,2,25,9,45000,5,15,300,0.25,10,10,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",0.5,0.5,2,3,,301.1111
Bracket,bracket,Drone,Explorarium,flarelauncher,8,8500,650,3800,3125,250,80,,40,30,15,15,10,750,NONE,,0,0,0,,,0,0,80,40,2,20,8,70000,5,10,540,0.25,10,10,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",,0.5,2,3,,315.01
Outworks,outworks,Drone,Explorarium,burndrive,12,11000,1300,9000,5625,450,130,,45,25,20,20,15,2000,NONE,,0,0,0,,,0,0,100,60,4,15,8,140000,5,12,600,0.25,15,15,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",,0.5,2,3,,412.01
Object 361,hmi_obj_361,Military Drone,Explorarium,fastmissileracks,26,9500,1150,8500,9000,385,200,,70,50,35,20,15,1850,NONE,,0,0,0,,,0,0,20,20,5,10,8,180000,5,12,540,0.25,20,20,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",0.1,0.9,2,3,,404.01
Object 440,hmi_obj_440,Military Drone,Explorarium,fortressshield,30,8500,600,22000,9000,485,150,,30,20,10,10,10,2250,FRONT,,180,0.6,0.4,,,0,0,20,20,5,10,8,220000,5,12,540,0.25,25,25,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",0.1,0.9,2,3,,404.02
Object 108,hmi_obj_108,Military Drone,Explorarium,hmi_creep_drive,30,7800,1400,8000,5625,450,80,,75,65,50,25,35,2100,NONE,,0,0,0,,,0,0,20,20,5,10,8,200000,5,12,120,0.25,20,20,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",0.1,0.9,2,3,,412.01
Object 241,hmi_obj_241,Military Drone,Explorarium,fastmissileracks,40,14000,1000,8000,10000,500,160,6,25,20,10,12,12,2000,NONE,,0,0,0,,,0,0,20,20,5,30,8,400000,5,12,540,0.25,25,25,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",0.1,0.9,2,3,,404.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##HMI Remnant Ships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aureole,aureole,Droneship,Remnant,hmi_aureole_emp,6,2250,500,1600,2188,175,30,,100,160,140,90,270,200,OMNI,,120,0.4,0.6,,,0,0,60,40,1,40,11,35000,5,10,360,0.25,6,6,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","remnant, auto_rec",0.1,0.1,2,2,,227.1
Revelio,revelio,Droneship,Remnant,highenergyfocus,12,5500,350,6000,2500,245,85,,50,45,35,40,55,550,FRONT,,200,0.4,0.8,,,0,0,40,60,2,30,10,60000,5,20,420,0.25,12,12,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","remnant, auto_rec",0.7,0.5,2,3,,317.1
Ecstacy,ecstacy,Droneship Cruiser,Remnant,plasmajets,20,6500,755,9000,12000,625,160,2,50,40,35,35,25,2000,OMNI,,120,0.5,0.7,,,0,0,100,60,4,15,9,180000,5,15,540,0.25,27,27,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","remnant, auto_rec",0.1,0.1,2,3,,413.1
Coelum,hmi_coelum,Droneship Cruiser,Remnant,highenergyfocus,28,8500,775,14000,16000,625,170,2,30,20,20,15,20,3000,OMNI,,240,0.4,0.6,,,0,0,50,20,4,5,9,300000,5,15,540,0.25,30,30,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","remnant, auto_rec",0.1,0.1,2,3,,414.1
Scandunt,scandunt,,Remnant,hmi_scandunt_emp,,400,100,500,,150,0,,100,400,300,135,300,40,FRONT,,360,0.5,0.7,,,0,0,,,,,,,,,,,,,,,,,,,HIDE_IN_CODEX,, ,0,,,,100.545
Puer Chorum,puer_chorum,,Remnant,,,400,400,500,,150,0,,220,350,350,280,320,30,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,HIDE_IN_CODEX,,,0,,,,116.545
Auctor,hmi_auctor,,Remnant,,,300,150,300,,50,0,,185,200,180,80,120,30,OMNI,,160,0,1,,,0,0,,,,,,,,,,,,,,,,,,,HIDE_IN_CODEX,,,0,,,,116.45245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##HMI Knights of Eva,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remora (KoE),remora_knightsofeva,Drone Tender,High Tech,plasmajets,3,1000,150,1000,,80,25,1,125,90,80,90,120,125,OMNI,,90,0.4,0.6,,,20,40,100,60,0.5,120,9,11000,8,20,180,0.25,3,3,,,,,,,"HIDE_IN_CODEX,CARRIER",hmi_koe_bp,,0.5,2,2,,203.5
Brawler (KoE),brawler_hmikoe,Gunship,High Tech,plasmajets,7,2000,450,3000,3125,250,50,,100,180,120,60,120,250,FRONT,,270,0.4,0.8,,,15,30,40,20,1,20,9,12000,8,10,300,0.25,5,5,,,,,,,HIDE_IN_CODEX,hmi_koe_bp,,0.4,2,2,,207
Wolf (KoE),wolf_hmikoe,Frigate,High Tech,displacer,5,1500,150,2250,1875,150,55,,150,130,100,60,120,200,FRONT,,150,0.4,0.7,,,15,30,50,20,1,20,10,12000,10,20,180,0.25,5,5,,,,,,,HIDE_IN_CODEX,hmi_koe_bp,,0.5,2,2,,200
Vigilance (KoE),vigilance_koe,Frigate,High Tech,highenergyfocus,5,1750,200,2500,2250,180,45,,110,120,100,45,90,100,OMNI,,150,0.4,0.8,,,10,25,40,25,1,25,10,10000,8,10,240,0.25,5,5,,,,,,,HIDE_IN_CODEX,hmi_koe_bp,,0.5,2,2,,208
Shrike (KoE),shrike_hmikoe,Light Destroyer,High Tech,microburn,9,2800,250,5400,5833,350,75,,100,100,80,35,80,250,FRONT,,150,0.3,0.7,,,20,40,40,60,2,30,10,20000,5,15,300,0.25,8,8,,,,,,,HIDE_IN_CODEX,hmi_koe_bp,,0.7,2,3,,319
Medusa (KoE),medusa_koe,Destroyer,High Tech,displacer,12,3000,300,6000,6667,400,100,,100,90,60,40,100,300,OMNI,,120,0.3,0.6,,,35,50,50,40,2,20,9,60000,5,20,300,0.25,12,12,,,,,,,HIDE_IN_CODEX,hmi_koe_bp,,0.7,2,3,,309
Sunder (KoE),sunder_hmikoe,Destroyer,High Tech,highenergyfocus,10,4000,250,7500,8333,500,80,,90,80,60,30,30,350,FRONT,,300,0.4,1.2,,,50,70,80,50,2,25,9,45000,5,15,300,0.25,11,11,,,,,,,HIDE_IN_CODEX,hmi_koe_bp,,0.5,2,3,,301
Hippocampus,hippocampus_knightsofeva,Missile Destroyer,High Tech,fastmissileracks,16,8500,165,3850,,265,80,2,50,35,15,25,20,400,OMNI,,120,0.4,0.6,,,100,220,185,100,2,50,8,42500,4,8,360,0.25,16,16,,,,,,,"HIDE_IN_CODEX,CARRIER",hmi_koe_bp,,0.6,2,3,,305.1111
Fury (KoE),fury_hmikoe,Light Cruiser,High Tech,microburn,14,5000,600,9000,12000,600,90,,95,100,80,30,60,650,FRONT,,150,0.3,0.7,,,60,120,60,80,3,27,9,115000,4,12,420,0.25,20,20,,,,,,,HIDE_IN_CODEX,hmi_koe_bp,,0.7,2,3,,415
