name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,isPhaseCloak,tags,icon
Offensive Flare Command,uaf_targetingfeed,,,,,,0.5,,,,0.5,20,0.5,10,,,,,,,,,,,,,graphics/icons/hullsys/targeting_feed.png
Evasive Flare Command I,uaf_defensive_flare,,,,,,0.5,,,,0.5,20,0.5,10,,,,,,,,,,,,,graphics/icons/hullsys/targeting_feed.png
Evasive Flare Command II,uaf_enh_defensive_flare,,,,,,0.1,,,,0.5,20,0.5,10,,,,,,,,,,,,,graphics/icons/hullsys/targeting_feed.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midway Protocol,uaf_midway_protocol,,,,,,0.5,,4,,0.5,20,0.5,40,,,,,,,,,,,,,graphics/icons/hullsys/targeting_feed.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ship Flare System,uaf_flarelauncher,,,,,,,,5,,,,,8,,,,,,,,,,,,,
Compact Flare Launcher,uaf_fighterflare,,,,,,,,5,,,,,4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syncore Ballistic Focus,uaf_rangeFinder,,,,,,,,,,0.5,20,0.5,30,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syncore Energy Focus,uaf_syncoreFocus,,,,,,,,1,25,0,15,5,20,,,,,,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melody Burn Drive,uaf_burnDrive,1,,,,,,,,,2,30,1,10,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGEL Dispersion System,uaf_angelSystem,,,,,,,,1,0.1,,,,3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burn Drive,uaf_burndrive_2,1,,,,,,,,,2,5,1,10,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,
Maneuvering Jets,uaf_maneuveringjets_2,,,,,,,,,,1,5,1,5,,,,,,,,,,,,,
Plasma Jets,uaf_plasmajets_2,,,,,,,,,,1,3,2,5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type-4 'Minibreve' Munition,uaf_nukeMunitions,,,,,,,,,,,,,7,TRUE,,,,,,,,,TRUE,,,graphics/icons/hullsys/ammo_feeder.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armor Condenser System,uaf_damper,1,,,,,,,2,0.05,0.25,3,0.25,0,,,,,,,,,TRUE,TRUE,,uses_damper_ai,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafflesya Control,uaf_rafflesya_drone,,,,,,,,,,,,,20,TRUE,,,,,,,,,,,,graphics/icons/hullsys/drone_pd_high.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point Defense Drones,uaf_mini_drone_pd,,,,,,,,15,,,,0,,TRUE,,,,,,,,,,,,graphics/icons/hullsys/drone_pd_mid.png
Concord System,uaf_concord_sys,1,,,,,,,2,0.05,0.25,10,0.15,,,,,,,,,,,,,,graphics/icons/hullsys/targeting_feed.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evasive Maneuvering Jets,uaf_evasive_manujet,,,,,,,,3,0.1,0.1,0.5,0.1,0.5,,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,,,graphics/icons/hullsys/infernium_injector.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Alert Readiness,uaf_high_alert,,,,,,,,,,1,24,1,38,,,,,,,,,,,,,graphics/icons/campaign/sensor_strength.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mirage Swarm,uaf_mirage_swarm,,,,,,0.25,,,,1.9,2.3,1,24,,,,,,,,,,TRUE,,restricted,graphics/icons/hullsys/uaf_mirage_swarm.png
